Time,games
2022-08-29,37
2022-08-30,39
2022-08-31,39
2022-09-01,43
2022-09-02,46
2022-09-03,38
2022-09-04,44
2022-09-05,35
2022-09-06,38
2022-09-07,43
2022-09-08,45
2022-09-09,53
2022-09-10,40
2022-09-11,67
2022-09-12,45
2022-09-13,45
2022-09-14,43
2022-09-15,47
2022-09-16,56
2022-09-17,42
2022-09-18,62
2022-09-19,48
2022-09-20,46
2022-09-21,45
2022-09-22,47
2022-09-23,51
2022-09-24,40
2022-09-25,63
2022-09-26,46
2022-09-27,44
2022-09-28,43
2022-09-29,45
2022-09-30,52
2022-10-01,39
2022-10-02,58
2022-10-03,46
2022-10-04,44
2022-10-05,43
2022-10-06,45
2022-10-07,52
2022-10-08,39
2022-10-09,60
2022-10-10,43
2022-10-11,46
2022-10-12,43
2022-10-13,43
2022-10-14,50
2022-10-15,42
2022-10-16,62
2022-10-17,49
2022-10-18,49
2022-10-19,47
2022-10-20,50
2022-10-21,51
2022-10-22,44
2022-10-23,61
2022-10-24,46
2022-10-25,44
2022-10-26,45
2022-10-27,47
2022-10-28,50
2022-10-29,39
2022-10-30,55
2022-10-31,44
2022-11-01,44
2022-11-02,45
2022-11-03,48
2022-11-04,55
2022-11-05,41
2022-11-06,52
2022-11-07,45
2022-11-08,40
2022-11-09,39
2022-11-10,45
2022-11-11,45
2022-11-12,39
2022-11-13,55
2022-11-14,47
2022-11-15,46
2022-11-16,44
2022-11-17,48
2022-11-18,55
2022-11-19,42
2022-11-20,59
2022-11-21,52
2022-11-22,51
2022-11-23,46
2022-11-24,72
2022-11-25,61
2022-11-26,49
2022-11-27,61
2022-11-28,52
2022-11-29,49
2022-11-30,50
2022-12-01,52
2022-12-02,56
2022-12-03,51
2022-12-04,70
2022-12-05,62
2022-12-06,54
2022-12-07,51
2022-12-08,53
2022-12-09,62
2022-12-10,50
2022-12-11,59
2022-12-12,57
2022-12-13,53
2022-12-14,56
2022-12-15,55
2022-12-16,61
2022-12-17,61
2022-12-18,65
2022-12-19,52
2022-12-20,49
2022-12-21,46
2022-12-22,45
2022-12-23,48
2022-12-24,65
2022-12-25,88
2022-12-26,63
2022-12-27,47
2022-12-28,43
2022-12-29,45
2022-12-30,47
2022-12-31,58
2023-01-01,68
2023-01-02,47
2023-01-03,42
2023-01-04,38
2023-01-05,41
2023-01-06,48
2023-01-07,55
2023-01-08,63
2023-01-09,49
2023-01-10,45
2023-01-11,44
2023-01-12,49
2023-01-13,54
2023-01-14,64
2023-01-15,85
2023-01-16,57
2023-01-17,53
2023-01-18,44
2023-01-19,46
2023-01-20,50
2023-01-21,74
2023-01-22,100
2023-01-23,57
2023-01-24,46
2023-01-25,45
2023-01-26,49
2023-01-27,53
2023-01-28,54
2023-01-29,88
2023-01-30,58
2023-01-31,45
2023-02-01,43
2023-02-02,46
2023-02-03,50
2023-02-04,39
2023-02-05,42
2023-02-06,43
2023-02-07,46
2023-02-08,48
2023-02-09,46
2023-02-10,50
2023-02-11,40
2023-02-12,39
2023-02-13,40
2023-02-14,42
2023-02-15,44
2023-02-16,48
2023-02-17,46
2023-02-18,36
2023-02-19,34
2023-02-20,32
2023-02-21,37
2023-02-22,39
2023-02-23,41
2023-02-24,50
2023-02-25,38
2023-02-26,39
2023-02-27,43
2023-02-28,40
2023-03-01,43
2023-03-02,46
2023-03-03,49
2023-03-04,41
2023-03-05,42
2023-03-06,44
2023-03-07,45
2023-03-08,47
2023-03-09,50
2023-03-10,54
2023-03-11,42
2023-03-12,46
2023-03-13,41
2023-03-14,43
2023-03-15,49
2023-03-16,51
2023-03-17,50
2023-03-18,44
2023-03-19,47
2023-03-20,44
2023-03-21,43
2023-03-22,45
2023-03-23,49
2023-03-24,53
2023-03-25,46
2023-03-26,48
2023-03-27,43
2023-03-28,46
2023-03-29,43
2023-03-30,47
2023-03-31,46
2023-04-01,43
2023-04-02,42
2023-04-03,39
2023-04-04,41
2023-04-05,42
2023-04-06,43
2023-04-07,35
2023-04-08,37
2023-04-09,37
2023-04-10,34
2023-04-11,37
2023-04-12,42
2023-04-13,45
2023-04-14,46
2023-04-15,42
2023-04-16,43
2023-04-17,40
2023-04-18,47
2023-04-19,50
2023-04-20,51
2023-04-21,51
2023-04-22,47
2023-04-23,48
2023-04-24,44
2023-04-25,47
2023-04-26,50
2023-04-27,53
2023-04-28,56
2023-04-29,45
2023-04-30,47
2023-05-01,45
2023-05-02,50
2023-05-03,52
2023-05-04,54
2023-05-05,56
2023-05-06,43
2023-05-07,45
2023-05-08,49
2023-05-09,49
2023-05-10,51
2023-05-11,54
2023-05-12,58
2023-05-13,47
2023-05-14,43
2023-05-15,45
2023-05-16,47
2023-05-17,50
2023-05-18,51
2023-05-19,55
2023-05-20,41
2023-05-21,41
2023-05-22,46
2023-05-23,47
2023-05-24,45
2023-05-25,42
