Time,deep water
2025-12-11,23
2025-12-12,22
2025-12-13,21
2025-12-14,21
2025-12-15,24
2025-12-16,24
2025-12-17,24
2025-12-18,22
2025-12-19,20
2025-12-20,20
2025-12-21,19
2025-12-22,18
2025-12-23,19
2025-12-24,21
2025-12-25,17
2025-12-26,21
2025-12-27,21
2025-12-28,21
2025-12-29,20
2025-12-30,23
2025-12-31,24
2026-01-01,17
2026-01-02,22
2026-01-03,23
2026-01-04,21
2026-01-05,19
2026-01-06,21
2026-01-07,24
2026-01-08,24
2026-01-09,24
2026-01-10,24
2026-01-11,23
2026-01-12,25
2026-01-13,27
2026-01-14,24
2026-01-15,29
2026-01-16,24
2026-01-17,23
2026-01-18,21
2026-01-19,21
2026-01-20,23
2026-01-21,25
2026-01-22,29
2026-01-23,29
2026-01-24,30
2026-01-25,26
2026-01-26,31
2026-01-27,25
2026-01-28,26
2026-01-29,29
2026-01-30,28
2026-01-31,28
2026-02-01,32
2026-02-02,36
2026-02-03,30
2026-02-04,30
2026-02-05,32
2026-02-06,31
2026-02-07,28
2026-02-08,30
2026-02-09,29
2026-02-10,29
2026-02-11,31
2026-02-12,30
2026-02-13,32
2026-02-14,28
2026-02-15,31
2026-02-16,33
2026-02-17,32
2026-02-18,30
2026-02-19,32
2026-02-20,33
2026-02-21,34
2026-02-22,33
2026-02-23,32
2026-02-24,32
2026-02-25,33
2026-02-26,35
2026-02-27,39
2026-02-28,24
2026-03-01,27
2026-03-02,39
2026-03-03,39
2026-03-04,37
2026-03-05,37
2026-03-06,35
2026-03-07,32
2026-03-08,33
2026-03-09,34
2026-03-10,32
2026-03-11,33
2026-03-12,32
2026-03-13,29
2026-03-14,29
2026-03-15,29
2026-03-16,30
2026-03-17,31
2026-03-18,31
2026-03-19,36
2026-03-20,35
2026-03-21,38
2026-03-22,38
2026-03-23,40
2026-03-24,34
2026-03-25,36
2026-03-26,34
2026-03-27,39
2026-03-28,41
2026-03-29,47
2026-03-30,46
2026-03-31,52
2026-04-01,60
2026-04-02,53
2026-04-03,57
2026-04-04,58
2026-04-05,56
2026-04-06,64
2026-04-07,64
2026-04-08,67
2026-04-09,69
2026-04-10,66
2026-04-11,72
2026-04-12,78
2026-04-13,72
2026-04-14,69
2026-04-15,68
2026-04-16,75
2026-04-17,74
2026-04-18,72
2026-04-19,59
2026-04-20,65
2026-04-21,58
2026-04-22,66
2026-04-23,58
2026-04-24,52
2026-04-25,54
2026-04-26,68
2026-04-27,61
2026-04-28,54
2026-04-29,65
2026-04-30,67
2026-05-01,80
2026-05-02,100
2026-05-03,90
2026-05-04,67
2026-05-05,57
2026-05-06,59
2026-05-07,58
2026-05-08,60
2026-05-09,64
2026-05-10,65
2026-05-11,52
2026-05-12,53
2026-05-13,72
2026-05-14,73
2026-05-15,80
2026-05-16,91
2026-05-17,89
2026-05-18,76
2026-05-19,76
2026-05-20,72
2026-05-21,61
2026-05-22,65
2026-05-23,60
2026-05-24,61
2026-05-25,57
2026-05-26,57
2026-05-27,52
2026-05-28,52
2026-05-29,51
2026-05-30,57
2026-05-31,65
