Time,dire wolf
2023-12-22,12
2023-12-23,13
2023-12-24,16
2023-12-25,15
2023-12-26,21
2023-12-27,14
2023-12-28,12
2023-12-29,16
2023-12-30,16
2023-12-31,15
2024-01-01,13
2024-01-02,14
2024-01-03,9
2024-01-04,18
2024-01-05,11
2024-01-06,15
2024-01-07,16
2024-01-08,13
2024-01-09,13
2024-01-10,10
2024-01-11,13
2024-01-12,12
2024-01-13,18
2024-01-14,17
2024-01-15,13
2024-01-16,10
2024-01-17,10
2024-01-18,15
2024-01-19,14
2024-01-20,19
2024-01-21,17
2024-01-22,14
2024-01-23,13
2024-01-24,12
2024-01-25,14
2024-01-26,12
2024-01-27,17
2024-01-28,18
2024-01-29,14
2024-01-30,12
2024-01-31,13
2024-02-01,11
2024-02-02,16
2024-02-03,15
2024-02-04,20
2024-02-05,14
2024-02-06,10
2024-02-07,13
2024-02-08,15
2024-02-09,15
2024-02-10,21
2024-02-11,18
2024-02-12,12
2024-02-13,14
2024-02-14,13
2024-02-15,14
2024-02-16,14
2024-02-17,16
2024-02-18,19
2024-02-19,12
2024-02-20,12
2024-02-21,14
2024-02-22,10
2024-02-23,11
2024-02-24,18
2024-02-25,15
2024-02-26,12
2024-02-27,9
2024-02-28,12
2024-02-29,10
2024-03-01,13
2024-03-02,12
2024-03-03,16
2024-03-04,11
2024-03-05,9
2024-03-06,10
2024-03-07,10
2024-03-08,12
2024-03-09,15
2024-03-10,14
2024-03-11,10
2024-03-12,14
2024-03-13,9
2024-03-14,8
2024-03-15,18
2024-03-16,18
2024-03-17,19
2024-03-18,15
2024-03-19,12
2024-03-20,13
2024-03-21,9
2024-03-22,8
2024-03-23,12
2024-03-24,20
2024-03-25,13
2024-03-26,16
2024-03-27,7
2024-03-28,13
2024-03-29,16
2024-03-30,21
2024-03-31,13
2024-04-01,8
2024-04-02,11
2024-04-03,13
2024-04-04,11
2024-04-05,8
2024-04-06,12
2024-04-07,20
2024-04-08,10
2024-04-09,11
2024-04-10,11
2024-04-11,15
2024-04-12,13
2024-04-13,12
2024-04-14,20
2024-04-15,18
2024-04-16,11
2024-04-17,12
2024-04-18,13
2024-04-19,10
2024-04-20,16
2024-04-21,16
2024-04-22,13
2024-04-23,11
2024-04-24,12
2024-04-25,14
2024-04-26,14
2024-04-27,17
2024-04-28,16
2024-04-29,9
2024-04-30,16
2024-05-01,19
2024-05-02,20
2024-05-03,13
2024-05-04,14
2024-05-05,15
2024-05-06,12
2024-05-07,8
2024-05-08,89
2024-05-09,44
2024-05-10,24
2024-05-11,27
2024-05-12,26
2024-05-13,19
2024-05-14,13
2024-05-15,100
2024-05-16,50
2024-05-17,33
2024-05-18,31
2024-05-19,30
2024-05-20,14
2024-05-21,26
2024-05-22,40
2024-05-23,19
2024-05-24,19
2024-05-25,15
2024-05-26,22
2024-05-27,22
2024-05-28,16
2024-05-29,11
2024-05-30,17
2024-05-31,16
2024-06-01,20
2024-06-02,22
2024-06-03,15
2024-06-04,19
2024-06-05,25
2024-06-06,23
2024-06-07,22
2024-06-08,20
2024-06-09,16
2024-06-10,15
2024-06-11,24
2024-06-12,26
2024-06-13,20
2024-06-14,18
2024-06-15,25
2024-06-16,21
2024-06-17,13
2024-06-18,16
2024-06-19,21
2024-06-20,16
2024-06-21,20
2024-06-22,16
2024-06-23,27
2024-06-24,17
2024-06-25,17
2024-06-26,17
2024-06-27,11
2024-06-28,11
2024-06-29,19
2024-06-30,21
2024-07-01,11
2024-07-02,14
2024-07-03,14
2024-07-04,25
2024-07-05,18
2024-07-06,21
2024-07-07,22
2024-07-08,16
2024-07-09,10
2024-07-10,15
2024-07-11,12
2024-07-12,17
2024-07-13,14
2024-07-14,19
2024-07-15,15
2024-07-16,16
2024-07-17,9
2024-07-18,12
2024-07-19,9
2024-07-20,14
2024-07-21,20
2024-07-22,11
2024-07-23,13
2024-07-24,16
2024-07-25,16
2024-07-26,12
2024-07-27,14
2024-07-28,15
2024-07-29,12
2024-07-30,9
2024-07-31,12
2024-08-01,14
2024-08-02,13
2024-08-03,11
2024-08-04,19
2024-08-05,20
2024-08-06,13
2024-08-07,14
2024-08-08,14
2024-08-09,14
2024-08-10,16
2024-08-11,15
2024-08-12,21
2024-08-13,30
2024-08-14,24
2024-08-15,23
2024-08-16,21
2024-08-17,18
2024-08-18,16
2024-08-19,19
2024-08-20,19
2024-08-21,14
2024-08-22,12
2024-08-23,12
2024-08-24,17
2024-08-25,22
2024-08-26,14
2024-08-27,10
2024-08-28,14
2024-08-29,10
2024-08-30,12
2024-08-31,21
2024-09-01,18
2024-09-02,19
2024-09-03,14
2024-09-04,15
2024-09-05,17
2024-09-06,12
2024-09-07,16
2024-09-08,17
2024-09-09,12
2024-09-10,13
2024-09-11,9
2024-09-12,15
2024-09-13,18
2024-09-14,12
2024-09-15,17
2024-09-16,18
