Time,mortgage calculator
2023-04-26,82
2023-04-27,93
2023-04-28,80
2023-04-29,88
2023-04-30,96
2023-05-01,92
2023-05-02,88
2023-05-03,85
2023-05-04,84
2023-05-05,81
2023-05-06,84
2023-05-07,83
2023-05-08,85
2023-05-09,85
2023-05-10,83
2023-05-11,92
2023-05-12,77
2023-05-13,82
2023-05-14,75
2023-05-15,89
2023-05-16,87
2023-05-17,82
2023-05-18,80
2023-05-19,85
2023-05-20,85
2023-05-21,85
2023-05-22,88
2023-05-23,86
2023-05-24,82
2023-05-25,87
2023-05-26,78
2023-05-27,78
2023-05-28,78
2023-05-29,81
2023-05-30,82
2023-05-31,88
2023-06-01,85
2023-06-02,85
2023-06-03,88
2023-06-04,87
2023-06-05,92
2023-06-06,85
2023-06-07,85
2023-06-08,84
2023-06-09,80
2023-06-10,83
2023-06-11,85
2023-06-12,86
2023-06-13,89
2023-06-14,86
2023-06-15,88
2023-06-16,81
2023-06-17,81
2023-06-18,81
2023-06-19,89
2023-06-20,86
2023-06-21,87
2023-06-22,94
2023-06-23,88
2023-06-24,85
2023-06-25,87
2023-06-26,90
2023-06-27,88
2023-06-28,83
2023-06-29,85
2023-06-30,76
2023-07-01,81
2023-07-02,80
2023-07-03,77
2023-07-04,76
2023-07-05,84
2023-07-06,95
2023-07-07,100
2023-07-08,94
2023-07-09,91
2023-07-10,87
2023-07-11,88
2023-07-12,91
2023-07-13,89
2023-07-14,82
2023-07-15,87
2023-07-16,85
2023-07-17,89
2023-07-18,82
2023-07-19,87
2023-07-20,85
2023-07-21,78
2023-07-22,85
2023-07-23,89
2023-07-24,85
2023-07-25,96
2023-07-26,87
2023-07-27,83
2023-07-28,78
2023-07-29,87
2023-07-30,85
2023-07-31,83
2023-08-01,85
2023-08-02,81
2023-08-03,78
2023-08-04,83
2023-08-05,80
2023-08-06,85
2023-08-07,81
2023-08-08,80
2023-08-09,77
2023-08-10,77
2023-08-11,77
2023-08-12,76
2023-08-13,79
2023-08-14,83
2023-08-15,81
2023-08-16,82
2023-08-17,85
2023-08-18,83
2023-08-19,80
2023-08-20,81
2023-08-21,82
2023-08-22,82
2023-08-23,82
2023-08-24,73
2023-08-25,79
2023-08-26,78
2023-08-27,80
2023-08-28,79
2023-08-29,77
2023-08-30,74
2023-08-31,73
2023-09-01,71
2023-09-02,74
2023-09-03,75
2023-09-04,79
2023-09-05,75
2023-09-06,77
2023-09-07,72
2023-09-08,69
2023-09-09,73
2023-09-10,72
2023-09-11,74
2023-09-12,70
2023-09-13,69
2023-09-14,68
2023-09-15,64
2023-09-16,73
2023-09-17,68
2023-09-18,75
2023-09-19,73
2023-09-20,69
2023-09-21,76
2023-09-22,66
2023-09-23,75
2023-09-24,70
2023-09-25,74
2023-09-26,72
2023-09-27,70
2023-09-28,71
2023-09-29,67
2023-09-30,72
2023-10-01,63
2023-10-02,72
2023-10-03,70
2023-10-04,75
2023-10-05,76
2023-10-06,77
2023-10-07,71
2023-10-08,72
2023-10-09,68
2023-10-10,69
2023-10-11,69
2023-10-12,70
2023-10-13,67
2023-10-14,68
2023-10-15,69
2023-10-16,72
2023-10-17,70
2023-10-18,71
2023-10-19,75
2023-10-20,74
2023-10-21,79
2023-10-22,76
2023-10-23,74
2023-10-24,74
2023-10-25,70
2023-10-26,69
2023-10-27,64
2023-10-28,67
2023-10-29,65
2023-10-30,71
2023-10-31,67
2023-11-01,70
2023-11-02,73
2023-11-03,71
2023-11-04,73
2023-11-05,76
2023-11-06,74
2023-11-07,74
2023-11-08,71
2023-11-09,68
2023-11-10,70
2023-11-11,68
2023-11-12,67
2023-11-13,70
2023-11-14,70
2023-11-15,72
2023-11-16,68
2023-11-17,62
2023-11-18,67
2023-11-19,63
2023-11-20,68
2023-11-21,64
2023-11-22,58
2023-11-23,48
2023-11-24,53
2023-11-25,58
2023-11-26,59
2023-11-27,68
2023-11-28,68
2023-11-29,71
2023-11-30,64
2023-12-01,65
2023-12-02,69
2023-12-03,63
2023-12-04,72
2023-12-05,72
2023-12-06,75
2023-12-07,68
2023-12-08,69
2023-12-09,71
2023-12-10,69
2023-12-11,70
2023-12-12,71
2023-12-13,75
2023-12-14,77
2023-12-15,71
2023-12-16,73
2023-12-17,66
2023-12-18,72
2023-12-19,69
2023-12-20,69
2023-12-21,67
2023-12-22,63
2023-12-23,60
2023-12-24,53
2023-12-25,47
2023-12-26,65
2023-12-27,82
2023-12-28,86
2023-12-29,84
2023-12-30,81
2023-12-31,73
2024-01-01,70
2024-01-02,82
2024-01-03,92
2024-01-04,93
2024-01-05,81
2024-01-06,91
2024-01-07,91
2024-01-08,76
2024-01-09,77
2024-01-10,81
2024-01-11,78
2024-01-12,78
2024-01-13,83
2024-01-14,77
2024-01-15,81
2024-01-16,77
2024-01-17,79
2024-01-18,76
2024-01-19,79
2024-01-20,86
