Time,mortgage calculator
2022-08-29,77
2022-08-30,73
2022-08-31,72
2022-09-01,73
2022-09-02,72
2022-09-03,69
2022-09-04,69
2022-09-05,75
2022-09-06,73
2022-09-07,72
2022-09-08,69
2022-09-09,65
2022-09-10,68
2022-09-11,71
2022-09-12,72
2022-09-13,72
2022-09-14,84
2022-09-15,79
2022-09-16,75
2022-09-17,78
2022-09-18,69
2022-09-19,78
2022-09-20,88
2022-09-21,89
2022-09-22,86
2022-09-23,78
2022-09-24,80
2022-09-25,72
2022-09-26,79
2022-09-27,85
2022-09-28,83
2022-09-29,74
2022-09-30,72
2022-10-01,73
2022-10-02,69
2022-10-03,73
2022-10-04,74
2022-10-05,74
2022-10-06,73
2022-10-07,71
2022-10-08,71
2022-10-09,67
2022-10-10,73
2022-10-11,78
2022-10-12,74
2022-10-13,78
2022-10-14,77
2022-10-15,72
2022-10-16,66
2022-10-17,73
2022-10-18,74
2022-10-19,100
2022-10-20,77
2022-10-21,75
2022-10-22,70
2022-10-23,68
2022-10-24,76
2022-10-25,75
2022-10-26,74
2022-10-27,76
2022-10-28,71
2022-10-29,70
2022-10-30,64
2022-10-31,68
2022-11-01,67
2022-11-02,77
2022-11-03,81
2022-11-04,73
2022-11-05,70
2022-11-06,64
2022-11-07,68
2022-11-08,63
2022-11-09,60
2022-11-10,63
2022-11-11,67
2022-11-12,63
2022-11-13,62
2022-11-14,64
2022-11-15,63
2022-11-16,58
2022-11-17,66
2022-11-18,64
2022-11-19,62
2022-11-20,57
2022-11-21,61
2022-11-22,57
2022-11-23,58
2022-11-24,43
2022-11-25,48
2022-11-26,55
2022-11-27,59
2022-11-28,59
2022-11-29,62
2022-11-30,62
2022-12-01,66
2022-12-02,60
2022-12-03,62
2022-12-04,59
2022-12-05,63
2022-12-06,62
2022-12-07,61
2022-12-08,62
2022-12-09,55
2022-12-10,58
2022-12-11,60
2022-12-12,60
2022-12-13,60
2022-12-14,61
2022-12-15,60
2022-12-16,56
2022-12-17,60
2022-12-18,52
2022-12-19,59
2022-12-20,59
2022-12-21,60
2022-12-22,48
2022-12-23,48
2022-12-24,42
2022-12-25,38
2022-12-26,54
2022-12-27,68
2022-12-28,72
2022-12-29,75
2022-12-30,68
2022-12-31,67
2023-01-01,58
2023-01-02,75
2023-01-03,72
2023-01-04,77
2023-01-05,74
2023-01-06,75
2023-01-07,82
2023-01-08,84
2023-01-09,83
2023-01-10,79
2023-01-11,80
2023-01-12,76
2023-01-13,75
2023-01-14,84
2023-01-15,80
2023-01-16,91
2023-01-17,81
2023-01-18,91
2023-01-19,80
2023-01-20,82
2023-01-21,84
2023-01-22,86
2023-01-23,80
2023-01-24,84
2023-01-25,78
2023-01-26,79
2023-01-27,76
2023-01-28,92
2023-01-29,83
2023-01-30,75
2023-01-31,80
2023-02-01,78
2023-02-02,87
2023-02-03,80
2023-02-04,86
2023-02-05,88
2023-02-06,83
2023-02-07,78
2023-02-08,74
2023-02-09,74
2023-02-10,77
2023-02-11,86
2023-02-12,77
2023-02-13,65
2023-02-14,71
2023-02-15,77
2023-02-16,77
2023-02-17,79
2023-02-18,85
2023-02-19,84
2023-02-20,81
2023-02-21,79
2023-02-22,89
2023-02-23,79
2023-02-24,78
2023-02-25,91
2023-02-26,86
2023-02-27,90
2023-02-28,77
2023-03-01,83
2023-03-02,82
2023-03-03,83
2023-03-04,93
2023-03-05,92
2023-03-06,83
2023-03-07,87
2023-03-08,83
2023-03-09,86
2023-03-10,85
2023-03-11,87
2023-03-12,83
2023-03-13,84
2023-03-14,94
2023-03-15,87
2023-03-16,83
2023-03-17,77
2023-03-18,83
2023-03-19,89
2023-03-20,91
2023-03-21,82
2023-03-22,94
2023-03-23,82
2023-03-24,93
2023-03-25,83
2023-03-26,84
2023-03-27,81
2023-03-28,82
2023-03-29,88
2023-03-30,80
2023-03-31,78
2023-04-01,83
2023-04-02,89
2023-04-03,83
2023-04-04,78
2023-04-05,81
2023-04-06,81
2023-04-07,81
2023-04-08,91
2023-04-09,78
2023-04-10,89
2023-04-11,87
2023-04-12,87
2023-04-13,86
2023-04-14,81
2023-04-15,90
2023-04-16,89
2023-04-17,86
2023-04-18,81
2023-04-19,83
2023-04-20,82
2023-04-21,82
2023-04-22,88
2023-04-23,88
2023-04-24,88
2023-04-25,84
2023-04-26,80
2023-04-27,90
2023-04-28,78
2023-04-29,85
2023-04-30,93
2023-05-01,89
2023-05-02,85
2023-05-03,82
2023-05-04,82
2023-05-05,79
2023-05-06,81
2023-05-07,81
2023-05-08,82
2023-05-09,83
2023-05-10,80
2023-05-11,90
2023-05-12,75
2023-05-13,79
2023-05-14,72
2023-05-15,86
2023-05-16,85
2023-05-17,79
2023-05-18,77
2023-05-19,82
2023-05-20,83
2023-05-21,83
2023-05-22,85
2023-05-23,83
2023-05-24,79
2023-05-25,84
