Time,salvador ramos
2022-08-29,15
2022-08-30,13
2022-08-31,14
2022-09-01,15
2022-09-02,10
2022-09-03,16
2022-09-04,11
2022-09-05,19
2022-09-06,29
2022-09-07,24
2022-09-08,16
2022-09-09,14
2022-09-10,16
2022-09-11,13
2022-09-12,0
2022-09-13,14
2022-09-14,17
2022-09-15,12
2022-09-16,10
2022-09-17,12
2022-09-18,9
2022-09-19,13
2022-09-20,9
2022-09-21,15
2022-09-22,12
2022-09-23,10
2022-09-24,17
2022-09-25,11
2022-09-26,0
2022-09-27,14
2022-09-28,10
2022-09-29,9
2022-09-30,10
2022-10-01,9
2022-10-02,11
2022-10-03,12
2022-10-04,11
2022-10-05,7
2022-10-06,11
2022-10-07,18
2022-10-08,15
2022-10-09,13
2022-10-10,9
2022-10-11,12
2022-10-12,14
2022-10-13,19
2022-10-14,24
2022-10-15,13
2022-10-16,0
2022-10-17,7
2022-10-18,8
2022-10-19,12
2022-10-20,13
2022-10-21,14
2022-10-22,15
2022-10-23,14
2022-10-24,14
2022-10-25,11
2022-10-26,0
2022-10-27,17
2022-10-28,14
2022-10-29,10
2022-10-30,0
2022-10-31,16
2022-11-01,9
2022-11-02,22
2022-11-03,26
2022-11-04,19
2022-11-05,0
2022-11-06,17
2022-11-07,11
2022-11-08,10
2022-11-09,14
2022-11-10,19
2022-11-11,12
2022-11-12,12
2022-11-13,11
2022-11-14,11
2022-11-15,16
2022-11-16,14
2022-11-17,14
2022-11-18,10
2022-11-19,8
2022-11-20,13
2022-11-21,10
2022-11-22,11
2022-11-23,15
2022-11-24,13
2022-11-25,0
2022-11-26,0
2022-11-27,8
2022-11-28,11
2022-11-29,9
2022-11-30,9
2022-12-01,9
2022-12-02,7
2022-12-03,15
2022-12-04,10
2022-12-05,8
2022-12-06,9
2022-12-07,10
2022-12-08,8
2022-12-09,9
2022-12-10,17
2022-12-11,12
2022-12-12,13
2022-12-13,8
2022-12-14,21
2022-12-15,7
2022-12-16,12
2022-12-17,0
2022-12-18,0
2022-12-19,15
2022-12-20,0
2022-12-21,13
2022-12-22,12
2022-12-23,0
2022-12-24,0
2022-12-25,0
2022-12-26,0
2022-12-27,9
2022-12-28,0
2022-12-29,10
2022-12-30,10
2022-12-31,0
2023-01-01,0
2023-01-02,0
2023-01-03,9
2023-01-04,0
2023-01-05,0
2023-01-06,17
2023-01-07,21
2023-01-08,18
2023-01-09,0
2023-01-10,8
2023-01-11,16
2023-01-12,15
2023-01-13,0
2023-01-14,0
2023-01-15,0
2023-01-16,0
2023-01-17,7
2023-01-18,0
2023-01-19,0
2023-01-20,0
2023-01-21,0
2023-01-22,20
2023-01-23,12
2023-01-24,7
2023-01-25,0
2023-01-26,11
2023-01-27,8
2023-01-28,10
2023-01-29,0
2023-01-30,7
2023-01-31,8
2023-02-01,0
2023-02-02,0
2023-02-03,0
2023-02-04,0
2023-02-05,0
2023-02-06,12
2023-02-07,0
2023-02-08,0
2023-02-09,0
2023-02-10,0
2023-02-11,0
2023-02-12,0
2023-02-13,0
2023-02-14,0
2023-02-15,8
2023-02-16,0
2023-02-17,10
2023-02-18,0
2023-02-19,8
2023-02-20,8
2023-02-21,0
2023-02-22,7
2023-02-23,8
2023-02-24,0
2023-02-25,0
2023-02-26,9
2023-02-27,0
2023-02-28,0
2023-03-01,7
2023-03-02,7
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,9
2023-03-09,0
2023-03-10,0
2023-03-11,0
2023-03-12,0
2023-03-13,0
2023-03-14,0
2023-03-15,7
2023-03-16,0
2023-03-17,0
2023-03-18,9
2023-03-19,0
2023-03-20,0
2023-03-21,7
2023-03-22,14
2023-03-23,0
2023-03-24,10
2023-03-25,9
2023-03-26,0
2023-03-27,23
2023-03-28,56
2023-03-29,60
2023-03-30,24
2023-03-31,18
2023-04-01,19
2023-04-02,13
2023-04-03,16
2023-04-04,13
2023-04-05,9
2023-04-06,10
2023-04-07,0
2023-04-08,10
2023-04-09,10
2023-04-10,9
2023-04-11,14
2023-04-12,9
2023-04-13,0
2023-04-14,0
2023-04-15,9
2023-04-16,10
2023-04-17,0
2023-04-18,0
2023-04-19,26
2023-04-20,31
2023-04-21,11
2023-04-22,0
2023-04-23,0
2023-04-24,0
2023-04-25,9
2023-04-26,11
2023-04-27,7
2023-04-28,8
2023-04-29,0
2023-04-30,11
2023-05-01,0
2023-05-02,0
2023-05-03,0
2023-05-04,15
2023-05-05,11
2023-05-06,0
2023-05-07,17
2023-05-08,14
2023-05-09,12
2023-05-10,13
2023-05-11,8
2023-05-12,0
2023-05-13,0
2023-05-14,0
2023-05-15,0
2023-05-16,0
2023-05-17,11
2023-05-18,0
2023-05-19,0
2023-05-20,76
2023-05-21,54
2023-05-22,42
2023-05-23,42
2023-05-24,100
2023-05-25,48
