Time,bivol
2023-12-22,10
2023-12-23,80
2023-12-24,39
2023-12-25,11
2023-12-26,6
2023-12-27,3
2023-12-28,4
2023-12-29,3
2023-12-30,4
2023-12-31,3
2024-01-01,3
2024-01-02,2
2024-01-03,2
2024-01-04,0
2024-01-05,2
2024-01-06,2
2024-01-07,2
2024-01-08,2
2024-01-09,3
2024-01-10,2
2024-01-11,0
2024-01-12,0
2024-01-13,2
2024-01-14,16
2024-01-15,5
2024-01-16,3
2024-01-17,4
2024-01-18,2
2024-01-19,2
2024-01-20,3
2024-01-21,2
2024-01-22,1
2024-01-23,3
2024-01-24,2
2024-01-25,3
2024-01-26,0
2024-01-27,3
2024-01-28,4
2024-01-29,2
2024-01-30,3
2024-01-31,2
2024-02-01,3
2024-02-02,0
2024-02-03,2
2024-02-04,5
2024-02-05,4
2024-02-06,2
2024-02-07,1
2024-02-08,2
2024-02-09,3
2024-02-10,2
2024-02-11,2
2024-02-12,1
2024-02-13,2
2024-02-14,2
2024-02-15,3
2024-02-16,2
2024-02-17,2
2024-02-18,3
2024-02-19,2
2024-02-20,0
2024-02-21,2
2024-02-22,3
2024-02-23,4
2024-02-24,3
2024-02-25,3
2024-02-26,2
2024-02-27,4
2024-02-28,2
2024-02-29,2
2024-03-01,3
2024-03-02,3
2024-03-03,3
2024-03-04,4
2024-03-05,3
2024-03-06,4
2024-03-07,3
2024-03-08,3
2024-03-09,4
2024-03-10,3
2024-03-11,2
2024-03-12,2
2024-03-13,1
2024-03-14,3
2024-03-15,2
2024-03-16,2
2024-03-17,3
2024-03-18,2
2024-03-19,3
2024-03-20,4
2024-03-21,4
2024-03-22,4
2024-03-23,4
2024-03-24,4
2024-03-25,3
2024-03-26,2
2024-03-27,5
2024-03-28,2
2024-03-29,3
2024-03-30,4
2024-03-31,8
2024-04-01,3
2024-04-02,3
2024-04-03,4
2024-04-04,3
2024-04-05,3
2024-04-06,5
2024-04-07,4
2024-04-08,2
2024-04-09,4
2024-04-10,4
2024-04-11,3
2024-04-12,2
2024-04-13,4
2024-04-14,5
2024-04-15,9
2024-04-16,11
2024-04-17,6
2024-04-18,6
2024-04-19,6
2024-04-20,7
2024-04-21,20
2024-04-22,9
2024-04-23,9
2024-04-24,9
2024-04-25,8
2024-04-26,6
2024-04-27,6
2024-04-28,7
2024-04-29,8
2024-04-30,7
2024-05-01,7
2024-05-02,15
2024-05-03,11
2024-05-04,25
2024-05-05,100
2024-05-06,29
2024-05-07,22
2024-05-08,12
2024-05-09,12
2024-05-10,11
2024-05-11,9
2024-05-12,12
2024-05-13,6
2024-05-14,5
2024-05-15,6
2024-05-16,5
2024-05-17,4
2024-05-18,8
2024-05-19,9
2024-05-20,6
2024-05-21,6
2024-05-22,6
2024-05-23,4
2024-05-24,3
2024-05-25,6
2024-05-26,7
2024-05-27,7
2024-05-28,8
2024-05-29,7
2024-05-30,10
2024-05-31,14
2024-06-01,99
2024-06-02,66
2024-06-03,13
2024-06-04,9
2024-06-05,5
2024-06-06,6
2024-06-07,4
2024-06-08,6
2024-06-09,4
2024-06-10,2
2024-06-11,4
2024-06-12,3
2024-06-13,5
2024-06-14,5
2024-06-15,6
2024-06-16,18
2024-06-17,7
2024-06-18,4
2024-06-19,4
2024-06-20,5
2024-06-21,3
2024-06-22,5
2024-06-23,3
2024-06-24,3
2024-06-25,3
2024-06-26,3
2024-06-27,2
2024-06-28,2
2024-06-29,4
2024-06-30,3
2024-07-01,2
2024-07-02,3
2024-07-03,0
2024-07-04,3
2024-07-05,2
2024-07-06,0
2024-07-07,6
2024-07-08,2
2024-07-09,3
2024-07-10,3
2024-07-11,3
2024-07-12,0
2024-07-13,3
2024-07-14,3
2024-07-15,2
2024-07-16,3
2024-07-17,0
2024-07-18,0
2024-07-19,3
2024-07-20,3
2024-07-21,3
2024-07-22,3
2024-07-23,2
2024-07-24,4
2024-07-25,2
2024-07-26,3
2024-07-27,4
2024-07-28,4
2024-07-29,4
2024-07-30,0
2024-07-31,3
2024-08-01,3
2024-08-02,3
2024-08-03,4
2024-08-04,11
2024-08-05,4
2024-08-06,5
2024-08-07,9
2024-08-08,7
2024-08-09,8
2024-08-10,5
2024-08-11,7
2024-08-12,4
2024-08-13,5
2024-08-14,3
2024-08-15,3
2024-08-16,4
2024-08-17,4
2024-08-18,6
2024-08-19,6
2024-08-20,7
2024-08-21,7
2024-08-22,6
2024-08-23,6
2024-08-24,4
2024-08-25,7
2024-08-26,4
2024-08-27,5
2024-08-28,5
2024-08-29,5
2024-08-30,6
2024-08-31,6
2024-09-01,10
2024-09-02,15
2024-09-03,10
2024-09-04,8
2024-09-05,9
2024-09-06,11
2024-09-07,14
2024-09-08,14
2024-09-09,8
2024-09-10,7
2024-09-11,8
2024-09-12,8
2024-09-13,12
2024-09-14,19
2024-09-15,74
2024-09-16,25
