Time,doctor strange
2025-04-15,50
2025-04-16,44
2025-04-17,54
2025-04-18,83
2025-04-19,59
2025-04-20,71
2025-04-21,49
2025-04-22,51
2025-04-23,42
2025-04-24,42
2025-04-25,45
2025-04-26,52
2025-04-27,57
2025-04-28,52
2025-04-29,45
2025-04-30,44
2025-05-01,47
2025-05-02,50
2025-05-03,67
2025-05-04,67
2025-05-05,58
2025-05-06,44
2025-05-07,49
2025-05-08,47
2025-05-09,62
2025-05-10,68
2025-05-11,77
2025-05-12,60
2025-05-13,54
2025-05-14,45
2025-05-15,54
2025-05-16,45
2025-05-17,60
2025-05-18,72
2025-05-19,51
2025-05-20,53
2025-05-21,47
2025-05-22,51
2025-05-23,50
2025-05-24,68
2025-05-25,60
2025-05-26,69
2025-05-27,54
2025-05-28,51
2025-05-29,54
2025-05-30,54
2025-05-31,61
2025-06-01,68
2025-06-02,50
2025-06-03,49
2025-06-04,44
2025-06-05,38
2025-06-06,48
2025-06-07,68
2025-06-08,58
2025-06-09,56
2025-06-10,43
2025-06-11,39
2025-06-12,48
2025-06-13,48
2025-06-14,42
2025-06-15,51
2025-06-16,41
2025-06-17,55
2025-06-18,32
2025-06-19,55
2025-06-20,43
2025-06-21,45
2025-06-22,34
2025-06-23,40
2025-06-24,45
2025-06-25,38
2025-06-26,46
2025-06-27,48
2025-06-28,50
2025-06-29,49
2025-06-30,39
2025-07-01,40
2025-07-02,41
2025-07-03,43
2025-07-04,62
2025-07-05,66
2025-07-06,69
2025-07-07,71
2025-07-08,42
2025-07-09,53
2025-07-10,41
2025-07-11,42
2025-07-12,56
2025-07-13,67
2025-07-14,53
2025-07-15,47
2025-07-16,53
2025-07-17,63
2025-07-18,57
2025-07-19,65
2025-07-20,80
2025-07-21,56
2025-07-22,56
2025-07-23,55
2025-07-24,65
2025-07-25,72
2025-07-26,100
2025-07-27,89
2025-07-28,71
2025-07-29,73
2025-07-30,81
2025-07-31,78
2025-08-01,69
2025-08-02,80
2025-08-03,83
2025-08-04,62
2025-08-05,56
2025-08-06,52
2025-08-07,61
2025-08-08,62
2025-08-09,69
2025-08-10,90
2025-08-11,56
2025-08-12,58
2025-08-13,61
2025-08-14,64
2025-08-15,56
2025-08-16,70
2025-08-17,72
2025-08-18,65
2025-08-19,61
2025-08-20,55
2025-08-21,63
2025-08-22,42
2025-08-23,72
2025-08-24,76
2025-08-25,60
2025-08-26,58
2025-08-27,52
2025-08-28,60
2025-08-29,63
2025-08-30,63
2025-08-31,71
2025-09-01,69
2025-09-02,48
2025-09-03,55
2025-09-04,47
2025-09-05,38
2025-09-06,66
2025-09-07,62
2025-09-08,63
2025-09-09,50
2025-09-10,38
2025-09-11,40
2025-09-12,44
2025-09-13,45
2025-09-14,58
2025-09-15,44
2025-09-16,47
2025-09-17,49
2025-09-18,34
2025-09-19,37
2025-09-20,58
2025-09-21,48
2025-09-22,41
2025-09-23,38
2025-09-24,45
2025-09-25,37
2025-09-26,49
2025-09-27,67
2025-09-28,72
2025-09-29,37
2025-09-30,47
2025-10-01,39
2025-10-02,40
2025-10-03,46
2025-10-04,50
2025-10-05,48
2025-10-06,48
2025-10-07,48
2025-10-08,51
2025-10-09,45
2025-10-10,36
2025-10-11,56
2025-10-12,47
2025-10-13,42
2025-10-14,34
2025-10-15,40
2025-10-16,46
2025-10-17,46
2025-10-18,44
2025-10-19,48
2025-10-20,35
2025-10-21,40
2025-10-22,40
2025-10-23,48
2025-10-24,35
2025-10-25,45
2025-10-26,50
2025-10-27,39
2025-10-28,45
2025-10-29,46
2025-10-30,40
2025-10-31,50
2025-11-01,39
2025-11-02,48
2025-11-03,34
2025-11-04,35
2025-11-05,42
2025-11-06,36
2025-11-07,35
2025-11-08,46
2025-11-09,55
2025-11-10,39
2025-11-11,41
2025-11-12,57
2025-11-13,43
2025-11-14,44
2025-11-15,60
2025-11-16,48
2025-11-17,40
2025-11-18,44
2025-11-19,41
2025-11-20,43
2025-11-21,44
2025-11-22,51
2025-11-23,60
2025-11-24,43
2025-11-25,46
2025-11-26,45
2025-11-27,39
2025-11-28,55
2025-11-29,65
2025-11-30,56
2025-12-01,50
2025-12-02,45
2025-12-03,35
2025-12-04,40
2025-12-05,39
2025-12-06,42
2025-12-07,60
2025-12-08,33
2025-12-09,34
2025-12-10,39
2025-12-11,60
2025-12-12,42
2025-12-13,42
2025-12-14,46
2025-12-15,34
2025-12-16,55
2025-12-17,48
2025-12-18,46
2025-12-19,40
2025-12-20,51
2025-12-21,43
2025-12-22,42
2025-12-23,42
2025-12-24,40
2025-12-25,44
2025-12-26,55
2025-12-27,69
2025-12-28,55
2025-12-29,52
2025-12-30,74
2025-12-31,56
2026-01-01,56
2026-01-02,63
2026-01-03,52
2026-01-04,69
2026-01-05,43
2026-01-06,51
2026-01-07,55
2026-01-08,46
2026-01-09,53
