Time,target
2022-01-01,91
2022-01-02,77
2022-01-03,65
2022-01-04,70
2022-01-05,60
2022-01-06,53
2022-01-07,62
2022-01-08,72
2022-01-09,72
2022-01-10,59
2022-01-11,58
2022-01-12,55
2022-01-13,55
2022-01-14,50
2022-01-15,69
2022-01-16,58
2022-01-17,57
2022-01-18,49
2022-01-19,48
2022-01-20,48
2022-01-21,54
2022-01-22,69
2022-01-23,64
2022-01-24,65
2022-01-25,46
2022-01-26,45
2022-01-27,48
2022-01-28,53
2022-01-29,63
2022-01-30,63
2022-01-31,53
2022-02-01,52
2022-02-02,51
2022-02-03,51
2022-02-04,55
2022-02-05,66
2022-02-06,69
2022-02-07,56
2022-02-08,54
2022-02-09,55
2022-02-10,46
2022-02-11,56
2022-02-12,69
2022-02-13,67
2022-02-14,54
2022-02-15,50
2022-02-16,50
2022-02-17,50
2022-02-18,54
2022-02-19,63
2022-02-20,67
2022-02-21,59
2022-02-22,51
2022-02-23,51
2022-02-24,49
2022-02-25,52
2022-02-26,64
2022-02-27,65
2022-02-28,60
2022-03-01,70
2022-03-02,63
2022-03-03,58
2022-03-04,57
2022-03-05,65
2022-03-06,68
2022-03-07,54
2022-03-08,51
2022-03-09,50
2022-03-10,56
2022-03-11,56
2022-03-12,66
2022-03-13,68
2022-03-14,55
2022-03-15,53
2022-03-16,54
2022-03-17,54
2022-03-18,54
2022-03-19,65
2022-03-20,69
2022-03-21,55
2022-03-22,53
2022-03-23,52
2022-03-24,51
2022-03-25,51
2022-03-26,65
2022-03-27,66
2022-03-28,48
2022-03-29,47
2022-03-30,51
2022-03-31,49
2022-04-01,54
2022-04-02,69
2022-04-03,69
2022-04-04,56
2022-04-05,54
2022-04-06,51
2022-04-07,53
2022-04-08,55
2022-04-09,67
2022-04-10,68
2022-04-11,53
2022-04-12,51
2022-04-13,51
2022-04-14,56
2022-04-15,63
2022-04-16,70
2022-04-17,100
2022-04-18,58
2022-04-19,50
2022-04-20,50
2022-04-21,51
2022-04-22,54
2022-04-23,65
2022-04-24,67
2022-04-25,53
2022-04-26,51
2022-04-27,49
2022-04-28,52
2022-04-29,52
2022-04-30,66
2022-05-01,70
2022-05-02,52
2022-05-03,51
2022-05-04,54
2022-05-05,53
2022-05-06,56
2022-05-07,70
2022-05-08,69
2022-05-09,53
2022-05-10,54
2022-05-11,52
2022-05-12,54
2022-05-13,59
2022-05-14,69
2022-05-15,66
2022-05-16,54
2022-05-17,54
2022-05-18,59
2022-05-19,59
2022-05-20,59
2022-05-21,69
2022-05-22,71
2022-05-23,56
2022-05-24,57
2022-05-25,53
2022-05-26,53
2022-05-27,57
2022-05-28,66
2022-05-29,74
2022-05-30,77
2022-05-31,57
2022-06-01,54
2022-06-02,54
2022-06-03,59
2022-06-04,66
2022-06-05,68
2022-06-06,56
2022-06-07,57
2022-06-08,66
2022-06-09,62
2022-06-10,66
2022-06-11,72
2022-06-12,75
2022-06-13,63
2022-06-14,60
2022-06-15,60
2022-06-16,59
2022-06-17,61
2022-06-18,73
2022-06-19,69
2022-06-20,62
2022-06-21,58
2022-06-22,57
2022-06-23,61
2022-06-24,60
2022-06-25,66
2022-06-26,70
2022-06-27,56
2022-06-28,58
2022-06-29,60
2022-06-30,58
2022-07-01,64
2022-07-02,65
2022-07-03,75
2022-07-04,89
2022-07-05,58
2022-07-06,58
2022-07-07,56
2022-07-08,61
2022-07-09,69
2022-07-10,73
2022-07-11,73
2022-07-12,74
2022-07-13,67
2022-07-14,65
2022-07-15,65
2022-07-16,68
2022-07-17,72
2022-07-18,60
2022-07-19,58
2022-07-20,63
2022-07-21,58
2022-07-22,61
2022-07-23,70
2022-07-24,72
2022-07-25,61
2022-07-26,59
2022-07-27,55
2022-07-28,59
2022-07-29,62
2022-07-30,61
2022-07-31,72
2022-08-01,63
2022-08-02,60
2022-08-03,58
2022-08-04,60
2022-08-05,65
2022-08-06,72
2022-08-07,74
2022-08-08,63
2022-08-09,61
2022-08-10,60
2022-08-11,59
2022-08-12,60
2022-08-13,69
2022-08-14,77
2022-08-15,65
2022-08-16,61
2022-08-17,62
2022-08-18,63
2022-08-19,62
2022-08-20,76
2022-08-21,73
2022-08-22,58
2022-08-23,56
2022-08-24,55
2022-08-25,55
2022-08-26,58
2022-08-27,68
2022-08-28,71
2022-08-29,55
2022-08-30,54
2022-08-31,53
2022-09-01,52
2022-09-02,59
2022-09-03,67
2022-09-04,70
2022-09-05,80
2022-09-06,53
2022-09-07,52
2022-09-08,49
2022-09-09,51
2022-09-10,64
2022-09-11,64
2022-09-12,53
2022-09-13,52
2022-09-14,51
2022-09-15,52
2022-09-16,56
2022-09-17,66
2022-09-18,65
2022-09-19,51
2022-09-20,51
2022-09-21,49
2022-09-22,51
2022-09-23,57
2022-09-24,62
2022-09-25,66
2022-09-26,51
2022-09-27,52
