Time,yahoo finance
2022-08-29,64
2022-08-30,65
2022-08-31,59
2022-09-01,66
2022-09-02,56
2022-09-03,14
2022-09-04,12
2022-09-05,17
2022-09-06,57
2022-09-07,56
2022-09-08,58
2022-09-09,52
2022-09-10,16
2022-09-11,13
2022-09-12,68
2022-09-13,78
2022-09-14,68
2022-09-15,67
2022-09-16,59
2022-09-17,17
2022-09-18,13
2022-09-19,61
2022-09-20,67
2022-09-21,72
2022-09-22,66
2022-09-23,64
2022-09-24,17
2022-09-25,14
2022-09-26,62
2022-09-27,66
2022-09-28,61
2022-09-29,65
2022-09-30,59
2022-10-01,16
2022-10-02,15
2022-10-03,69
2022-10-04,71
2022-10-05,67
2022-10-06,65
2022-10-07,65
2022-10-08,17
2022-10-09,13
2022-10-10,60
2022-10-11,61
2022-10-12,61
2022-10-13,73
2022-10-14,63
2022-10-15,16
2022-10-16,14
2022-10-17,60
2022-10-18,64
2022-10-19,63
2022-10-20,63
2022-10-21,57
2022-10-22,16
2022-10-23,14
2022-10-24,61
2022-10-25,66
2022-10-26,65
2022-10-27,74
2022-10-28,69
2022-10-29,18
2022-10-30,15
2022-10-31,64
2022-11-01,69
2022-11-02,72
2022-11-03,66
2022-11-04,63
2022-11-05,17
2022-11-06,12
2022-11-07,59
2022-11-08,59
2022-11-09,67
2022-11-10,77
2022-11-11,67
2022-11-12,21
2022-11-13,17
2022-11-14,68
2022-11-15,69
2022-11-16,69
2022-11-17,67
2022-11-18,61
2022-11-19,17
2022-11-20,14
2022-11-21,59
2022-11-22,58
2022-11-23,52
2022-11-24,18
2022-11-25,39
2022-11-26,14
2022-11-27,14
2022-11-28,53
2022-11-29,53
2022-11-30,55
2022-12-01,60
2022-12-02,63
2022-12-03,18
2022-12-04,13
2022-12-05,56
2022-12-06,59
2022-12-07,57
2022-12-08,58
2022-12-09,53
2022-12-10,16
2022-12-11,13
2022-12-12,56
2022-12-13,59
2022-12-14,65
2022-12-15,57
2022-12-16,52
2022-12-17,17
2022-12-18,12
2022-12-19,56
2022-12-20,57
2022-12-21,53
2022-12-22,59
2022-12-23,51
2022-12-24,15
2022-12-25,10
2022-12-26,25
2022-12-27,53
2022-12-28,58
2022-12-29,55
2022-12-30,53
2022-12-31,17
2023-01-01,12
2023-01-02,25
2023-01-03,54
2023-01-04,57
2023-01-05,56
2023-01-06,56
2023-01-07,17
2023-01-08,13
2023-01-09,63
2023-01-10,58
2023-01-11,58
2023-01-12,65
2023-01-13,57
2023-01-14,18
2023-01-15,13
2023-01-16,27
2023-01-17,59
2023-01-18,56
2023-01-19,60
2023-01-20,55
2023-01-21,17
2023-01-22,13
2023-01-23,62
2023-01-24,66
2023-01-25,63
2023-01-26,64
2023-01-27,63
2023-01-28,19
2023-01-29,15
2023-01-30,59
2023-01-31,65
2023-02-01,72
2023-02-02,82
2023-02-03,71
2023-02-04,20
2023-02-05,18
2023-02-06,64
2023-02-07,67
2023-02-08,64
2023-02-09,71
2023-02-10,61
2023-02-11,18
2023-02-12,14
2023-02-13,54
2023-02-14,67
2023-02-15,66
2023-02-16,66
2023-02-17,58
2023-02-18,17
2023-02-19,12
2023-02-20,30
2023-02-21,60
2023-02-22,62
2023-02-23,61
2023-02-24,58
2023-02-25,19
2023-02-26,15
2023-02-27,60
2023-02-28,57
2023-03-01,61
2023-03-02,59
2023-03-03,55
2023-03-04,18
2023-03-05,13
2023-03-06,58
2023-03-07,60
2023-03-08,55
2023-03-09,59
2023-03-10,75
2023-03-11,23
2023-03-12,21
2023-03-13,100
2023-03-14,82
2023-03-15,82
2023-03-16,71
2023-03-17,63
2023-03-18,20
2023-03-19,19
2023-03-20,71
2023-03-21,70
2023-03-22,74
2023-03-23,68
2023-03-24,62
2023-03-25,17
2023-03-26,16
2023-03-27,59
2023-03-28,60
2023-03-29,60
2023-03-30,71
2023-03-31,53
2023-04-01,17
2023-04-02,16
2023-04-03,62
2023-04-04,58
2023-04-05,59
2023-04-06,58
2023-04-07,38
2023-04-08,13
2023-04-09,12
2023-04-10,59
2023-04-11,59
2023-04-12,60
2023-04-13,54
2023-04-14,58
2023-04-15,16
2023-04-16,15
2023-04-17,51
2023-04-18,60
2023-04-19,62
2023-04-20,62
2023-04-21,52
2023-04-22,17
2023-04-23,14
2023-04-24,56
2023-04-25,57
2023-04-26,61
2023-04-27,58
2023-04-28,58
2023-04-29,18
2023-04-30,17
2023-05-01,59
2023-05-02,65
2023-05-03,61
2023-05-04,67
2023-05-05,59
2023-05-06,17
2023-05-07,13
2023-05-08,57
2023-05-09,57
2023-05-10,58
2023-05-11,57
2023-05-12,53
2023-05-13,14
2023-05-14,12
2023-05-15,58
2023-05-16,57
2023-05-17,55
2023-05-18,59
2023-05-19,58
2023-05-20,16
2023-05-21,13
2023-05-22,53
2023-05-23,62
2023-05-24,59
2023-05-25,63
