Time,phillies
2023-12-22,5
2023-12-23,5
2023-12-24,4
2023-12-25,5
2023-12-26,4
2023-12-27,4
2023-12-28,4
2023-12-29,4
2023-12-30,4
2023-12-31,4
2024-01-01,4
2024-01-02,4
2024-01-03,4
2024-01-04,4
2024-01-05,4
2024-01-06,4
2024-01-07,5
2024-01-08,4
2024-01-09,4
2024-01-10,4
2024-01-11,4
2024-01-12,4
2024-01-13,4
2024-01-14,4
2024-01-15,4
2024-01-16,5
2024-01-17,4
2024-01-18,4
2024-01-19,4
2024-01-20,4
2024-01-21,4
2024-01-22,4
2024-01-23,4
2024-01-24,5
2024-01-25,5
2024-01-26,4
2024-01-27,4
2024-01-28,4
2024-01-29,4
2024-01-30,4
2024-01-31,5
2024-02-01,4
2024-02-02,4
2024-02-03,4
2024-02-04,5
2024-02-05,4
2024-02-06,4
2024-02-07,5
2024-02-08,5
2024-02-09,5
2024-02-10,5
2024-02-11,5
2024-02-12,5
2024-02-13,5
2024-02-14,6
2024-02-15,6
2024-02-16,6
2024-02-17,7
2024-02-18,7
2024-02-19,7
2024-02-20,7
2024-02-21,6
2024-02-22,7
2024-02-23,7
2024-02-24,18
2024-02-25,17
2024-02-26,12
2024-02-27,10
2024-02-28,11
2024-02-29,11
2024-03-01,11
2024-03-02,11
2024-03-03,13
2024-03-04,10
2024-03-05,9
2024-03-06,7
2024-03-07,8
2024-03-08,8
2024-03-09,10
2024-03-10,11
2024-03-11,8
2024-03-12,8
2024-03-13,8
2024-03-14,9
2024-03-15,8
2024-03-16,11
2024-03-17,12
2024-03-18,10
2024-03-19,9
2024-03-20,10
2024-03-21,10
2024-03-22,9
2024-03-23,11
2024-03-24,15
2024-03-25,13
2024-03-26,11
2024-03-27,16
2024-03-28,19
2024-03-29,73
2024-03-30,68
2024-03-31,62
2024-04-01,37
2024-04-02,52
2024-04-03,69
2024-04-04,35
2024-04-05,32
2024-04-06,50
2024-04-07,40
2024-04-08,18
2024-04-09,37
2024-04-10,47
2024-04-11,28
2024-04-12,40
2024-04-13,58
2024-04-14,46
2024-04-15,25
2024-04-16,36
2024-04-17,36
2024-04-18,28
2024-04-19,24
2024-04-20,49
2024-04-21,61
2024-04-22,25
2024-04-23,33
2024-04-24,30
2024-04-25,41
2024-04-26,18
2024-04-27,41
2024-04-28,60
2024-04-29,22
2024-04-30,34
2024-05-01,48
2024-05-02,21
2024-05-03,33
2024-05-04,70
2024-05-05,69
2024-05-06,62
2024-05-07,36
2024-05-08,57
2024-05-09,21
2024-05-10,24
2024-05-11,59
2024-05-12,59
2024-05-13,25
2024-05-14,64
2024-05-15,37
2024-05-16,49
2024-05-17,55
2024-05-18,58
2024-05-19,82
2024-05-20,25
2024-05-21,31
2024-05-22,51
2024-05-23,77
2024-05-24,32
2024-05-25,63
2024-05-26,87
2024-05-27,52
2024-05-28,27
2024-05-29,60
2024-05-30,29
2024-05-31,34
2024-06-01,62
2024-06-02,73
2024-06-03,67
2024-06-04,49
2024-06-05,68
2024-06-06,29
2024-06-07,23
2024-06-08,68
2024-06-09,76
2024-06-10,20
2024-06-11,30
2024-06-12,47
2024-06-13,51
2024-06-14,48
2024-06-15,100
2024-06-16,62
2024-06-17,38
2024-06-18,48
2024-06-19,70
2024-06-20,22
2024-06-21,44
2024-06-22,86
2024-06-23,85
2024-06-24,34
2024-06-25,49
2024-06-26,49
2024-06-27,35
2024-06-28,55
2024-06-29,67
2024-06-30,61
2024-07-01,22
2024-07-02,25
2024-07-03,45
2024-07-04,74
2024-07-05,42
2024-07-06,81
2024-07-07,73
2024-07-08,21
2024-07-09,36
2024-07-10,56
2024-07-11,65
2024-07-12,65
2024-07-13,72
2024-07-14,65
2024-07-15,20
2024-07-16,17
2024-07-17,16
2024-07-18,16
2024-07-19,27
2024-07-20,56
2024-07-21,62
2024-07-22,28
2024-07-23,51
2024-07-24,61
2024-07-25,23
2024-07-26,40
2024-07-27,61
2024-07-28,71
2024-07-29,38
2024-07-30,68
2024-07-31,97
2024-08-01,21
2024-08-02,18
2024-08-03,54
2024-08-04,82
2024-08-05,23
2024-08-06,41
2024-08-07,46
2024-08-08,49
2024-08-09,49
2024-08-10,51
2024-08-11,69
2024-08-12,21
2024-08-13,25
2024-08-14,41
2024-08-15,49
2024-08-16,50
2024-08-17,67
2024-08-18,71
2024-08-19,19
2024-08-20,20
2024-08-21,39
2024-08-22,46
2024-08-23,41
2024-08-24,56
2024-08-25,70
2024-08-26,31
2024-08-27,48
2024-08-28,55
2024-08-29,35
2024-08-30,52
2024-08-31,52
2024-09-01,67
2024-09-02,69
2024-09-03,25
2024-09-04,67
2024-09-05,35
2024-09-06,39
2024-09-07,76
2024-09-08,45
2024-09-09,24
2024-09-10,43
2024-09-11,52
2024-09-12,39
2024-09-13,31
2024-09-14,76
2024-09-15,60
2024-09-16,29
