Time,uvalde texas
2025-04-15,30
2025-04-16,30
2025-04-17,33
2025-04-18,33
2025-04-19,0
2025-04-20,0
2025-04-21,30
2025-04-22,30
2025-04-23,30
2025-04-24,36
2025-04-25,35
2025-04-26,26
2025-04-27,25
2025-04-28,37
2025-04-29,32
2025-04-30,20
2025-05-01,29
2025-05-02,47
2025-05-03,37
2025-05-04,0
2025-05-05,45
2025-05-06,39
2025-05-07,32
2025-05-08,47
2025-05-09,33
2025-05-10,26
2025-05-11,26
2025-05-12,29
2025-05-13,30
2025-05-14,51
2025-05-15,22
2025-05-16,30
2025-05-17,53
2025-05-18,37
2025-05-19,33
2025-05-20,36
2025-05-21,26
2025-05-22,38
2025-05-23,39
2025-05-24,50
2025-05-25,55
2025-05-26,29
2025-05-27,42
2025-05-28,42
2025-05-29,52
2025-05-30,38
2025-05-31,36
2025-06-01,0
2025-06-02,47
2025-06-03,32
2025-06-04,0
2025-06-05,33
2025-06-06,25
2025-06-07,0
2025-06-08,0
2025-06-09,43
2025-06-10,39
2025-06-11,44
2025-06-12,29
2025-06-13,41
2025-06-14,38
2025-06-15,32
2025-06-16,23
2025-06-17,24
2025-06-18,28
2025-06-19,30
2025-06-20,27
2025-06-21,32
2025-06-22,0
2025-06-23,29
2025-06-24,42
2025-06-25,0
2025-06-26,35
2025-06-27,50
2025-06-28,0
2025-06-29,44
2025-06-30,0
2025-07-01,27
2025-07-02,42
2025-07-03,42
2025-07-04,40
2025-07-05,78
2025-07-06,56
2025-07-07,77
2025-07-08,52
2025-07-09,45
2025-07-10,32
2025-07-11,43
2025-07-12,52
2025-07-13,48
2025-07-14,66
2025-07-15,45
2025-07-16,42
2025-07-17,47
2025-07-18,37
2025-07-19,0
2025-07-20,41
2025-07-21,33
2025-07-22,30
2025-07-23,50
2025-07-24,42
2025-07-25,34
2025-07-26,30
2025-07-27,0
2025-07-28,41
2025-07-29,42
2025-07-30,57
2025-07-31,45
2025-08-01,33
2025-08-02,0
2025-08-03,27
2025-08-04,46
2025-08-05,32
2025-08-06,33
2025-08-07,0
2025-08-08,48
2025-08-09,33
2025-08-10,31
2025-08-11,58
2025-08-12,64
2025-08-13,82
2025-08-14,42
2025-08-15,50
2025-08-16,0
2025-08-17,0
2025-08-18,37
2025-08-19,68
2025-08-20,37
2025-08-21,47
2025-08-22,34
2025-08-23,36
2025-08-24,0
2025-08-25,23
2025-08-26,47
2025-08-27,66
2025-08-28,93
2025-08-29,40
2025-08-30,59
2025-08-31,57
2025-09-01,56
2025-09-02,45
2025-09-03,46
2025-09-04,0
2025-09-05,50
2025-09-06,38
2025-09-07,30
2025-09-08,0
2025-09-09,38
2025-09-10,48
2025-09-11,57
2025-09-12,66
2025-09-13,60
2025-09-14,75
2025-09-15,61
2025-09-16,53
2025-09-17,47
2025-09-18,57
2025-09-19,39
2025-09-20,54
2025-09-21,26
2025-09-22,31
2025-09-23,57
2025-09-24,39
2025-09-25,40
2025-09-26,40
2025-09-27,29
2025-09-28,34
2025-09-29,44
2025-09-30,37
2025-10-01,46
2025-10-02,33
2025-10-03,36
2025-10-04,0
2025-10-05,42
2025-10-06,23
2025-10-07,0
2025-10-08,36
2025-10-09,41
2025-10-10,33
2025-10-11,41
2025-10-12,37
2025-10-13,38
2025-10-14,50
2025-10-15,42
2025-10-16,28
2025-10-17,29
2025-10-18,39
2025-10-19,30
2025-10-20,50
2025-10-21,54
2025-10-22,42
2025-10-23,0
2025-10-24,46
2025-10-25,47
2025-10-26,0
2025-10-27,34
2025-10-28,24
2025-10-29,28
2025-10-30,33
2025-10-31,27
2025-11-01,0
2025-11-02,0
2025-11-03,30
2025-11-04,38
2025-11-05,45
2025-11-06,40
2025-11-07,38
2025-11-08,31
2025-11-09,54
2025-11-10,35
2025-11-11,32
2025-11-12,35
2025-11-13,38
2025-11-14,36
2025-11-15,0
2025-11-16,34
2025-11-17,41
2025-11-18,42
2025-11-19,26
2025-11-20,61
2025-11-21,42
2025-11-22,33
2025-11-23,0
2025-11-24,41
2025-11-25,39
2025-11-26,39
2025-11-27,0
2025-11-28,0
2025-11-29,49
2025-11-30,33
2025-12-01,29
2025-12-02,41
2025-12-03,26
2025-12-04,35
2025-12-05,43
2025-12-06,43
2025-12-07,38
2025-12-08,40
2025-12-09,0
2025-12-10,30
2025-12-11,30
2025-12-12,28
2025-12-13,44
2025-12-14,47
2025-12-15,38
2025-12-16,50
2025-12-17,38
2025-12-18,45
2025-12-19,27
2025-12-20,0
2025-12-21,36
2025-12-22,0
2025-12-23,39
2025-12-24,52
2025-12-25,0
2025-12-26,0
2025-12-27,36
2025-12-28,37
2025-12-29,48
2025-12-30,54
2025-12-31,29
2026-01-01,32
2026-01-02,45
2026-01-03,45
2026-01-04,31
2026-01-05,40
2026-01-06,86
2026-01-07,80
2026-01-08,100
2026-01-09,69
