Time,uvalde texas
2023-12-22,20
2023-12-23,23
2023-12-24,13
2023-12-25,13
2023-12-26,16
2023-12-27,20
2023-12-28,11
2023-12-29,19
2023-12-30,0
2023-12-31,13
2024-01-01,13
2024-01-02,22
2024-01-03,19
2024-01-04,17
2024-01-05,19
2024-01-06,14
2024-01-07,13
2024-01-08,14
2024-01-09,18
2024-01-10,15
2024-01-11,9
2024-01-12,18
2024-01-13,20
2024-01-14,17
2024-01-15,25
2024-01-16,16
2024-01-17,18
2024-01-18,100
2024-01-19,66
2024-01-20,30
2024-01-21,18
2024-01-22,22
2024-01-23,21
2024-01-24,20
2024-01-25,27
2024-01-26,14
2024-01-27,11
2024-01-28,15
2024-01-29,20
2024-01-30,21
2024-01-31,22
2024-02-01,20
2024-02-02,16
2024-02-03,25
2024-02-04,17
2024-02-05,10
2024-02-06,21
2024-02-07,18
2024-02-08,24
2024-02-09,18
2024-02-10,13
2024-02-11,18
2024-02-12,14
2024-02-13,18
2024-02-14,19
2024-02-15,27
2024-02-16,20
2024-02-17,19
2024-02-18,16
2024-02-19,19
2024-02-20,23
2024-02-21,22
2024-02-22,26
2024-02-23,13
2024-02-24,13
2024-02-25,12
2024-02-26,18
2024-02-27,23
2024-02-28,22
2024-02-29,16
2024-03-01,22
2024-03-02,16
2024-03-03,17
2024-03-04,23
2024-03-05,17
2024-03-06,16
2024-03-07,25
2024-03-08,36
2024-03-09,30
2024-03-10,23
2024-03-11,26
2024-03-12,20
2024-03-13,20
2024-03-14,16
2024-03-15,18
2024-03-16,21
2024-03-17,17
2024-03-18,21
2024-03-19,22
2024-03-20,19
2024-03-21,23
2024-03-22,23
2024-03-23,13
2024-03-24,20
2024-03-25,20
2024-03-26,21
2024-03-27,20
2024-03-28,15
2024-03-29,17
2024-03-30,23
2024-03-31,16
2024-04-01,31
2024-04-02,32
2024-04-03,25
2024-04-04,27
2024-04-05,28
2024-04-06,32
2024-04-07,42
2024-04-08,66
2024-04-09,12
2024-04-10,21
2024-04-11,18
2024-04-12,19
2024-04-13,12
2024-04-14,15
2024-04-15,20
2024-04-16,12
2024-04-17,19
2024-04-18,21
2024-04-19,18
2024-04-20,20
2024-04-21,13
2024-04-22,19
2024-04-23,13
2024-04-24,18
2024-04-25,19
2024-04-26,21
2024-04-27,16
2024-04-28,0
2024-04-29,15
2024-04-30,19
2024-05-01,20
2024-05-02,24
2024-05-03,23
2024-05-04,21
2024-05-05,11
2024-05-06,13
2024-05-07,13
2024-05-08,11
2024-05-09,19
2024-05-10,12
2024-05-11,20
2024-05-12,13
2024-05-13,10
2024-05-14,21
2024-05-15,12
2024-05-16,28
2024-05-17,0
2024-05-18,14
2024-05-19,17
2024-05-20,16
2024-05-21,24
2024-05-22,36
2024-05-23,19
2024-05-24,31
2024-05-25,30
2024-05-26,31
2024-05-27,24
2024-05-28,24
2024-05-29,26
2024-05-30,22
2024-05-31,29
2024-06-01,16
2024-06-02,22
2024-06-03,11
2024-06-04,18
2024-06-05,16
2024-06-06,18
2024-06-07,16
2024-06-08,16
2024-06-09,19
2024-06-10,22
2024-06-11,14
2024-06-12,23
2024-06-13,14
2024-06-14,19
2024-06-15,0
2024-06-16,14
2024-06-17,15
2024-06-18,32
2024-06-19,19
2024-06-20,15
2024-06-21,12
2024-06-22,18
2024-06-23,17
2024-06-24,16
2024-06-25,19
2024-06-26,23
2024-06-27,24
2024-06-28,26
2024-06-29,26
2024-06-30,18
2024-07-01,12
2024-07-02,21
2024-07-03,18
2024-07-04,15
2024-07-05,18
2024-07-06,20
2024-07-07,17
2024-07-08,21
2024-07-09,17
2024-07-10,19
2024-07-11,15
2024-07-12,16
2024-07-13,31
2024-07-14,0
2024-07-15,23
2024-07-16,23
2024-07-17,13
2024-07-18,12
2024-07-19,21
2024-07-20,13
2024-07-21,19
2024-07-22,19
2024-07-23,20
2024-07-24,20
2024-07-25,12
2024-07-26,14
2024-07-27,17
2024-07-28,14
2024-07-29,18
2024-07-30,13
2024-07-31,18
2024-08-01,12
2024-08-02,13
2024-08-03,14
2024-08-04,16
2024-08-05,13
2024-08-06,17
2024-08-07,0
2024-08-08,15
2024-08-09,14
2024-08-10,17
2024-08-11,15
2024-08-12,21
2024-08-13,30
2024-08-14,17
2024-08-15,17
2024-08-16,14
2024-08-17,17
2024-08-18,19
2024-08-19,14
2024-08-20,18
2024-08-21,18
2024-08-22,18
2024-08-23,34
2024-08-24,21
2024-08-25,17
2024-08-26,27
2024-08-27,29
2024-08-28,18
2024-08-29,19
2024-08-30,17
2024-08-31,16
2024-09-01,15
2024-09-02,12
2024-09-03,16
2024-09-04,23
2024-09-05,36
2024-09-06,32
2024-09-07,28
2024-09-08,19
2024-09-09,24
2024-09-10,22
2024-09-11,23
2024-09-12,20
2024-09-13,20
2024-09-14,18
2024-09-15,15
2024-09-16,17
