Time,jay north
2023-12-22,32
2023-12-23,0
2023-12-24,40
2023-12-25,36
2023-12-26,28
2023-12-27,35
2023-12-28,24
2023-12-29,21
2023-12-30,26
2023-12-31,41
2024-01-01,40
2024-01-02,35
2024-01-03,22
2024-01-04,49
2024-01-05,32
2024-01-06,24
2024-01-07,0
2024-01-08,29
2024-01-09,28
2024-01-10,35
2024-01-11,0
2024-01-12,37
2024-01-13,25
2024-01-14,23
2024-01-15,29
2024-01-16,35
2024-01-17,25
2024-01-18,29
2024-01-19,24
2024-01-20,33
2024-01-21,22
2024-01-22,24
2024-01-23,46
2024-01-24,48
2024-01-25,29
2024-01-26,37
2024-01-27,25
2024-01-28,34
2024-01-29,43
2024-01-30,40
2024-01-31,63
2024-02-01,29
2024-02-02,35
2024-02-03,26
2024-02-04,43
2024-02-05,69
2024-02-06,49
2024-02-07,48
2024-02-08,38
2024-02-09,44
2024-02-10,41
2024-02-11,0
2024-02-12,0
2024-02-13,34
2024-02-14,42
2024-02-15,0
2024-02-16,49
2024-02-17,0
2024-02-18,22
2024-02-19,37
2024-02-20,43
2024-02-21,37
2024-02-22,39
2024-02-23,0
2024-02-24,35
2024-02-25,29
2024-02-26,42
2024-02-27,28
2024-02-28,25
2024-02-29,24
2024-03-01,29
2024-03-02,34
2024-03-03,39
2024-03-04,27
2024-03-05,31
2024-03-06,40
2024-03-07,37
2024-03-08,23
2024-03-09,40
2024-03-10,43
2024-03-11,44
2024-03-12,24
2024-03-13,0
2024-03-14,0
2024-03-15,19
2024-03-16,0
2024-03-17,0
2024-03-18,23
2024-03-19,30
2024-03-20,31
2024-03-21,43
2024-03-22,39
2024-03-23,30
2024-03-24,34
2024-03-25,29
2024-03-26,39
2024-03-27,35
2024-03-28,34
2024-03-29,34
2024-03-30,36
2024-03-31,52
2024-04-01,37
2024-04-02,28
2024-04-03,44
2024-04-04,32
2024-04-05,32
2024-04-06,28
2024-04-07,0
2024-04-08,27
2024-04-09,31
2024-04-10,37
2024-04-11,36
2024-04-12,32
2024-04-13,23
2024-04-14,0
2024-04-15,45
2024-04-16,42
2024-04-17,27
2024-04-18,22
2024-04-19,40
2024-04-20,0
2024-04-21,35
2024-04-22,0
2024-04-23,32
2024-04-24,30
2024-04-25,0
2024-04-26,30
2024-04-27,0
2024-04-28,33
2024-04-29,32
2024-04-30,34
2024-05-01,26
2024-05-02,30
2024-05-03,49
2024-05-04,67
2024-05-05,25
2024-05-06,34
2024-05-07,28
2024-05-08,30
2024-05-09,32
2024-05-10,0
2024-05-11,24
2024-05-12,0
2024-05-13,0
2024-05-14,32
2024-05-15,27
2024-05-16,0
2024-05-17,21
2024-05-18,25
2024-05-19,35
2024-05-20,50
2024-05-21,51
2024-05-22,25
2024-05-23,78
2024-05-24,88
2024-05-25,62
2024-05-26,79
2024-05-27,57
2024-05-28,42
2024-05-29,24
2024-05-30,38
2024-05-31,0
2024-06-01,0
2024-06-02,0
2024-06-03,23
2024-06-04,24
2024-06-05,35
2024-06-06,30
2024-06-07,0
2024-06-08,30
2024-06-09,35
2024-06-10,28
2024-06-11,32
2024-06-12,0
2024-06-13,23
2024-06-14,0
2024-06-15,0
2024-06-16,26
2024-06-17,37
2024-06-18,0
2024-06-19,41
2024-06-20,34
2024-06-21,25
2024-06-22,0
2024-06-23,41
2024-06-24,27
2024-06-25,24
2024-06-26,35
2024-06-27,57
2024-06-28,26
2024-06-29,33
2024-06-30,100
2024-07-01,91
2024-07-02,46
2024-07-03,25
2024-07-04,0
2024-07-05,0
2024-07-06,28
2024-07-07,25
2024-07-08,37
2024-07-09,39
2024-07-10,31
2024-07-11,44
2024-07-12,38
2024-07-13,36
2024-07-14,33
2024-07-15,0
2024-07-16,0
2024-07-17,27
2024-07-18,21
2024-07-19,32
2024-07-20,30
2024-07-21,36
2024-07-22,22
2024-07-23,38
2024-07-24,41
2024-07-25,45
2024-07-26,0
2024-07-27,36
2024-07-28,31
2024-07-29,46
2024-07-30,40
2024-07-31,32
2024-08-01,0
2024-08-02,23
2024-08-03,63
2024-08-04,0
2024-08-05,27
2024-08-06,0
2024-08-07,25
2024-08-08,33
2024-08-09,26
2024-08-10,0
2024-08-11,0
2024-08-12,27
2024-08-13,32
2024-08-14,41
2024-08-15,26
2024-08-16,26
2024-08-17,0
2024-08-18,0
2024-08-19,20
2024-08-20,0
2024-08-21,29
2024-08-22,42
2024-08-23,0
2024-08-24,26
2024-08-25,0
2024-08-26,36
2024-08-27,38
2024-08-28,21
2024-08-29,40
2024-08-30,28
2024-08-31,22
2024-09-01,0
2024-09-02,25
2024-09-03,39
2024-09-04,36
2024-09-05,40
2024-09-06,28
2024-09-07,0
2024-09-08,26
2024-09-09,41
2024-09-10,23
2024-09-11,32
2024-09-12,33
2024-09-13,35
2024-09-14,26
2024-09-15,0
2024-09-16,36
