Time,jay north
2023-04-26,32
2023-04-27,22
2023-04-28,34
2023-04-29,38
2023-04-30,27
2023-05-01,23
2023-05-02,20
2023-05-03,23
2023-05-04,36
2023-05-05,32
2023-05-06,21
2023-05-07,20
2023-05-08,30
2023-05-09,37
2023-05-10,28
2023-05-11,20
2023-05-12,27
2023-05-13,33
2023-05-14,27
2023-05-15,27
2023-05-16,30
2023-05-17,37
2023-05-18,31
2023-05-19,0
2023-05-20,36
2023-05-21,28
2023-05-22,19
2023-05-23,19
2023-05-24,37
2023-05-25,26
2023-05-26,26
2023-05-27,24
2023-05-28,21
2023-05-29,24
2023-05-30,33
2023-05-31,31
2023-06-01,29
2023-06-02,23
2023-06-03,30
2023-06-04,0
2023-06-05,24
2023-06-06,36
2023-06-07,27
2023-06-08,29
2023-06-09,25
2023-06-10,23
2023-06-11,20
2023-06-12,38
2023-06-13,23
2023-06-14,25
2023-06-15,34
2023-06-16,28
2023-06-17,25
2023-06-18,0
2023-06-19,36
2023-06-20,40
2023-06-21,27
2023-06-22,38
2023-06-23,58
2023-06-24,23
2023-06-25,0
2023-06-26,35
2023-06-27,46
2023-06-28,18
2023-06-29,19
2023-06-30,38
2023-07-01,0
2023-07-02,0
2023-07-03,30
2023-07-04,35
2023-07-05,0
2023-07-06,43
2023-07-07,24
2023-07-08,19
2023-07-09,28
2023-07-10,28
2023-07-11,28
2023-07-12,28
2023-07-13,22
2023-07-14,22
2023-07-15,24
2023-07-16,37
2023-07-17,24
2023-07-18,17
2023-07-19,22
2023-07-20,0
2023-07-21,30
2023-07-22,40
2023-07-23,0
2023-07-24,29
2023-07-25,21
2023-07-26,28
2023-07-27,29
2023-07-28,32
2023-07-29,23
2023-07-30,36
2023-07-31,22
2023-08-01,42
2023-08-02,30
2023-08-03,61
2023-08-04,100
2023-08-05,72
2023-08-06,45
2023-08-07,41
2023-08-08,51
2023-08-09,31
2023-08-10,25
2023-08-11,31
2023-08-12,39
2023-08-13,0
2023-08-14,21
2023-08-15,29
2023-08-16,24
2023-08-17,0
2023-08-18,24
2023-08-19,26
2023-08-20,41
2023-08-21,29
2023-08-22,35
2023-08-23,26
2023-08-24,33
2023-08-25,29
2023-08-26,20
2023-08-27,25
2023-08-28,33
2023-08-29,33
2023-08-30,28
2023-08-31,30
2023-09-01,24
2023-09-02,26
2023-09-03,28
2023-09-04,0
2023-09-05,20
2023-09-06,24
2023-09-07,27
2023-09-08,31
2023-09-09,0
2023-09-10,25
2023-09-11,30
2023-09-12,20
2023-09-13,0
2023-09-14,27
2023-09-15,42
2023-09-16,23
2023-09-17,35
2023-09-18,16
2023-09-19,0
2023-09-20,18
2023-09-21,17
2023-09-22,21
2023-09-23,0
2023-09-24,0
2023-09-25,26
2023-09-26,22
2023-09-27,24
2023-09-28,29
2023-09-29,25
2023-09-30,28
2023-10-01,20
2023-10-02,0
2023-10-03,17
2023-10-04,20
2023-10-05,0
2023-10-06,0
2023-10-07,0
2023-10-08,18
2023-10-09,23
2023-10-10,34
2023-10-11,20
2023-10-12,20
2023-10-13,34
2023-10-14,23
2023-10-15,0
2023-10-16,19
2023-10-17,28
2023-10-18,22
2023-10-19,25
2023-10-20,25
2023-10-21,28
2023-10-22,23
2023-10-23,30
2023-10-24,30
2023-10-25,23
2023-10-26,0
2023-10-27,26
2023-10-28,27
2023-10-29,23
2023-10-30,28
2023-10-31,29
2023-11-01,26
2023-11-02,39
2023-11-03,27
2023-11-04,33
2023-11-05,21
2023-11-06,19
2023-11-07,21
2023-11-08,26
2023-11-09,22
2023-11-10,23
2023-11-11,0
2023-11-12,23
2023-11-13,0
2023-11-14,27
2023-11-15,32
2023-11-16,37
2023-11-17,24
2023-11-18,24
2023-11-19,24
2023-11-20,29
2023-11-21,26
2023-11-22,23
2023-11-23,28
2023-11-24,20
2023-11-25,18
2023-11-26,22
2023-11-27,24
2023-11-28,19
2023-11-29,28
2023-11-30,40
2023-12-01,0
2023-12-02,55
2023-12-03,22
2023-12-04,28
2023-12-05,31
2023-12-06,23
2023-12-07,23
2023-12-08,18
2023-12-09,29
2023-12-10,27
2023-12-11,32
2023-12-12,43
2023-12-13,27
2023-12-14,32
2023-12-15,36
2023-12-16,19
2023-12-17,31
2023-12-18,28
2023-12-19,33
2023-12-20,22
2023-12-21,20
2023-12-22,28
2023-12-23,0
2023-12-24,35
2023-12-25,32
2023-12-26,24
2023-12-27,31
2023-12-28,21
2023-12-29,19
2023-12-30,23
2023-12-31,36
2024-01-01,35
2024-01-02,31
2024-01-03,19
2024-01-04,43
2024-01-05,28
2024-01-06,21
2024-01-07,0
2024-01-08,26
2024-01-09,25
2024-01-10,31
2024-01-11,0
2024-01-12,33
2024-01-13,22
2024-01-14,21
2024-01-15,25
2024-01-16,31
2024-01-17,22
2024-01-18,26
2024-01-19,21
2024-01-20,29
