Time,jay north
2022-08-29,38
2022-08-30,41
2022-08-31,40
2022-09-01,31
2022-09-02,36
2022-09-03,37
2022-09-04,24
2022-09-05,29
2022-09-06,30
2022-09-07,31
2022-09-08,26
2022-09-09,39
2022-09-10,39
2022-09-11,37
2022-09-12,24
2022-09-13,50
2022-09-14,34
2022-09-15,33
2022-09-16,0
2022-09-17,32
2022-09-18,30
2022-09-19,26
2022-09-20,37
2022-09-21,49
2022-09-22,64
2022-09-23,25
2022-09-24,43
2022-09-25,32
2022-09-26,27
2022-09-27,18
2022-09-28,35
2022-09-29,24
2022-09-30,35
2022-10-01,22
2022-10-02,28
2022-10-03,21
2022-10-04,55
2022-10-05,35
2022-10-06,40
2022-10-07,31
2022-10-08,32
2022-10-09,0
2022-10-10,34
2022-10-11,26
2022-10-12,23
2022-10-13,35
2022-10-14,29
2022-10-15,41
2022-10-16,33
2022-10-17,29
2022-10-18,30
2022-10-19,33
2022-10-20,65
2022-10-21,27
2022-10-22,24
2022-10-23,31
2022-10-24,42
2022-10-25,32
2022-10-26,43
2022-10-27,22
2022-10-28,31
2022-10-29,37
2022-10-30,0
2022-10-31,21
2022-11-01,97
2022-11-02,54
2022-11-03,34
2022-11-04,19
2022-11-05,41
2022-11-06,51
2022-11-07,42
2022-11-08,27
2022-11-09,41
2022-11-10,37
2022-11-11,29
2022-11-12,29
2022-11-13,25
2022-11-14,57
2022-11-15,35
2022-11-16,54
2022-11-17,31
2022-11-18,31
2022-11-19,44
2022-11-20,36
2022-11-21,46
2022-11-22,42
2022-11-23,40
2022-11-24,59
2022-11-25,20
2022-11-26,28
2022-11-27,35
2022-11-28,37
2022-11-29,34
2022-11-30,35
2022-12-01,36
2022-12-02,34
2022-12-03,52
2022-12-04,27
2022-12-05,35
2022-12-06,41
2022-12-07,33
2022-12-08,33
2022-12-09,32
2022-12-10,26
2022-12-11,0
2022-12-12,35
2022-12-13,42
2022-12-14,18
2022-12-15,21
2022-12-16,40
2022-12-17,47
2022-12-18,36
2022-12-19,38
2022-12-20,0
2022-12-21,0
2022-12-22,40
2022-12-23,31
2022-12-24,30
2022-12-25,51
2022-12-26,0
2022-12-27,33
2022-12-28,27
2022-12-29,36
2022-12-30,43
2022-12-31,32
2023-01-01,0
2023-01-02,28
2023-01-03,40
2023-01-04,32
2023-01-05,36
2023-01-06,35
2023-01-07,33
2023-01-08,43
2023-01-09,27
2023-01-10,43
2023-01-11,43
2023-01-12,40
2023-01-13,0
2023-01-14,34
2023-01-15,29
2023-01-16,38
2023-01-17,29
2023-01-18,32
2023-01-19,49
2023-01-20,37
2023-01-21,26
2023-01-22,34
2023-01-23,28
2023-01-24,54
2023-01-25,31
2023-01-26,58
2023-01-27,33
2023-01-28,87
2023-01-29,100
2023-01-30,82
2023-01-31,61
2023-02-01,33
2023-02-02,0
2023-02-03,36
2023-02-04,38
2023-02-05,59
2023-02-06,36
2023-02-07,42
2023-02-08,36
2023-02-09,41
2023-02-10,38
2023-02-11,33
2023-02-12,39
2023-02-13,39
2023-02-14,48
2023-02-15,33
2023-02-16,28
2023-02-17,42
2023-02-18,50
2023-02-19,42
2023-02-20,30
2023-02-21,51
2023-02-22,44
2023-02-23,29
2023-02-24,27
2023-02-25,27
2023-02-26,0
2023-02-27,27
2023-02-28,37
2023-03-01,35
2023-03-02,40
2023-03-03,34
2023-03-04,42
2023-03-05,36
2023-03-06,30
2023-03-07,51
2023-03-08,44
2023-03-09,35
2023-03-10,45
2023-03-11,28
2023-03-12,27
2023-03-13,41
2023-03-14,43
2023-03-15,47
2023-03-16,35
2023-03-17,29
2023-03-18,49
2023-03-19,37
2023-03-20,37
2023-03-21,36
2023-03-22,33
2023-03-23,29
2023-03-24,31
2023-03-25,45
2023-03-26,45
2023-03-27,30
2023-03-28,39
2023-03-29,35
2023-03-30,38
2023-03-31,24
2023-04-01,42
2023-04-02,37
2023-04-03,29
2023-04-04,32
2023-04-05,29
2023-04-06,35
2023-04-07,26
2023-04-08,41
2023-04-09,33
2023-04-10,31
2023-04-11,29
2023-04-12,28
2023-04-13,29
2023-04-14,27
2023-04-15,59
2023-04-16,31
2023-04-17,36
2023-04-18,37
2023-04-19,50
2023-04-20,35
2023-04-21,28
2023-04-22,45
2023-04-23,35
2023-04-24,42
2023-04-25,43
2023-04-26,38
2023-04-27,27
2023-04-28,40
2023-04-29,46
2023-04-30,32
2023-05-01,28
2023-05-02,24
2023-05-03,28
2023-05-04,43
2023-05-05,39
2023-05-06,26
2023-05-07,24
2023-05-08,36
2023-05-09,45
2023-05-10,34
2023-05-11,24
2023-05-12,33
2023-05-13,39
2023-05-14,32
2023-05-15,32
2023-05-16,36
2023-05-17,45
2023-05-18,37
2023-05-19,0
2023-05-20,44
2023-05-21,34
2023-05-22,23
2023-05-23,23
2023-05-24,44
2023-05-25,31
