Time,tiktok
2025-12-11,45
2025-12-12,46
2025-12-13,50
2025-12-14,47
2025-12-15,44
2025-12-16,46
2025-12-17,49
2025-12-18,47
2025-12-19,48
2025-12-20,47
2025-12-21,43
2025-12-22,44
2025-12-23,43
2025-12-24,44
2025-12-25,42
2025-12-26,43
2025-12-27,44
2025-12-28,46
2025-12-29,44
2025-12-30,45
2025-12-31,45
2026-01-01,43
2026-01-02,44
2026-01-03,47
2026-01-04,45
2026-01-05,43
2026-01-06,44
2026-01-07,43
2026-01-08,43
2026-01-09,46
2026-01-10,46
2026-01-11,47
2026-01-12,41
2026-01-13,44
2026-01-14,42
2026-01-15,43
2026-01-16,43
2026-01-17,47
2026-01-18,48
2026-01-19,47
2026-01-20,46
2026-01-21,47
2026-01-22,47
2026-01-23,53
2026-01-24,54
2026-01-25,100
2026-01-26,85
2026-01-27,58
2026-01-28,50
2026-01-29,48
2026-01-30,49
2026-01-31,49
2026-02-01,51
2026-02-02,45
2026-02-03,44
2026-02-04,45
2026-02-05,44
2026-02-06,42
2026-02-07,44
2026-02-08,42
2026-02-09,42
2026-02-10,43
2026-02-11,40
2026-02-12,39
2026-02-13,41
2026-02-14,44
2026-02-15,42
2026-02-16,43
2026-02-17,42
2026-02-18,42
2026-02-19,40
2026-02-20,41
2026-02-21,44
2026-02-22,44
2026-02-23,44
2026-02-24,41
2026-02-25,41
2026-02-26,45
2026-02-27,46
2026-02-28,42
2026-03-01,42
2026-03-02,46
2026-03-03,53
2026-03-04,54
2026-03-05,45
2026-03-06,44
2026-03-07,45
2026-03-08,46
2026-03-09,44
2026-03-10,43
2026-03-11,43
2026-03-12,45
2026-03-13,43
2026-03-14,48
2026-03-15,46
2026-03-16,44
2026-03-17,44
2026-03-18,46
2026-03-19,46
2026-03-20,45
2026-03-21,46
2026-03-22,47
2026-03-23,45
2026-03-24,45
2026-03-25,49
2026-03-26,46
2026-03-27,50
2026-03-28,53
2026-03-29,58
2026-03-30,50
2026-03-31,45
2026-04-01,43
2026-04-02,43
2026-04-03,42
2026-04-04,44
2026-04-05,45
2026-04-06,45
2026-04-07,48
2026-04-08,46
2026-04-09,45
2026-04-10,44
2026-04-11,44
2026-04-12,45
2026-04-13,41
2026-04-14,42
2026-04-15,41
2026-04-16,42
2026-04-17,56
2026-04-18,46
2026-04-19,45
2026-04-20,42
2026-04-21,45
2026-04-22,43
2026-04-23,43
2026-04-24,41
2026-04-25,44
2026-04-26,47
2026-04-27,44
2026-04-28,42
2026-04-29,41
2026-04-30,44
2026-05-01,44
2026-05-02,46
2026-05-03,47
2026-05-04,44
2026-05-05,43
2026-05-06,45
2026-05-07,45
2026-05-08,44
2026-05-09,47
2026-05-10,48
2026-05-11,42
2026-05-12,45
2026-05-13,44
2026-05-14,45
2026-05-15,45
2026-05-16,46
2026-05-17,46
2026-05-18,42
2026-05-19,44
2026-05-20,42
2026-05-21,43
2026-05-22,49
2026-05-23,52
2026-05-24,50
2026-05-25,48
2026-05-26,45
2026-05-27,45
2026-05-28,51
2026-05-29,48
2026-05-30,48
2026-05-31,50
