Time,tiktok
2022-08-29,52
2022-08-30,51
2022-08-31,54
2022-09-01,53
2022-09-02,55
2022-09-03,60
2022-09-04,61
2022-09-05,58
2022-09-06,52
2022-09-07,51
2022-09-08,51
2022-09-09,50
2022-09-10,55
2022-09-11,52
2022-09-12,48
2022-09-13,48
2022-09-14,48
2022-09-15,68
2022-09-16,51
2022-09-17,56
2022-09-18,58
2022-09-19,48
2022-09-20,52
2022-09-21,55
2022-09-22,51
2022-09-23,51
2022-09-24,56
2022-09-25,55
2022-09-26,53
2022-09-27,54
2022-09-28,53
2022-09-29,71
2022-09-30,73
2022-10-01,84
2022-10-02,83
2022-10-03,73
2022-10-04,77
2022-10-05,76
2022-10-06,73
2022-10-07,55
2022-10-08,59
2022-10-09,57
2022-10-10,49
2022-10-11,53
2022-10-12,51
2022-10-13,51
2022-10-14,52
2022-10-15,55
2022-10-16,56
2022-10-17,51
2022-10-18,55
2022-10-19,56
2022-10-20,51
2022-10-21,53
2022-10-22,56
2022-10-23,55
2022-10-24,53
2022-10-25,52
2022-10-26,54
2022-10-27,60
2022-10-28,56
2022-10-29,59
2022-10-30,58
2022-10-31,53
2022-11-01,50
2022-11-02,55
2022-11-03,53
2022-11-04,66
2022-11-05,56
2022-11-06,55
2022-11-07,55
2022-11-08,55
2022-11-09,50
2022-11-10,52
2022-11-11,54
2022-11-12,58
2022-11-13,61
2022-11-14,49
2022-11-15,54
2022-11-16,56
2022-11-17,53
2022-11-18,52
2022-11-19,61
2022-11-20,60
2022-11-21,55
2022-11-22,57
2022-11-23,58
2022-11-24,62
2022-11-25,57
2022-11-26,51
2022-11-27,55
2022-11-28,48
2022-11-29,52
2022-11-30,52
2022-12-01,53
2022-12-02,51
2022-12-03,53
2022-12-04,56
2022-12-05,49
2022-12-06,50
2022-12-07,54
2022-12-08,62
2022-12-09,55
2022-12-10,59
2022-12-11,60
2022-12-12,56
2022-12-13,58
2022-12-14,58
2022-12-15,62
2022-12-16,61
2022-12-17,60
2022-12-18,59
2022-12-19,59
2022-12-20,62
2022-12-21,61
2022-12-22,57
2022-12-23,59
2022-12-24,58
2022-12-25,57
2022-12-26,58
2022-12-27,59
2022-12-28,66
2022-12-29,63
2022-12-30,61
2022-12-31,61
2023-01-01,59
2023-01-02,59
2023-01-03,50
2023-01-04,55
2023-01-05,55
2023-01-06,56
2023-01-07,60
2023-01-08,59
2023-01-09,53
2023-01-10,54
2023-01-11,52
2023-01-12,55
2023-01-13,54
2023-01-14,56
2023-01-15,55
2023-01-16,57
2023-01-17,51
2023-01-18,57
2023-01-19,53
2023-01-20,53
2023-01-21,56
2023-01-22,56
2023-01-23,52
2023-01-24,52
2023-01-25,61
2023-01-26,58
2023-01-27,55
2023-01-28,57
2023-01-29,58
2023-01-30,51
2023-01-31,55
2023-02-01,54
2023-02-02,56
2023-02-03,56
2023-02-04,58
2023-02-05,60
2023-02-06,52
2023-02-07,54
2023-02-08,52
2023-02-09,52
2023-02-10,55
2023-02-11,58
2023-02-12,56
2023-02-13,48
2023-02-14,48
2023-02-15,53
2023-02-16,54
2023-02-17,57
2023-02-18,59
2023-02-19,62
2023-02-20,56
2023-02-21,51
2023-02-22,54
2023-02-23,53
2023-02-24,56
2023-02-25,57
2023-02-26,59
2023-02-27,52
2023-02-28,58
2023-03-01,67
2023-03-02,58
2023-03-03,56
2023-03-04,59
2023-03-05,61
2023-03-06,53
2023-03-07,56
2023-03-08,57
2023-03-09,54
2023-03-10,52
2023-03-11,57
2023-03-12,56
2023-03-13,50
2023-03-14,51
2023-03-15,50
2023-03-16,60
2023-03-17,59
2023-03-18,61
2023-03-19,61
2023-03-20,55
2023-03-21,53
2023-03-22,58
2023-03-23,84
2023-03-24,100
2023-03-25,83
2023-03-26,78
2023-03-27,67
2023-03-28,63
2023-03-29,69
2023-03-30,62
2023-03-31,59
2023-04-01,61
2023-04-02,62
2023-04-03,55
2023-04-04,51
2023-04-05,52
2023-04-06,54
2023-04-07,57
2023-04-08,58
2023-04-09,59
2023-04-10,53
2023-04-11,53
2023-04-12,52
2023-04-13,51
2023-04-14,52
2023-04-15,64
2023-04-16,59
2023-04-17,53
2023-04-18,54
2023-04-19,55
2023-04-20,54
2023-04-21,49
2023-04-22,54
2023-04-23,58
2023-04-24,51
2023-04-25,50
2023-04-26,49
2023-04-27,50
2023-04-28,47
2023-04-29,53
2023-04-30,55
2023-05-01,51
2023-05-02,47
2023-05-03,48
2023-05-04,48
2023-05-05,51
2023-05-06,54
2023-05-07,53
2023-05-08,50
2023-05-09,49
2023-05-10,49
2023-05-11,50
2023-05-12,49
2023-05-13,54
2023-05-14,54
2023-05-15,50
2023-05-16,51
2023-05-17,53
2023-05-18,62
2023-05-19,59
2023-05-20,55
2023-05-21,56
2023-05-22,53
2023-05-23,53
2023-05-24,52
2023-05-25,53
