Time,shein
2023-12-22,57
2023-12-23,54
2023-12-24,50
2023-12-25,59
2023-12-26,78
2023-12-27,74
2023-12-28,74
2023-12-29,74
2023-12-30,66
2023-12-31,62
2024-01-01,57
2024-01-02,69
2024-01-03,71
2024-01-04,71
2024-01-05,68
2024-01-06,73
2024-01-07,87
2024-01-08,75
2024-01-09,70
2024-01-10,72
2024-01-11,65
2024-01-12,69
2024-01-13,74
2024-01-14,76
2024-01-15,76
2024-01-16,73
2024-01-17,76
2024-01-18,72
2024-01-19,70
2024-01-20,78
2024-01-21,81
2024-01-22,77
2024-01-23,73
2024-01-24,73
2024-01-25,73
2024-01-26,69
2024-01-27,74
2024-01-28,82
2024-01-29,74
2024-01-30,72
2024-01-31,72
2024-02-01,72
2024-02-02,69
2024-02-03,77
2024-02-04,87
2024-02-05,71
2024-02-06,71
2024-02-07,74
2024-02-08,69
2024-02-09,65
2024-02-10,69
2024-02-11,73
2024-02-12,65
2024-02-13,69
2024-02-14,62
2024-02-15,62
2024-02-16,69
2024-02-17,76
2024-02-18,93
2024-02-19,90
2024-02-20,81
2024-02-21,78
2024-02-22,82
2024-02-23,83
2024-02-24,81
2024-02-25,90
2024-02-26,84
2024-02-27,81
2024-02-28,77
2024-02-29,81
2024-03-01,77
2024-03-02,85
2024-03-03,90
2024-03-04,82
2024-03-05,85
2024-03-06,78
2024-03-07,79
2024-03-08,79
2024-03-09,86
2024-03-10,91
2024-03-11,84
2024-03-12,82
2024-03-13,80
2024-03-14,79
2024-03-15,79
2024-03-16,85
2024-03-17,96
2024-03-18,84
2024-03-19,81
2024-03-20,83
2024-03-21,75
2024-03-22,76
2024-03-23,84
2024-03-24,86
2024-03-25,84
2024-03-26,79
2024-03-27,82
2024-03-28,80
2024-03-29,75
2024-03-30,80
2024-03-31,81
2024-04-01,84
2024-04-02,86
2024-04-03,81
2024-04-04,80
2024-04-05,81
2024-04-06,79
2024-04-07,89
2024-04-08,80
2024-04-09,80
2024-04-10,84
2024-04-11,81
2024-04-12,82
2024-04-13,81
2024-04-14,98
2024-04-15,89
2024-04-16,85
2024-04-17,83
2024-04-18,82
2024-04-19,79
2024-04-20,79
2024-04-21,96
2024-04-22,87
2024-04-23,82
2024-04-24,80
2024-04-25,80
2024-04-26,75
2024-04-27,79
2024-04-28,90
2024-04-29,87
2024-04-30,85
2024-05-01,79
2024-05-02,77
2024-05-03,77
2024-05-04,82
2024-05-05,94
2024-05-06,84
2024-05-07,82
2024-05-08,82
2024-05-09,80
2024-05-10,74
2024-05-11,82
2024-05-12,83
2024-05-13,92
2024-05-14,85
2024-05-15,83
2024-05-16,81
2024-05-17,77
2024-05-18,82
2024-05-19,100
2024-05-20,89
2024-05-21,86
2024-05-22,79
2024-05-23,76
2024-05-24,81
2024-05-25,79
2024-05-26,90
2024-05-27,95
2024-05-28,82
2024-05-29,83
2024-05-30,84
2024-05-31,83
2024-06-01,83
2024-06-02,96
2024-06-03,87
2024-06-04,86
2024-06-05,86
2024-06-06,86
2024-06-07,86
2024-06-08,89
2024-06-09,93
2024-06-10,92
2024-06-11,86
2024-06-12,87
2024-06-13,88
2024-06-14,81
2024-06-15,78
2024-06-16,84
2024-06-17,90
2024-06-18,86
2024-06-19,93
2024-06-20,86
2024-06-21,85
2024-06-22,86
2024-06-23,98
2024-06-24,90
2024-06-25,91
2024-06-26,81
2024-06-27,88
2024-06-28,83
2024-06-29,82
2024-06-30,92
2024-07-01,85
2024-07-02,84
2024-07-03,77
2024-07-04,77
2024-07-05,78
2024-07-06,82
2024-07-07,85
2024-07-08,85
2024-07-09,83
2024-07-10,86
2024-07-11,84
2024-07-12,81
2024-07-13,80
2024-07-14,83
2024-07-15,84
2024-07-16,85
2024-07-17,88
2024-07-18,84
2024-07-19,80
2024-07-20,84
2024-07-21,93
2024-07-22,99
2024-07-23,92
2024-07-24,89
2024-07-25,87
2024-07-26,85
2024-07-27,79
2024-07-28,87
2024-07-29,89
2024-07-30,86
2024-07-31,85
2024-08-01,83
2024-08-02,84
2024-08-03,85
2024-08-04,92
2024-08-05,84
2024-08-06,82
2024-08-07,87
2024-08-08,82
2024-08-09,81
2024-08-10,80
2024-08-11,90
2024-08-12,84
2024-08-13,84
2024-08-14,84
2024-08-15,78
2024-08-16,76
2024-08-17,75
2024-08-18,85
2024-08-19,80
2024-08-20,77
2024-08-21,76
2024-08-22,73
2024-08-23,75
2024-08-24,80
2024-08-25,85
2024-08-26,74
2024-08-27,78
2024-08-28,75
2024-08-29,76
2024-08-30,74
2024-08-31,78
2024-09-01,85
2024-09-02,91
2024-09-03,79
2024-09-04,75
2024-09-05,72
2024-09-06,71
2024-09-07,77
2024-09-08,90
2024-09-09,81
2024-09-10,73
2024-09-11,76
2024-09-12,76
2024-09-13,76
2024-09-14,81
2024-09-15,83
2024-09-16,78
