Time,millie bobby brown
2023-12-22,9
2023-12-23,11
2023-12-24,15
2023-12-25,12
2023-12-26,10
2023-12-27,11
2023-12-28,10
2023-12-29,9
2023-12-30,9
2023-12-31,10
2024-01-01,10
2024-01-02,8
2024-01-03,7
2024-01-04,7
2024-01-05,8
2024-01-06,10
2024-01-07,15
2024-01-08,12
2024-01-09,13
2024-01-10,9
2024-01-11,9
2024-01-12,9
2024-01-13,9
2024-01-14,9
2024-01-15,9
2024-01-16,7
2024-01-17,8
2024-01-18,6
2024-01-19,7
2024-01-20,9
2024-01-21,8
2024-01-22,7
2024-01-23,7
2024-01-24,8
2024-01-25,7
2024-01-26,7
2024-01-27,8
2024-01-28,13
2024-01-29,9
2024-01-30,11
2024-01-31,8
2024-02-01,9
2024-02-02,7
2024-02-03,11
2024-02-04,11
2024-02-05,9
2024-02-06,8
2024-02-07,7
2024-02-08,7
2024-02-09,7
2024-02-10,8
2024-02-11,9
2024-02-12,7
2024-02-13,8
2024-02-14,8
2024-02-15,9
2024-02-16,8
2024-02-17,9
2024-02-18,11
2024-02-19,18
2024-02-20,17
2024-02-21,13
2024-02-22,11
2024-02-23,10
2024-02-24,10
2024-02-25,10
2024-02-26,9
2024-02-27,8
2024-02-28,9
2024-02-29,10
2024-03-01,47
2024-03-02,45
2024-03-03,41
2024-03-04,22
2024-03-05,20
2024-03-06,25
2024-03-07,26
2024-03-08,51
2024-03-09,99
2024-03-10,100
2024-03-11,61
2024-03-12,56
2024-03-13,45
2024-03-14,46
2024-03-15,42
2024-03-16,54
2024-03-17,54
2024-03-18,32
2024-03-19,26
2024-03-20,26
2024-03-21,20
2024-03-22,25
2024-03-23,33
2024-03-24,33
2024-03-25,28
2024-03-26,20
2024-03-27,17
2024-03-28,16
2024-03-29,18
2024-03-30,22
2024-03-31,23
2024-04-01,17
2024-04-02,14
2024-04-03,15
2024-04-04,13
2024-04-05,11
2024-04-06,15
2024-04-07,14
2024-04-08,10
2024-04-09,11
2024-04-10,10
2024-04-11,10
2024-04-12,8
2024-04-13,11
2024-04-14,15
2024-04-15,11
2024-04-16,11
2024-04-17,9
2024-04-18,10
2024-04-19,13
2024-04-20,14
2024-04-21,16
2024-04-22,12
2024-04-23,10
2024-04-24,10
2024-04-25,11
2024-04-26,17
2024-04-27,18
2024-04-28,17
2024-04-29,13
2024-04-30,13
2024-05-01,12
2024-05-02,11
2024-05-03,11
2024-05-04,25
2024-05-05,52
2024-05-06,94
2024-05-07,64
2024-05-08,51
2024-05-09,41
2024-05-10,31
2024-05-11,28
2024-05-12,31
2024-05-13,21
2024-05-14,19
2024-05-15,17
2024-05-16,15
2024-05-17,15
2024-05-18,16
2024-05-19,16
2024-05-20,13
2024-05-21,13
2024-05-22,12
2024-05-23,11
2024-05-24,34
2024-05-25,99
2024-05-26,61
2024-05-27,39
2024-05-28,25
2024-05-29,42
2024-05-30,30
2024-05-31,23
2024-06-01,24
2024-06-02,21
2024-06-03,20
2024-06-04,24
2024-06-05,18
2024-06-06,18
2024-06-07,22
2024-06-08,21
2024-06-09,19
2024-06-10,15
2024-06-11,12
2024-06-12,12
2024-06-13,12
2024-06-14,13
2024-06-15,14
2024-06-16,17
2024-06-17,13
2024-06-18,12
2024-06-19,19
2024-06-20,14
2024-06-21,15
2024-06-22,14
2024-06-23,15
2024-06-24,13
2024-06-25,11
2024-06-26,11
2024-06-27,14
2024-06-28,17
2024-06-29,15
2024-06-30,17
2024-07-01,16
2024-07-02,17
2024-07-03,16
2024-07-04,17
2024-07-05,16
2024-07-06,18
2024-07-07,16
2024-07-08,13
2024-07-09,11
2024-07-10,11
2024-07-11,11
2024-07-12,11
2024-07-13,12
2024-07-14,12
2024-07-15,10
2024-07-16,14
2024-07-17,12
2024-07-18,12
2024-07-19,12
2024-07-20,11
2024-07-21,16
2024-07-22,10
2024-07-23,10
2024-07-24,9
2024-07-25,24
2024-07-26,24
2024-07-27,17
2024-07-28,14
2024-07-29,12
2024-07-30,11
2024-07-31,9
2024-08-01,12
2024-08-02,13
2024-08-03,14
2024-08-04,15
2024-08-05,11
2024-08-06,11
2024-08-07,11
2024-08-08,9
2024-08-09,12
2024-08-10,12
2024-08-11,10
2024-08-12,14
2024-08-13,12
2024-08-14,13
2024-08-15,15
2024-08-16,10
2024-08-17,11
2024-08-18,13
2024-08-19,12
2024-08-20,11
2024-08-21,11
2024-08-22,8
2024-08-23,8
2024-08-24,11
2024-08-25,10
2024-08-26,8
2024-08-27,8
2024-08-28,7
2024-08-29,8
2024-08-30,11
2024-08-31,10
2024-09-01,11
2024-09-02,11
2024-09-03,8
2024-09-04,7
2024-09-05,7
2024-09-06,8
2024-09-07,9
2024-09-08,9
2024-09-09,9
2024-09-10,7
2024-09-11,7
2024-09-12,7
2024-09-13,7
2024-09-14,8
2024-09-15,9
2024-09-16,8
