Time,bed bath and beyond
2022-08-29,14
2022-08-30,13
2022-08-31,18
2022-09-01,17
2022-09-02,16
2022-09-03,21
2022-09-04,63
2022-09-05,65
2022-09-06,35
2022-09-07,20
2022-09-08,15
2022-09-09,14
2022-09-10,17
2022-09-11,18
2022-09-12,13
2022-09-13,13
2022-09-14,13
2022-09-15,14
2022-09-16,18
2022-09-17,20
2022-09-18,19
2022-09-19,14
2022-09-20,13
2022-09-21,13
2022-09-22,13
2022-09-23,13
2022-09-24,16
2022-09-25,18
2022-09-26,11
2022-09-27,12
2022-09-28,11
2022-09-29,12
2022-09-30,13
2022-10-01,17
2022-10-02,16
2022-10-03,13
2022-10-04,11
2022-10-05,11
2022-10-06,11
2022-10-07,12
2022-10-08,15
2022-10-09,16
2022-10-10,13
2022-10-11,12
2022-10-12,11
2022-10-13,13
2022-10-14,12
2022-10-15,14
2022-10-16,15
2022-10-17,12
2022-10-18,12
2022-10-19,11
2022-10-20,11
2022-10-21,12
2022-10-22,14
2022-10-23,15
2022-10-24,11
2022-10-25,10
2022-10-26,11
2022-10-27,11
2022-10-28,12
2022-10-29,15
2022-10-30,16
2022-10-31,11
2022-11-01,11
2022-11-02,13
2022-11-03,12
2022-11-04,14
2022-11-05,19
2022-11-06,18
2022-11-07,13
2022-11-08,13
2022-11-09,12
2022-11-10,14
2022-11-11,17
2022-11-12,19
2022-11-13,20
2022-11-14,15
2022-11-15,16
2022-11-16,14
2022-11-17,16
2022-11-18,17
2022-11-19,24
2022-11-20,28
2022-11-21,20
2022-11-22,21
2022-11-23,25
2022-11-24,18
2022-11-25,47
2022-11-26,35
2022-11-27,29
2022-11-28,26
2022-11-29,20
2022-11-30,16
2022-12-01,17
2022-12-02,18
2022-12-03,21
2022-12-04,22
2022-12-05,17
2022-12-06,15
2022-12-07,17
2022-12-08,17
2022-12-09,18
2022-12-10,24
2022-12-11,24
2022-12-12,19
2022-12-13,17
2022-12-14,18
2022-12-15,19
2022-12-16,20
2022-12-17,30
2022-12-18,27
2022-12-19,23
2022-12-20,23
2022-12-21,25
2022-12-22,24
2022-12-23,26
2022-12-24,23
2022-12-25,12
2022-12-26,22
2022-12-27,19
2022-12-28,17
2022-12-29,16
2022-12-30,18
2022-12-31,17
2023-01-01,15
2023-01-02,18
2023-01-03,12
2023-01-04,12
2023-01-05,16
2023-01-06,18
2023-01-07,21
2023-01-08,21
2023-01-09,15
2023-01-10,14
2023-01-11,16
2023-01-12,15
2023-01-13,15
2023-01-14,18
2023-01-15,19
2023-01-16,15
2023-01-17,12
2023-01-18,12
2023-01-19,11
2023-01-20,11
2023-01-21,15
2023-01-22,14
2023-01-23,11
2023-01-24,10
2023-01-25,9
2023-01-26,11
2023-01-27,15
2023-01-28,16
2023-01-29,15
2023-01-30,13
2023-01-31,16
2023-02-01,16
2023-02-02,14
2023-02-03,14
2023-02-04,17
2023-02-05,17
2023-02-06,13
2023-02-07,14
2023-02-08,14
2023-02-09,15
2023-02-10,14
2023-02-11,17
2023-02-12,15
2023-02-13,10
2023-02-14,9
2023-02-15,9
2023-02-16,10
2023-02-17,11
2023-02-18,15
2023-02-19,16
2023-02-20,13
2023-02-21,11
2023-02-22,9
2023-02-23,10
2023-02-24,11
2023-02-25,14
2023-02-26,18
2023-02-27,11
2023-02-28,9
2023-03-01,9
2023-03-02,9
2023-03-03,9
2023-03-04,13
2023-03-05,14
2023-03-06,10
2023-03-07,8
2023-03-08,9
2023-03-09,8
2023-03-10,9
2023-03-11,12
2023-03-12,13
2023-03-13,8
2023-03-14,9
2023-03-15,8
2023-03-16,9
2023-03-17,9
2023-03-18,12
2023-03-19,13
2023-03-20,9
2023-03-21,10
2023-03-22,9
2023-03-23,9
2023-03-24,9
2023-03-25,12
2023-03-26,12
2023-03-27,9
2023-03-28,8
2023-03-29,8
2023-03-30,8
2023-03-31,9
2023-04-01,11
2023-04-02,12
2023-04-03,9
2023-04-04,7
2023-04-05,8
2023-04-06,7
2023-04-07,8
2023-04-08,10
2023-04-09,10
2023-04-10,9
2023-04-11,7
2023-04-12,7
2023-04-13,7
2023-04-14,8
2023-04-15,9
2023-04-16,11
2023-04-17,8
2023-04-18,7
2023-04-19,7
2023-04-20,9
2023-04-21,8
2023-04-22,11
2023-04-23,59
2023-04-24,100
2023-04-25,70
2023-04-26,69
2023-04-27,40
2023-04-28,30
2023-04-29,53
2023-04-30,36
2023-05-01,20
2023-05-02,24
2023-05-03,18
2023-05-04,17
2023-05-05,14
2023-05-06,23
2023-05-07,19
2023-05-08,14
2023-05-09,13
2023-05-10,10
2023-05-11,10
2023-05-12,10
2023-05-13,15
2023-05-14,14
2023-05-15,10
2023-05-16,10
2023-05-17,8
2023-05-18,9
2023-05-19,8
2023-05-20,14
2023-05-21,13
2023-05-22,10
2023-05-23,9
2023-05-24,8
2023-05-25,8
