Time,vans
2022-08-29,22
2022-08-30,23
2022-08-31,20
2022-09-01,20
2022-09-02,20
2022-09-03,25
2022-09-04,26
2022-09-05,27
2022-09-06,19
2022-09-07,18
2022-09-08,18
2022-09-09,19
2022-09-10,22
2022-09-11,23
2022-09-12,20
2022-09-13,19
2022-09-14,19
2022-09-15,18
2022-09-16,18
2022-09-17,21
2022-09-18,23
2022-09-19,18
2022-09-20,18
2022-09-21,19
2022-09-22,18
2022-09-23,19
2022-09-24,21
2022-09-25,23
2022-09-26,17
2022-09-27,18
2022-09-28,18
2022-09-29,19
2022-09-30,18
2022-10-01,22
2022-10-02,22
2022-10-03,17
2022-10-04,18
2022-10-05,21
2022-10-06,18
2022-10-07,19
2022-10-08,22
2022-10-09,21
2022-10-10,19
2022-10-11,19
2022-10-12,18
2022-10-13,19
2022-10-14,20
2022-10-15,20
2022-10-16,21
2022-10-17,19
2022-10-18,18
2022-10-19,19
2022-10-20,18
2022-10-21,20
2022-10-22,22
2022-10-23,22
2022-10-24,18
2022-10-25,17
2022-10-26,18
2022-10-27,18
2022-10-28,17
2022-10-29,20
2022-10-30,19
2022-10-31,17
2022-11-01,16
2022-11-02,17
2022-11-03,18
2022-11-04,18
2022-11-05,21
2022-11-06,21
2022-11-07,19
2022-11-08,18
2022-11-09,18
2022-11-10,32
2022-11-11,100
2022-11-12,59
2022-11-13,47
2022-11-14,35
2022-11-15,28
2022-11-16,22
2022-11-17,24
2022-11-18,22
2022-11-19,26
2022-11-20,27
2022-11-21,22
2022-11-22,22
2022-11-23,29
2022-11-24,33
2022-11-25,57
2022-11-26,43
2022-11-27,37
2022-11-28,35
2022-11-29,29
2022-11-30,21
2022-12-01,21
2022-12-02,23
2022-12-03,24
2022-12-04,26
2022-12-05,23
2022-12-06,22
2022-12-07,24
2022-12-08,24
2022-12-09,23
2022-12-10,30
2022-12-11,29
2022-12-12,26
2022-12-13,26
2022-12-14,25
2022-12-15,25
2022-12-16,27
2022-12-17,32
2022-12-18,28
2022-12-19,26
2022-12-20,23
2022-12-21,24
2022-12-22,22
2022-12-23,24
2022-12-24,23
2022-12-25,27
2022-12-26,27
2022-12-27,24
2022-12-28,22
2022-12-29,22
2022-12-30,22
2022-12-31,22
2023-01-01,21
2023-01-02,21
2023-01-03,18
2023-01-04,19
2023-01-05,18
2023-01-06,20
2023-01-07,22
2023-01-08,21
2023-01-09,17
2023-01-10,17
2023-01-11,17
2023-01-12,17
2023-01-13,17
2023-01-14,22
2023-01-15,21
2023-01-16,18
2023-01-17,17
2023-01-18,17
2023-01-19,17
2023-01-20,17
2023-01-21,20
2023-01-22,20
2023-01-23,17
2023-01-24,17
2023-01-25,16
2023-01-26,17
2023-01-27,17
2023-01-28,20
2023-01-29,20
2023-01-30,17
2023-01-31,17
2023-02-01,16
2023-02-02,17
2023-02-03,16
2023-02-04,22
2023-02-05,24
2023-02-06,18
2023-02-07,16
2023-02-08,16
2023-02-09,18
2023-02-10,17
2023-02-11,20
2023-02-12,21
2023-02-13,16
2023-02-14,17
2023-02-15,18
2023-02-16,18
2023-02-17,19
2023-02-18,22
2023-02-19,22
2023-02-20,20
2023-02-21,18
2023-02-22,18
2023-02-23,17
2023-02-24,17
2023-02-25,23
2023-02-26,23
2023-02-27,18
2023-02-28,18
2023-03-01,18
2023-03-02,18
2023-03-03,17
2023-03-04,21
2023-03-05,22
2023-03-06,18
2023-03-07,17
2023-03-08,19
2023-03-09,18
2023-03-10,19
2023-03-11,22
2023-03-12,20
2023-03-13,18
2023-03-14,17
2023-03-15,17
2023-03-16,19
2023-03-17,18
2023-03-18,23
2023-03-19,25
2023-03-20,20
2023-03-21,20
2023-03-22,19
2023-03-23,19
2023-03-24,19
2023-03-25,23
2023-03-26,28
2023-03-27,19
2023-03-28,18
2023-03-29,19
2023-03-30,19
2023-03-31,20
2023-04-01,22
2023-04-02,23
2023-04-03,18
2023-04-04,19
2023-04-05,19
2023-04-06,19
2023-04-07,19
2023-04-08,22
2023-04-09,21
2023-04-10,20
2023-04-11,19
2023-04-12,20
2023-04-13,19
2023-04-14,19
2023-04-15,23
2023-04-16,22
2023-04-17,18
2023-04-18,18
2023-04-19,18
2023-04-20,18
2023-04-21,18
2023-04-22,21
2023-04-23,22
2023-04-24,19
2023-04-25,17
2023-04-26,19
2023-04-27,16
2023-04-28,17
2023-04-29,21
2023-04-30,21
2023-05-01,17
2023-05-02,17
2023-05-03,16
2023-05-04,17
2023-05-05,17
2023-05-06,20
2023-05-07,22
2023-05-08,18
2023-05-09,17
2023-05-10,17
2023-05-11,16
2023-05-12,17
2023-05-13,21
2023-05-14,23
2023-05-15,18
2023-05-16,19
2023-05-17,19
2023-05-18,18
2023-05-19,18
2023-05-20,22
2023-05-21,23
2023-05-22,18
2023-05-23,17
2023-05-24,16
2023-05-25,17
