Time,vans
2022-01-01,60
2022-01-02,65
2022-01-03,56
2022-01-04,64
2022-01-05,61
2022-01-06,49
2022-01-07,57
2022-01-08,63
2022-01-09,65
2022-01-10,53
2022-01-11,53
2022-01-12,57
2022-01-13,56
2022-01-14,47
2022-01-15,63
2022-01-16,54
2022-01-17,53
2022-01-18,49
2022-01-19,49
2022-01-20,56
2022-01-21,51
2022-01-22,61
2022-01-23,59
2022-01-24,66
2022-01-25,48
2022-01-26,55
2022-01-27,47
2022-01-28,51
2022-01-29,64
2022-01-30,67
2022-01-31,54
2022-02-01,52
2022-02-02,55
2022-02-03,56
2022-02-04,54
2022-02-05,63
2022-02-06,67
2022-02-07,56
2022-02-08,54
2022-02-09,57
2022-02-10,52
2022-02-11,58
2022-02-12,66
2022-02-13,59
2022-02-14,53
2022-02-15,55
2022-02-16,55
2022-02-17,57
2022-02-18,64
2022-02-19,83
2022-02-20,71
2022-02-21,64
2022-02-22,64
2022-02-23,57
2022-02-24,52
2022-02-25,57
2022-02-26,73
2022-02-27,74
2022-02-28,63
2022-03-01,57
2022-03-02,56
2022-03-03,57
2022-03-04,59
2022-03-05,68
2022-03-06,70
2022-03-07,59
2022-03-08,61
2022-03-09,54
2022-03-10,57
2022-03-11,56
2022-03-12,61
2022-03-13,73
2022-03-14,60
2022-03-15,61
2022-03-16,58
2022-03-17,59
2022-03-18,65
2022-03-19,77
2022-03-20,79
2022-03-21,64
2022-03-22,59
2022-03-23,64
2022-03-24,60
2022-03-25,61
2022-03-26,74
2022-03-27,72
2022-03-28,57
2022-03-29,58
2022-03-30,58
2022-03-31,54
2022-04-01,59
2022-04-02,71
2022-04-03,71
2022-04-04,56
2022-04-05,53
2022-04-06,57
2022-04-07,53
2022-04-08,51
2022-04-09,67
2022-04-10,74
2022-04-11,63
2022-04-12,52
2022-04-13,56
2022-04-14,57
2022-04-15,65
2022-04-16,74
2022-04-17,71
2022-04-18,61
2022-04-19,60
2022-04-20,54
2022-04-21,57
2022-04-22,59
2022-04-23,70
2022-04-24,72
2022-04-25,67
2022-04-26,52
2022-04-27,52
2022-04-28,53
2022-04-29,57
2022-04-30,66
2022-05-01,66
2022-05-02,60
2022-05-03,55
2022-05-04,52
2022-05-05,53
2022-05-06,52
2022-05-07,65
2022-05-08,66
2022-05-09,54
2022-05-10,50
2022-05-11,49
2022-05-12,55
2022-05-13,55
2022-05-14,60
2022-05-15,58
2022-05-16,50
2022-05-17,50
2022-05-18,50
2022-05-19,48
2022-05-20,50
2022-05-21,62
2022-05-22,61
2022-05-23,51
2022-05-24,49
2022-05-25,49
2022-05-26,52
2022-05-27,52
2022-05-28,63
2022-05-29,65
2022-05-30,59
2022-05-31,52
2022-06-01,50
2022-06-02,53
2022-06-03,53
2022-06-04,60
2022-06-05,68
2022-06-06,54
2022-06-07,49
2022-06-08,54
2022-06-09,55
2022-06-10,71
2022-06-11,66
2022-06-12,68
2022-06-13,56
2022-06-14,56
2022-06-15,54
2022-06-16,53
2022-06-17,49
2022-06-18,65
2022-06-19,60
2022-06-20,55
2022-06-21,52
2022-06-22,56
2022-06-23,53
2022-06-24,72
2022-06-25,65
2022-06-26,59
2022-06-27,57
2022-06-28,56
2022-06-29,55
2022-06-30,54
2022-07-01,56
2022-07-02,63
2022-07-03,68
2022-07-04,63
2022-07-05,54
2022-07-06,53
2022-07-07,56
2022-07-08,61
2022-07-09,65
2022-07-10,67
2022-07-11,66
2022-07-12,62
2022-07-13,58
2022-07-14,58
2022-07-15,58
2022-07-16,62
2022-07-17,70
2022-07-18,62
2022-07-19,65
2022-07-20,67
2022-07-21,58
2022-07-22,63
2022-07-23,72
2022-07-24,71
2022-07-25,68
2022-07-26,64
2022-07-27,63
2022-07-28,68
2022-07-29,70
2022-07-30,92
2022-07-31,100
2022-08-01,80
2022-08-02,72
2022-08-03,70
2022-08-04,72
2022-08-05,77
2022-08-06,90
2022-08-07,98
2022-08-08,74
2022-08-09,71
2022-08-10,66
2022-08-11,59
2022-08-12,67
2022-08-13,74
2022-08-14,81
2022-08-15,72
2022-08-16,62
2022-08-17,63
2022-08-18,63
2022-08-19,62
2022-08-20,73
2022-08-21,74
2022-08-22,57
2022-08-23,59
2022-08-24,60
2022-08-25,58
2022-08-26,68
2022-08-27,71
2022-08-28,69
2022-08-29,57
2022-08-30,59
2022-08-31,51
2022-09-01,52
2022-09-02,52
2022-09-03,63
2022-09-04,67
2022-09-05,68
2022-09-06,49
2022-09-07,47
2022-09-08,46
2022-09-09,49
2022-09-10,57
2022-09-11,58
2022-09-12,50
2022-09-13,48
2022-09-14,48
2022-09-15,47
2022-09-16,47
2022-09-17,54
2022-09-18,58
2022-09-19,46
2022-09-20,46
2022-09-21,47
2022-09-22,46
2022-09-23,48
2022-09-24,55
2022-09-25,59
2022-09-26,44
2022-09-27,46
