Time,gold price today
2023-12-22,35
2023-12-23,25
2023-12-24,19
2023-12-25,19
2023-12-26,35
2023-12-27,38
2023-12-28,39
2023-12-29,38
2023-12-30,25
2023-12-31,20
2024-01-01,19
2024-01-02,34
2024-01-03,32
2024-01-04,32
2024-01-05,30
2024-01-06,23
2024-01-07,17
2024-01-08,25
2024-01-09,28
2024-01-10,28
2024-01-11,29
2024-01-12,28
2024-01-13,20
2024-01-14,16
2024-01-15,22
2024-01-16,26
2024-01-17,29
2024-01-18,27
2024-01-19,28
2024-01-20,20
2024-01-21,17
2024-01-22,26
2024-01-23,27
2024-01-24,30
2024-01-25,28
2024-01-26,23
2024-01-27,20
2024-01-28,13
2024-01-29,21
2024-01-30,23
2024-01-31,23
2024-02-01,23
2024-02-02,24
2024-02-03,20
2024-02-04,15
2024-02-05,24
2024-02-06,22
2024-02-07,22
2024-02-08,22
2024-02-09,24
2024-02-10,18
2024-02-11,12
2024-02-12,17
2024-02-13,24
2024-02-14,26
2024-02-15,25
2024-02-16,26
2024-02-17,18
2024-02-18,15
2024-02-19,20
2024-02-20,22
2024-02-21,20
2024-02-22,22
2024-02-23,22
2024-02-24,21
2024-02-25,15
2024-02-26,21
2024-02-27,22
2024-02-28,20
2024-02-29,21
2024-03-01,25
2024-03-02,23
2024-03-03,18
2024-03-04,29
2024-03-05,42
2024-03-06,42
2024-03-07,43
2024-03-08,45
2024-03-09,31
2024-03-10,25
2024-03-11,41
2024-03-12,36
2024-03-13,38
2024-03-14,34
2024-03-15,33
2024-03-16,26
2024-03-17,21
2024-03-18,30
2024-03-19,31
2024-03-20,35
2024-03-21,44
2024-03-22,36
2024-03-23,25
2024-03-24,20
2024-03-25,31
2024-03-26,32
2024-03-27,32
2024-03-28,39
2024-03-29,45
2024-03-30,29
2024-03-31,24
2024-04-01,49
2024-04-02,54
2024-04-03,61
2024-04-04,64
2024-04-05,61
2024-04-06,38
2024-04-07,31
2024-04-08,52
2024-04-09,60
2024-04-10,67
2024-04-11,67
2024-04-12,100
2024-04-13,57
2024-04-14,44
2024-04-15,73
2024-04-16,72
2024-04-17,67
2024-04-18,64
2024-04-19,72
2024-04-20,44
2024-04-21,36
2024-04-22,59
2024-04-23,63
2024-04-24,55
2024-04-25,54
2024-04-26,49
2024-04-27,32
2024-04-28,29
2024-04-29,45
2024-04-30,48
2024-05-01,49
2024-05-02,48
2024-05-03,43
2024-05-04,30
2024-05-05,25
2024-05-06,41
2024-05-07,45
2024-05-08,37
2024-05-09,42
2024-05-10,48
2024-05-11,30
2024-05-12,23
2024-05-13,36
2024-05-14,42
2024-05-15,48
2024-05-16,46
2024-05-17,54
2024-05-18,37
2024-05-19,31
2024-05-20,64
2024-05-21,57
2024-05-22,55
2024-05-23,51
2024-05-24,47
2024-05-25,29
2024-05-26,24
2024-05-27,34
2024-05-28,51
2024-05-29,48
2024-05-30,46
2024-05-31,40
2024-06-01,26
2024-06-02,23
2024-06-03,38
2024-06-04,45
2024-06-05,45
2024-06-06,43
2024-06-07,49
2024-06-08,32
2024-06-09,25
2024-06-10,41
2024-06-11,38
2024-06-12,39
2024-06-13,44
2024-06-14,38
2024-06-15,26
2024-06-16,22
2024-06-17,36
2024-06-18,38
2024-06-19,34
2024-06-20,38
2024-06-21,39
2024-06-22,25
2024-06-23,21
2024-06-24,36
2024-06-25,32
2024-06-26,31
2024-06-27,34
2024-06-28,36
2024-06-29,23
2024-06-30,18
2024-07-01,31
2024-07-02,28
2024-07-03,37
2024-07-04,25
2024-07-05,36
2024-07-06,26
2024-07-07,22
2024-07-08,37
2024-07-09,38
2024-07-10,37
2024-07-11,44
2024-07-12,43
2024-07-13,27
2024-07-14,22
2024-07-15,39
2024-07-16,51
2024-07-17,54
2024-07-18,49
2024-07-19,47
2024-07-20,30
2024-07-21,25
2024-07-22,43
2024-07-23,49
2024-07-24,50
2024-07-25,52
2024-07-26,46
2024-07-27,31
2024-07-28,28
2024-07-29,44
2024-07-30,44
2024-07-31,45
2024-08-01,51
2024-08-02,61
2024-08-03,37
2024-08-04,27
2024-08-05,91
2024-08-06,65
2024-08-07,51
2024-08-08,45
2024-08-09,45
2024-08-10,31
2024-08-11,26
2024-08-12,47
2024-08-13,52
2024-08-14,50
2024-08-15,48
2024-08-16,60
2024-08-17,47
2024-08-18,33
2024-08-19,56
2024-08-20,75
2024-08-21,65
2024-08-22,54
2024-08-23,56
2024-08-24,36
2024-08-25,32
2024-08-26,51
2024-08-27,50
2024-08-28,46
2024-08-29,47
2024-08-30,46
2024-08-31,27
2024-09-01,24
2024-09-02,31
2024-09-03,45
2024-09-04,42
2024-09-05,44
2024-09-06,44
2024-09-07,28
2024-09-08,22
2024-09-09,38
2024-09-10,41
2024-09-11,41
2024-09-12,48
2024-09-13,64
2024-09-14,37
2024-09-15,28
2024-09-16,55
