Time,gold price today
2022-08-29,33
2022-08-30,34
2022-08-31,33
2022-09-01,35
2022-09-02,36
2022-09-03,26
2022-09-04,22
2022-09-05,28
2022-09-06,38
2022-09-07,38
2022-09-08,32
2022-09-09,33
2022-09-10,22
2022-09-11,20
2022-09-12,29
2022-09-13,36
2022-09-14,33
2022-09-15,41
2022-09-16,47
2022-09-17,31
2022-09-18,29
2022-09-19,40
2022-09-20,42
2022-09-21,44
2022-09-22,44
2022-09-23,45
2022-09-24,38
2022-09-25,30
2022-09-26,47
2022-09-27,47
2022-09-28,44
2022-09-29,41
2022-09-30,41
2022-10-01,39
2022-10-02,26
2022-10-03,41
2022-10-04,46
2022-10-05,41
2022-10-06,41
2022-10-07,40
2022-10-08,34
2022-10-09,26
2022-10-10,39
2022-10-11,37
2022-10-12,39
2022-10-13,44
2022-10-14,39
2022-10-15,31
2022-10-16,27
2022-10-17,39
2022-10-18,42
2022-10-19,38
2022-10-20,38
2022-10-21,38
2022-10-22,38
2022-10-23,29
2022-10-24,36
2022-10-25,35
2022-10-26,34
2022-10-27,35
2022-10-28,33
2022-10-29,27
2022-10-30,23
2022-10-31,34
2022-11-01,37
2022-11-02,36
2022-11-03,38
2022-11-04,37
2022-11-05,29
2022-11-06,24
2022-11-07,32
2022-11-08,35
2022-11-09,35
2022-11-10,39
2022-11-11,32
2022-11-12,29
2022-11-13,27
2022-11-14,32
2022-11-15,36
2022-11-16,35
2022-11-17,38
2022-11-18,37
2022-11-19,27
2022-11-20,22
2022-11-21,27
2022-11-22,32
2022-11-23,30
2022-11-24,25
2022-11-25,33
2022-11-26,24
2022-11-27,21
2022-11-28,24
2022-11-29,28
2022-11-30,31
2022-12-01,35
2022-12-02,34
2022-12-03,30
2022-12-04,22
2022-12-05,32
2022-12-06,32
2022-12-07,35
2022-12-08,30
2022-12-09,34
2022-12-10,28
2022-12-11,22
2022-12-12,33
2022-12-13,36
2022-12-14,36
2022-12-15,34
2022-12-16,36
2022-12-17,23
2022-12-18,23
2022-12-19,32
2022-12-20,34
2022-12-21,33
2022-12-22,35
2022-12-23,35
2022-12-24,23
2022-12-25,21
2022-12-26,30
2022-12-27,34
2022-12-28,36
2022-12-29,36
2022-12-30,39
2022-12-31,28
2023-01-01,19
2023-01-02,28
2023-01-03,34
2023-01-04,43
2023-01-05,38
2023-01-06,40
2023-01-07,32
2023-01-08,25
2023-01-09,39
2023-01-10,40
2023-01-11,40
2023-01-12,43
2023-01-13,46
2023-01-14,38
2023-01-15,27
2023-01-16,40
2023-01-17,47
2023-01-18,44
2023-01-19,45
2023-01-20,48
2023-01-21,37
2023-01-22,34
2023-01-23,39
2023-01-24,48
2023-01-25,45
2023-01-26,48
2023-01-27,44
2023-01-28,33
2023-01-29,28
2023-01-30,41
2023-01-31,42
2023-02-01,48
2023-02-02,48
2023-02-03,51
2023-02-04,40
2023-02-05,32
2023-02-06,42
2023-02-07,46
2023-02-08,43
2023-02-09,40
2023-02-10,42
2023-02-11,32
2023-02-12,24
2023-02-13,34
2023-02-14,35
2023-02-15,42
2023-02-16,41
2023-02-17,41
2023-02-18,35
2023-02-19,28
2023-02-20,32
2023-02-21,37
2023-02-22,38
2023-02-23,34
2023-02-24,41
2023-02-25,35
2023-02-26,29
2023-02-27,36
2023-02-28,39
2023-03-01,38
2023-03-02,36
2023-03-03,35
2023-03-04,30
2023-03-05,23
2023-03-06,36
2023-03-07,40
2023-03-08,41
2023-03-09,40
2023-03-10,46
2023-03-11,43
2023-03-12,37
2023-03-13,83
2023-03-14,74
2023-03-15,72
2023-03-16,72
2023-03-17,74
2023-03-18,60
2023-03-19,54
2023-03-20,85
2023-03-21,74
2023-03-22,74
2023-03-23,77
2023-03-24,77
2023-03-25,57
2023-03-26,40
2023-03-27,63
2023-03-28,59
2023-03-29,60
2023-03-30,67
2023-03-31,64
2023-04-01,47
2023-04-02,37
2023-04-03,67
2023-04-04,82
2023-04-05,100
2023-04-06,92
2023-04-07,77
2023-04-08,51
2023-04-09,42
2023-04-10,74
2023-04-11,72
2023-04-12,75
2023-04-13,77
2023-04-14,80
2023-04-15,50
2023-04-16,42
2023-04-17,69
2023-04-18,67
2023-04-19,62
2023-04-20,61
2023-04-21,60
2023-04-22,44
2023-04-23,38
2023-04-24,58
2023-04-25,56
2023-04-26,67
2023-04-27,53
2023-04-28,55
2023-04-29,40
2023-04-30,32
2023-05-01,56
2023-05-02,62
2023-05-03,67
2023-05-04,77
2023-05-05,73
2023-05-06,49
2023-05-07,34
2023-05-08,63
2023-05-09,54
2023-05-10,58
2023-05-11,61
2023-05-12,61
2023-05-13,41
2023-05-14,32
2023-05-15,49
2023-05-16,57
2023-05-17,55
2023-05-18,56
2023-05-19,56
2023-05-20,40
2023-05-21,38
2023-05-22,53
2023-05-23,53
2023-05-24,56
2023-05-25,51
