Time,groundhog day
2023-04-26,20
2023-04-27,14
2023-04-28,19
2023-04-29,26
2023-04-30,28
2023-05-01,19
2023-05-02,21
2023-05-03,18
2023-05-04,16
2023-05-05,17
2023-05-06,16
2023-05-07,22
2023-05-08,17
2023-05-09,15
2023-05-10,18
2023-05-11,16
2023-05-12,18
2023-05-13,15
2023-05-14,22
2023-05-15,18
2023-05-16,20
2023-05-17,16
2023-05-18,16
2023-05-19,18
2023-05-20,22
2023-05-21,14
2023-05-22,15
2023-05-23,17
2023-05-24,17
2023-05-25,16
2023-05-26,15
2023-05-27,61
2023-05-28,31
2023-05-29,24
2023-05-30,20
2023-05-31,19
2023-06-01,18
2023-06-02,14
2023-06-03,22
2023-06-04,23
2023-06-05,21
2023-06-06,21
2023-06-07,24
2023-06-08,21
2023-06-09,23
2023-06-10,32
2023-06-11,45
2023-06-12,36
2023-06-13,25
2023-06-14,30
2023-06-15,27
2023-06-16,27
2023-06-17,28
2023-06-18,28
2023-06-19,35
2023-06-20,21
2023-06-21,24
2023-06-22,23
2023-06-23,32
2023-06-24,26
2023-06-25,31
2023-06-26,19
2023-06-27,19
2023-06-28,24
2023-06-29,20
2023-06-30,16
2023-07-01,19
2023-07-02,28
2023-07-03,27
2023-07-04,30
2023-07-05,24
2023-07-06,25
2023-07-07,26
2023-07-08,28
2023-07-09,24
2023-07-10,24
2023-07-11,18
2023-07-12,18
2023-07-13,20
2023-07-14,18
2023-07-15,27
2023-07-16,22
2023-07-17,19
2023-07-18,21
2023-07-19,20
2023-07-20,17
2023-07-21,22
2023-07-22,17
2023-07-23,21
2023-07-24,20
2023-07-25,25
2023-07-26,19
2023-07-27,20
2023-07-28,19
2023-07-29,22
2023-07-30,19
2023-07-31,16
2023-08-01,20
2023-08-02,22
2023-08-03,25
2023-08-04,19
2023-08-05,21
2023-08-06,24
2023-08-07,17
2023-08-08,18
2023-08-09,17
2023-08-10,18
2023-08-11,24
2023-08-12,22
2023-08-13,25
2023-08-14,17
2023-08-15,22
2023-08-16,22
2023-08-17,16
2023-08-18,20
2023-08-19,20
2023-08-20,23
2023-08-21,21
2023-08-22,21
2023-08-23,21
2023-08-24,15
2023-08-25,17
2023-08-26,24
2023-08-27,22
2023-08-28,19
2023-08-29,20
2023-08-30,20
2023-08-31,17
2023-09-01,15
2023-09-02,20
2023-09-03,21
2023-09-04,21
2023-09-05,16
2023-09-06,16
2023-09-07,20
2023-09-08,18
2023-09-09,21
2023-09-10,33
2023-09-11,29
2023-09-12,22
2023-09-13,22
2023-09-14,22
2023-09-15,19
2023-09-16,26
2023-09-17,22
2023-09-18,21
2023-09-19,18
2023-09-20,22
2023-09-21,19
2023-09-22,21
2023-09-23,21
2023-09-24,24
2023-09-25,23
2023-09-26,22
2023-09-27,19
2023-09-28,21
2023-09-29,11
2023-09-30,20
2023-10-01,25
2023-10-02,19
2023-10-03,24
2023-10-04,21
2023-10-05,21
2023-10-06,27
2023-10-07,22
2023-10-08,20
2023-10-09,15
2023-10-10,20
2023-10-11,22
2023-10-12,24
2023-10-13,21
2023-10-14,16
2023-10-15,22
2023-10-16,18
2023-10-17,20
2023-10-18,19
2023-10-19,20
2023-10-20,21
2023-10-21,20
2023-10-22,22
2023-10-23,22
2023-10-24,22
2023-10-25,24
2023-10-26,19
2023-10-27,17
2023-10-28,25
2023-10-29,22
2023-10-30,22
2023-10-31,23
2023-11-01,22
2023-11-02,23
2023-11-03,24
2023-11-04,27
2023-11-05,23
2023-11-06,26
2023-11-07,31
2023-11-08,27
2023-11-09,22
2023-11-10,19
2023-11-11,29
2023-11-12,32
2023-11-13,28
2023-11-14,23
2023-11-15,29
2023-11-16,29
2023-11-17,23
2023-11-18,35
2023-11-19,89
2023-11-20,39
2023-11-21,68
2023-11-22,27
2023-11-23,36
2023-11-24,32
2023-11-25,28
2023-11-26,33
2023-11-27,26
2023-11-28,26
2023-11-29,26
2023-11-30,52
2023-12-01,23
2023-12-02,27
2023-12-03,18
2023-12-04,27
2023-12-05,22
2023-12-06,27
2023-12-07,26
2023-12-08,25
2023-12-09,30
2023-12-10,31
2023-12-11,30
2023-12-12,27
2023-12-13,29
2023-12-14,26
2023-12-15,25
2023-12-16,27
2023-12-17,27
2023-12-18,26
2023-12-19,28
2023-12-20,28
2023-12-21,25
2023-12-22,33
2023-12-23,30
2023-12-24,38
2023-12-25,32
2023-12-26,33
2023-12-27,32
2023-12-28,27
2023-12-29,30
2023-12-30,33
2023-12-31,41
2024-01-01,52
2024-01-02,65
2024-01-03,76
2024-01-04,56
2024-01-05,49
2024-01-06,44
2024-01-07,41
2024-01-08,52
2024-01-09,50
2024-01-10,58
2024-01-11,67
2024-01-12,67
2024-01-13,59
2024-01-14,70
2024-01-15,72
2024-01-16,87
2024-01-17,100
2024-01-18,100
2024-01-19,98
2024-01-20,83
