Time,2024 presidential election
2023-12-22,8
2023-12-23,6
2023-12-24,8
2023-12-25,6
2023-12-26,7
2023-12-27,8
2023-12-28,9
2023-12-29,10
2023-12-30,7
2023-12-31,9
2024-01-01,13
2024-01-02,13
2024-01-03,14
2024-01-04,13
2024-01-05,12
2024-01-06,11
2024-01-07,11
2024-01-08,11
2024-01-09,13
2024-01-10,15
2024-01-11,16
2024-01-12,12
2024-01-13,13
2024-01-14,15
2024-01-15,15
2024-01-16,41
2024-01-17,23
2024-01-18,22
2024-01-19,16
2024-01-20,14
2024-01-21,22
2024-01-22,27
2024-01-23,23
2024-01-24,40
2024-01-25,21
2024-01-26,16
2024-01-27,13
2024-01-28,14
2024-01-29,12
2024-01-30,12
2024-01-31,12
2024-02-01,11
2024-02-02,13
2024-02-03,9
2024-02-04,14
2024-02-05,13
2024-02-06,13
2024-02-07,16
2024-02-08,14
2024-02-09,14
2024-02-10,12
2024-02-11,11
2024-02-12,13
2024-02-13,12
2024-02-14,11
2024-02-15,9
2024-02-16,11
2024-02-17,9
2024-02-18,12
2024-02-19,11
2024-02-20,11
2024-02-21,11
2024-02-22,9
2024-02-23,10
2024-02-24,12
2024-02-25,18
2024-02-26,15
2024-02-27,15
2024-02-28,18
2024-02-29,14
2024-03-01,13
2024-03-02,14
2024-03-03,15
2024-03-04,20
2024-03-05,32
2024-03-06,61
2024-03-07,29
2024-03-08,28
2024-03-09,17
2024-03-10,15
2024-03-11,12
2024-03-12,14
2024-03-13,23
2024-03-14,14
2024-03-15,11
2024-03-16,11
2024-03-17,13
2024-03-18,15
2024-03-19,16
2024-03-20,15
2024-03-21,10
2024-03-22,9
2024-03-23,8
2024-03-24,8
2024-03-25,9
2024-03-26,10
2024-03-27,8
2024-03-28,9
2024-03-29,8
2024-03-30,7
2024-03-31,8
2024-04-01,9
2024-04-02,12
2024-04-03,14
2024-04-04,10
2024-04-05,8
2024-04-06,7
2024-04-07,9
2024-04-08,10
2024-04-09,8
2024-04-10,9
2024-04-11,9
2024-04-12,8
2024-04-13,7
2024-04-14,8
2024-04-15,9
2024-04-16,9
2024-04-17,9
2024-04-18,9
2024-04-19,8
2024-04-20,7
2024-04-21,8
2024-04-22,9
2024-04-23,9
2024-04-24,11
2024-04-25,9
2024-04-26,8
2024-04-27,7
2024-04-28,10
2024-04-29,9
2024-04-30,7
2024-05-01,8
2024-05-02,9
2024-05-03,9
2024-05-04,8
2024-05-05,8
2024-05-06,9
2024-05-07,9
2024-05-08,10
2024-05-09,9
2024-05-10,8
2024-05-11,8
2024-05-12,10
2024-05-13,11
2024-05-14,11
2024-05-15,13
2024-05-16,9
2024-05-17,9
2024-05-18,7
2024-05-19,8
2024-05-20,9
2024-05-21,11
2024-05-22,11
2024-05-23,11
2024-05-24,10
2024-05-25,7
2024-05-26,8
2024-05-27,9
2024-05-28,9
2024-05-29,11
2024-05-30,19
2024-05-31,26
2024-06-01,14
2024-06-02,20
2024-06-03,20
2024-06-04,15
2024-06-05,14
2024-06-06,11
2024-06-07,10
2024-06-08,8
2024-06-09,10
2024-06-10,12
2024-06-11,12
2024-06-12,11
2024-06-13,11
2024-06-14,11
2024-06-15,10
2024-06-16,10
2024-06-17,13
2024-06-18,12
2024-06-19,12
2024-06-20,13
2024-06-21,12
2024-06-22,10
2024-06-23,13
2024-06-24,14
2024-06-25,12
2024-06-26,14
2024-06-27,22
2024-06-28,78
2024-06-29,31
2024-06-30,24
2024-07-01,23
2024-07-02,24
2024-07-03,23
2024-07-04,21
2024-07-05,20
2024-07-06,20
2024-07-07,18
2024-07-08,18
2024-07-09,20
2024-07-10,18
2024-07-11,18
2024-07-12,21
2024-07-13,19
2024-07-14,34
2024-07-15,34
2024-07-16,32
2024-07-17,28
2024-07-18,29
2024-07-19,35
2024-07-20,21
2024-07-21,100
2024-07-22,79
2024-07-23,59
2024-07-24,44
2024-07-25,40
2024-07-26,34
2024-07-27,30
2024-07-28,32
2024-07-29,41
2024-07-30,30
2024-07-31,28
2024-08-01,31
2024-08-02,28
2024-08-03,25
2024-08-04,23
2024-08-05,25
2024-08-06,34
2024-08-07,37
2024-08-08,32
2024-08-09,28
2024-08-10,26
2024-08-11,29
2024-08-12,28
2024-08-13,30
2024-08-14,27
2024-08-15,25
2024-08-16,23
2024-08-17,24
2024-08-18,23
2024-08-19,24
2024-08-20,32
2024-08-21,40
2024-08-22,34
2024-08-23,46
2024-08-24,37
2024-08-25,29
2024-08-26,31
2024-08-27,29
2024-08-28,27
2024-08-29,25
2024-08-30,26
2024-08-31,20
2024-09-01,25
2024-09-02,24
2024-09-03,25
2024-09-04,28
2024-09-05,27
2024-09-06,26
2024-09-07,23
2024-09-08,25
2024-09-09,29
2024-09-10,30
2024-09-11,82
2024-09-12,50
2024-09-13,33
2024-09-14,33
2024-09-15,31
2024-09-16,31
