Time,college basketball
2023-04-26,11
2023-04-27,11
2023-04-28,10
2023-04-29,10
2023-04-30,11
2023-05-01,11
2023-05-02,11
2023-05-03,11
2023-05-04,11
2023-05-05,10
2023-05-06,10
2023-05-07,12
2023-05-08,11
2023-05-09,11
2023-05-10,10
2023-05-11,10
2023-05-12,10
2023-05-13,10
2023-05-14,9
2023-05-15,10
2023-05-16,10
2023-05-17,11
2023-05-18,10
2023-05-19,9
2023-05-20,10
2023-05-21,9
2023-05-22,9
2023-05-23,10
2023-05-24,10
2023-05-25,9
2023-05-26,8
2023-05-27,9
2023-05-28,10
2023-05-29,8
2023-05-30,9
2023-05-31,10
2023-06-01,11
2023-06-02,10
2023-06-03,9
2023-06-04,9
2023-06-05,10
2023-06-06,8
2023-06-07,9
2023-06-08,10
2023-06-09,8
2023-06-10,10
2023-06-11,9
2023-06-12,9
2023-06-13,9
2023-06-14,8
2023-06-15,8
2023-06-16,8
2023-06-17,10
2023-06-18,9
2023-06-19,9
2023-06-20,9
2023-06-21,9
2023-06-22,9
2023-06-23,16
2023-06-24,9
2023-06-25,11
2023-06-26,9
2023-06-27,10
2023-06-28,8
2023-06-29,8
2023-06-30,6
2023-07-01,8
2023-07-02,7
2023-07-03,7
2023-07-04,6
2023-07-05,7
2023-07-06,8
2023-07-07,8
2023-07-08,8
2023-07-09,9
2023-07-10,8
2023-07-11,8
2023-07-12,8
2023-07-13,8
2023-07-14,8
2023-07-15,8
2023-07-16,7
2023-07-17,7
2023-07-18,7
2023-07-19,7
2023-07-20,7
2023-07-21,8
2023-07-22,7
2023-07-23,8
2023-07-24,8
2023-07-25,9
2023-07-26,8
2023-07-27,8
2023-07-28,8
2023-07-29,7
2023-07-30,7
2023-07-31,7
2023-08-01,7
2023-08-02,7
2023-08-03,8
2023-08-04,7
2023-08-05,8
2023-08-06,8
2023-08-07,8
2023-08-08,8
2023-08-09,8
2023-08-10,7
2023-08-11,8
2023-08-12,7
2023-08-13,8
2023-08-14,8
2023-08-15,8
2023-08-16,8
2023-08-17,7
2023-08-18,7
2023-08-19,7
2023-08-20,7
2023-08-21,7
2023-08-22,8
2023-08-23,8
2023-08-24,7
2023-08-25,9
2023-08-26,9
2023-08-27,8
2023-08-28,8
2023-08-29,8
2023-08-30,8
2023-08-31,9
2023-09-01,9
2023-09-02,12
2023-09-03,11
2023-09-04,9
2023-09-05,8
2023-09-06,8
2023-09-07,8
2023-09-08,9
2023-09-09,10
2023-09-10,9
2023-09-11,8
2023-09-12,8
2023-09-13,8
2023-09-14,8
2023-09-15,8
2023-09-16,11
2023-09-17,10
2023-09-18,8
2023-09-19,10
2023-09-20,9
2023-09-21,9
2023-09-22,9
2023-09-23,12
2023-09-24,9
2023-09-25,9
2023-09-26,10
2023-09-27,9
2023-09-28,10
2023-09-29,9
2023-09-30,11
2023-10-01,10
2023-10-02,9
2023-10-03,9
2023-10-04,9
2023-10-05,10
2023-10-06,9
2023-10-07,12
2023-10-08,10
2023-10-09,10
2023-10-10,10
2023-10-11,11
2023-10-12,11
2023-10-13,10
2023-10-14,13
2023-10-15,14
2023-10-16,17
2023-10-17,14
2023-10-18,13
2023-10-19,15
2023-10-20,12
2023-10-21,16
2023-10-22,14
2023-10-23,13
2023-10-24,14
2023-10-25,14
2023-10-26,15
2023-10-27,15
2023-10-28,21
2023-10-29,19
2023-10-30,20
2023-10-31,17
2023-11-01,20
2023-11-02,27
2023-11-03,22
2023-11-04,27
2023-11-05,23
2023-11-06,47
2023-11-07,90
2023-11-08,58
2023-11-09,44
2023-11-10,53
2023-11-11,80
2023-11-12,52
2023-11-13,47
2023-11-14,47
2023-11-15,63
2023-11-16,50
2023-11-17,50
2023-11-18,67
2023-11-19,51
2023-11-20,55
2023-11-21,55
2023-11-22,70
2023-11-23,72
2023-11-24,59
2023-11-25,64
2023-11-26,46
2023-11-27,44
2023-11-28,41
2023-11-29,49
2023-11-30,50
2023-12-01,45
2023-12-02,92
2023-12-03,64
2023-12-04,48
2023-12-05,50
2023-12-06,56
2023-12-07,50
2023-12-08,39
2023-12-09,86
2023-12-10,70
2023-12-11,42
2023-12-12,36
2023-12-13,40
2023-12-14,36
2023-12-15,32
2023-12-16,80
2023-12-17,67
2023-12-18,44
2023-12-19,41
2023-12-20,48
2023-12-21,56
2023-12-22,51
2023-12-23,62
2023-12-24,36
2023-12-25,29
2023-12-26,27
2023-12-27,29
2023-12-28,30
2023-12-29,40
2023-12-30,69
2023-12-31,47
2024-01-01,40
2024-01-02,40
2024-01-03,66
2024-01-04,48
2024-01-05,47
2024-01-06,94
2024-01-07,61
2024-01-08,42
2024-01-09,43
2024-01-10,63
2024-01-11,60
2024-01-12,51
2024-01-13,87
2024-01-14,68
2024-01-15,54
2024-01-16,50
2024-01-17,55
2024-01-18,55
2024-01-19,52
2024-01-20,100
