Time,college basketball
2023-12-22,17
2023-12-23,21
2023-12-24,12
2023-12-25,10
2023-12-26,9
2023-12-27,10
2023-12-28,10
2023-12-29,13
2023-12-30,23
2023-12-31,16
2024-01-01,13
2024-01-02,13
2024-01-03,22
2024-01-04,16
2024-01-05,16
2024-01-06,31
2024-01-07,20
2024-01-08,14
2024-01-09,14
2024-01-10,21
2024-01-11,20
2024-01-12,17
2024-01-13,29
2024-01-14,23
2024-01-15,18
2024-01-16,17
2024-01-17,18
2024-01-18,18
2024-01-19,17
2024-01-20,33
2024-01-21,24
2024-01-22,16
2024-01-23,17
2024-01-24,19
2024-01-25,18
2024-01-26,16
2024-01-27,34
2024-01-28,23
2024-01-29,16
2024-01-30,17
2024-01-31,19
2024-02-01,19
2024-02-02,16
2024-02-03,36
2024-02-04,38
2024-02-05,19
2024-02-06,18
2024-02-07,19
2024-02-08,18
2024-02-09,16
2024-02-10,31
2024-02-11,25
2024-02-12,13
2024-02-13,15
2024-02-14,18
2024-02-15,18
2024-02-16,25
2024-02-17,42
2024-02-18,35
2024-02-19,20
2024-02-20,22
2024-02-21,23
2024-02-22,21
2024-02-23,20
2024-02-24,38
2024-02-25,34
2024-02-26,20
2024-02-27,17
2024-02-28,19
2024-02-29,21
2024-03-01,19
2024-03-02,37
2024-03-03,43
2024-03-04,20
2024-03-05,19
2024-03-06,23
2024-03-07,23
2024-03-08,19
2024-03-09,41
2024-03-10,54
2024-03-11,24
2024-03-12,24
2024-03-13,30
2024-03-14,40
2024-03-15,47
2024-03-16,61
2024-03-17,63
2024-03-18,39
2024-03-19,33
2024-03-20,40
2024-03-21,70
2024-03-22,84
2024-03-23,91
2024-03-24,91
2024-03-25,52
2024-03-26,26
2024-03-27,20
2024-03-28,27
2024-03-29,56
2024-03-30,78
2024-03-31,89
2024-04-01,39
2024-04-02,49
2024-04-03,18
2024-04-04,17
2024-04-05,28
2024-04-06,78
2024-04-07,100
2024-04-08,35
2024-04-09,51
2024-04-10,11
2024-04-11,9
2024-04-12,8
2024-04-13,6
2024-04-14,6
2024-04-15,6
2024-04-16,8
2024-04-17,6
2024-04-18,6
2024-04-19,6
2024-04-20,5
2024-04-21,5
2024-04-22,5
2024-04-23,5
2024-04-24,5
2024-04-25,5
2024-04-26,5
2024-04-27,4
2024-04-28,5
2024-04-29,5
2024-04-30,5
2024-05-01,5
2024-05-02,5
2024-05-03,4
2024-05-04,4
2024-05-05,4
2024-05-06,4
2024-05-07,4
2024-05-08,4
2024-05-09,4
2024-05-10,3
2024-05-11,3
2024-05-12,4
2024-05-13,4
2024-05-14,4
2024-05-15,4
2024-05-16,4
2024-05-17,4
2024-05-18,4
2024-05-19,4
2024-05-20,3
2024-05-21,4
2024-05-22,3
2024-05-23,4
2024-05-24,3
2024-05-25,3
2024-05-26,3
2024-05-27,4
2024-05-28,3
2024-05-29,3
2024-05-30,4
2024-05-31,4
2024-06-01,4
2024-06-02,3
2024-06-03,3
2024-06-04,3
2024-06-05,3
2024-06-06,4
2024-06-07,4
2024-06-08,4
2024-06-09,3
2024-06-10,4
2024-06-11,3
2024-06-12,3
2024-06-13,3
2024-06-14,3
2024-06-15,4
2024-06-16,3
2024-06-17,3
2024-06-18,3
2024-06-19,3
2024-06-20,3
2024-06-21,3
2024-06-22,4
2024-06-23,3
2024-06-24,3
2024-06-25,3
2024-06-26,3
2024-06-27,4
2024-06-28,3
2024-06-29,3
2024-06-30,3
2024-07-01,3
2024-07-02,3
2024-07-03,3
2024-07-04,2
2024-07-05,2
2024-07-06,3
2024-07-07,3
2024-07-08,3
2024-07-09,3
2024-07-10,3
2024-07-11,3
2024-07-12,3
2024-07-13,3
2024-07-14,3
2024-07-15,3
2024-07-16,3
2024-07-17,3
2024-07-18,3
2024-07-19,3
2024-07-20,4
2024-07-21,3
2024-07-22,3
2024-07-23,3
2024-07-24,3
2024-07-25,3
2024-07-26,2
2024-07-27,2
2024-07-28,4
2024-07-29,3
2024-07-30,3
2024-07-31,3
2024-08-01,3
2024-08-02,3
2024-08-03,3
2024-08-04,3
2024-08-05,2
2024-08-06,3
2024-08-07,3
2024-08-08,3
2024-08-09,3
2024-08-10,4
2024-08-11,4
2024-08-12,2
2024-08-13,2
2024-08-14,3
2024-08-15,3
2024-08-16,3
2024-08-17,3
2024-08-18,2
2024-08-19,3
2024-08-20,3
2024-08-21,3
2024-08-22,3
2024-08-23,3
2024-08-24,3
2024-08-25,3
2024-08-26,3
2024-08-27,2
2024-08-28,3
2024-08-29,3
2024-08-30,6
2024-08-31,4
2024-09-01,3
2024-09-02,3
2024-09-03,3
2024-09-04,3
2024-09-05,3
2024-09-06,3
2024-09-07,4
2024-09-08,3
2024-09-09,3
2024-09-10,3
2024-09-11,2
2024-09-12,3
2024-09-13,3
2024-09-14,3
2024-09-15,3
2024-09-16,3
