Time,gmail
2022-08-29,96
2022-08-30,100
2022-08-31,94
2022-09-01,97
2022-09-02,83
2022-09-03,52
2022-09-04,51
2022-09-05,60
2022-09-06,99
2022-09-07,96
2022-09-08,97
2022-09-09,88
2022-09-10,55
2022-09-11,52
2022-09-12,96
2022-09-13,97
2022-09-14,99
2022-09-15,98
2022-09-16,90
2022-09-17,53
2022-09-18,52
2022-09-19,97
2022-09-20,100
2022-09-21,95
2022-09-22,92
2022-09-23,84
2022-09-24,51
2022-09-25,52
2022-09-26,89
2022-09-27,89
2022-09-28,91
2022-09-29,94
2022-09-30,86
2022-10-01,53
2022-10-02,51
2022-10-03,93
2022-10-04,95
2022-10-05,89
2022-10-06,90
2022-10-07,84
2022-10-08,53
2022-10-09,50
2022-10-10,79
2022-10-11,87
2022-10-12,86
2022-10-13,88
2022-10-14,81
2022-10-15,50
2022-10-16,50
2022-10-17,89
2022-10-18,87
2022-10-19,89
2022-10-20,87
2022-10-21,78
2022-10-22,49
2022-10-23,49
2022-10-24,81
2022-10-25,87
2022-10-26,82
2022-10-27,81
2022-10-28,72
2022-10-29,47
2022-10-30,46
2022-10-31,85
2022-11-01,82
2022-11-02,86
2022-11-03,86
2022-11-04,78
2022-11-05,49
2022-11-06,47
2022-11-07,82
2022-11-08,77
2022-11-09,80
2022-11-10,78
2022-11-11,68
2022-11-12,48
2022-11-13,48
2022-11-14,85
2022-11-15,86
2022-11-16,85
2022-11-17,83
2022-11-18,81
2022-11-19,51
2022-11-20,49
2022-11-21,76
2022-11-22,73
2022-11-23,64
2022-11-24,40
2022-11-25,47
2022-11-26,46
2022-11-27,49
2022-11-28,82
2022-11-29,84
2022-11-30,83
2022-12-01,85
2022-12-02,80
2022-12-03,51
2022-12-04,48
2022-12-05,82
2022-12-06,87
2022-12-07,80
2022-12-08,81
2022-12-09,75
2022-12-10,51
2022-12-11,50
2022-12-12,79
2022-12-13,80
2022-12-14,78
2022-12-15,78
2022-12-16,75
2022-12-17,48
2022-12-18,44
2022-12-19,71
2022-12-20,69
2022-12-21,68
2022-12-22,61
2022-12-23,56
2022-12-24,44
2022-12-25,50
2022-12-26,55
2022-12-27,62
2022-12-28,64
2022-12-29,61
2022-12-30,58
2022-12-31,44
2023-01-01,41
2023-01-02,59
2023-01-03,73
2023-01-04,83
2023-01-05,78
2023-01-06,77
2023-01-07,54
2023-01-08,49
2023-01-09,87
2023-01-10,86
2023-01-11,91
2023-01-12,83
2023-01-13,77
2023-01-14,52
2023-01-15,48
2023-01-16,64
2023-01-17,87
2023-01-18,82
2023-01-19,86
2023-01-20,81
2023-01-21,52
2023-01-22,50
2023-01-23,87
2023-01-24,90
2023-01-25,87
2023-01-26,86
2023-01-27,81
2023-01-28,53
2023-01-29,54
2023-01-30,84
2023-01-31,91
2023-02-01,89
2023-02-02,85
2023-02-03,83
2023-02-04,56
2023-02-05,55
2023-02-06,87
2023-02-07,92
2023-02-08,87
2023-02-09,89
2023-02-10,83
2023-02-11,56
2023-02-12,52
2023-02-13,79
2023-02-14,89
2023-02-15,91
2023-02-16,89
2023-02-17,78
2023-02-18,52
2023-02-19,50
2023-02-20,67
2023-02-21,86
2023-02-22,86
2023-02-23,82
2023-02-24,80
2023-02-25,58
2023-02-26,54
2023-02-27,91
2023-02-28,87
2023-03-01,90
2023-03-02,87
2023-03-03,83
2023-03-04,52
2023-03-05,53
2023-03-06,87
2023-03-07,90
2023-03-08,86
2023-03-09,89
2023-03-10,81
2023-03-11,55
2023-03-12,51
2023-03-13,83
2023-03-14,84
2023-03-15,84
2023-03-16,86
2023-03-17,73
2023-03-18,50
2023-03-19,52
2023-03-20,87
2023-03-21,90
2023-03-22,87
2023-03-23,84
2023-03-24,78
2023-03-25,53
2023-03-26,54
2023-03-27,87
2023-03-28,85
2023-03-29,85
2023-03-30,81
2023-03-31,81
2023-04-01,55
2023-04-02,54
2023-04-03,85
2023-04-04,81
2023-04-05,84
2023-04-06,78
2023-04-07,71
2023-04-08,51
2023-04-09,48
2023-04-10,81
2023-04-11,87
2023-04-12,85
2023-04-13,83
2023-04-14,80
2023-04-15,55
2023-04-16,54
2023-04-17,92
2023-04-18,87
2023-04-19,88
2023-04-20,84
2023-04-21,76
2023-04-22,52
2023-04-23,53
2023-04-24,87
2023-04-25,88
2023-04-26,88
2023-04-27,81
2023-04-28,77
2023-04-29,55
2023-04-30,53
2023-05-01,90
2023-05-02,93
2023-05-03,86
2023-05-04,86
2023-05-05,79
2023-05-06,52
2023-05-07,53
2023-05-08,93
2023-05-09,86
2023-05-10,83
2023-05-11,83
2023-05-12,77
2023-05-13,51
2023-05-14,47
2023-05-15,80
2023-05-16,82
2023-05-17,78
2023-05-18,81
2023-05-19,74
2023-05-20,50
2023-05-21,46
2023-05-22,79
2023-05-23,78
2023-05-24,77
2023-05-25,75
