Time,connections
2023-12-22,44
2023-12-23,44
2023-12-24,50
2023-12-25,51
2023-12-26,50
2023-12-27,47
2023-12-28,43
2023-12-29,47
2023-12-30,49
2023-12-31,47
2024-01-01,38
2024-01-02,41
2024-01-03,46
2024-01-04,47
2024-01-05,48
2024-01-06,47
2024-01-07,48
2024-01-08,44
2024-01-09,46
2024-01-10,43
2024-01-11,41
2024-01-12,49
2024-01-13,48
2024-01-14,42
2024-01-15,44
2024-01-16,49
2024-01-17,60
2024-01-18,54
2024-01-19,51
2024-01-20,48
2024-01-21,47
2024-01-22,45
2024-01-23,54
2024-01-24,49
2024-01-25,55
2024-01-26,51
2024-01-27,51
2024-01-28,47
2024-01-29,54
2024-01-30,52
2024-01-31,53
2024-02-01,60
2024-02-02,49
2024-02-03,45
2024-02-04,52
2024-02-05,57
2024-02-06,58
2024-02-07,57
2024-02-08,66
2024-02-09,65
2024-02-10,59
2024-02-11,58
2024-02-12,59
2024-02-13,60
2024-02-14,67
2024-02-15,67
2024-02-16,66
2024-02-17,58
2024-02-18,50
2024-02-19,56
2024-02-20,66
2024-02-21,69
2024-02-22,68
2024-02-23,69
2024-02-24,54
2024-02-25,56
2024-02-26,56
2024-02-27,61
2024-02-28,64
2024-02-29,56
2024-03-01,58
2024-03-02,61
2024-03-03,61
2024-03-04,56
2024-03-05,73
2024-03-06,67
2024-03-07,67
2024-03-08,70
2024-03-09,62
2024-03-10,58
2024-03-11,60
2024-03-12,58
2024-03-13,66
2024-03-14,70
2024-03-15,68
2024-03-16,54
2024-03-17,51
2024-03-18,63
2024-03-19,76
2024-03-20,76
2024-03-21,72
2024-03-22,77
2024-03-23,57
2024-03-24,55
2024-03-25,66
2024-03-26,61
2024-03-27,70
2024-03-28,72
2024-03-29,68
2024-03-30,67
2024-03-31,61
2024-04-01,100
2024-04-02,74
2024-04-03,78
2024-04-04,63
2024-04-05,71
2024-04-06,63
2024-04-07,57
2024-04-08,66
2024-04-09,71
2024-04-10,73
2024-04-11,73
2024-04-12,66
2024-04-13,51
2024-04-14,53
2024-04-15,62
2024-04-16,68
2024-04-17,65
2024-04-18,65
2024-04-19,65
2024-04-20,60
2024-04-21,64
2024-04-22,61
2024-04-23,64
2024-04-24,73
2024-04-25,71
2024-04-26,63
2024-04-27,56
2024-04-28,53
2024-04-29,65
2024-04-30,57
2024-05-01,76
2024-05-02,76
2024-05-03,66
2024-05-04,58
2024-05-05,58
2024-05-06,65
2024-05-07,73
2024-05-08,66
2024-05-09,66
2024-05-10,68
2024-05-11,64
2024-05-12,62
2024-05-13,71
2024-05-14,63
2024-05-15,63
2024-05-16,66
2024-05-17,71
2024-05-18,65
2024-05-19,56
2024-05-20,56
2024-05-21,62
2024-05-22,58
2024-05-23,66
2024-05-24,66
2024-05-25,47
2024-05-26,46
2024-05-27,61
2024-05-28,61
2024-05-29,55
2024-05-30,52
2024-05-31,58
2024-06-01,51
2024-06-02,53
2024-06-03,56
2024-06-04,53
2024-06-05,56
2024-06-06,49
2024-06-07,44
2024-06-08,48
2024-06-09,50
2024-06-10,48
2024-06-11,48
2024-06-12,61
2024-06-13,56
2024-06-14,53
2024-06-15,55
2024-06-16,50
2024-06-17,51
2024-06-18,50
2024-06-19,50
2024-06-20,54
2024-06-21,48
2024-06-22,46
2024-06-23,55
2024-06-24,53
2024-06-25,48
2024-06-26,47
2024-06-27,49
2024-06-28,44
2024-06-29,37
2024-06-30,50
2024-07-01,51
2024-07-02,48
2024-07-03,48
2024-07-04,44
2024-07-05,59
2024-07-06,49
2024-07-07,53
2024-07-08,43
2024-07-09,52
2024-07-10,43
2024-07-11,42
2024-07-12,51
2024-07-13,43
2024-07-14,40
2024-07-15,38
2024-07-16,42
2024-07-17,45
2024-07-18,44
2024-07-19,36
2024-07-20,38
2024-07-21,43
2024-07-22,46
2024-07-23,46
2024-07-24,40
2024-07-25,44
2024-07-26,45
2024-07-27,44
2024-07-28,44
2024-07-29,45
2024-07-30,39
2024-07-31,40
2024-08-01,37
2024-08-02,48
2024-08-03,44
2024-08-04,41
2024-08-05,33
2024-08-06,36
2024-08-07,41
2024-08-08,34
2024-08-09,43
2024-08-10,46
2024-08-11,39
2024-08-12,38
2024-08-13,40
2024-08-14,40
2024-08-15,45
2024-08-16,36
2024-08-17,33
2024-08-18,40
2024-08-19,46
2024-08-20,47
2024-08-21,48
2024-08-22,47
2024-08-23,47
2024-08-24,41
2024-08-25,40
2024-08-26,40
2024-08-27,43
2024-08-28,47
2024-08-29,53
2024-08-30,46
2024-08-31,41
2024-09-01,44
2024-09-02,43
2024-09-03,47
2024-09-04,49
2024-09-05,46
2024-09-06,43
2024-09-07,36
2024-09-08,40
2024-09-09,44
2024-09-10,50
2024-09-11,46
2024-09-12,48
2024-09-13,51
2024-09-14,48
2024-09-15,35
2024-09-16,46
