Time,credit one
2022-01-01,54.0
2022-01-02,62.0
2022-01-03,85.0
2022-01-04,100.0
2022-01-05,85.0
2022-01-06,71.0
2022-01-07,82.0
2022-01-08,73.0
2022-01-09,57.0
2022-01-10,69.0
2022-01-11,75.0
2022-01-12,78.0
2022-01-13,90.0
2022-01-14,78.0
2022-01-15,68.0
2022-01-16,51.0
2022-01-17,62.0
2022-01-18,69.0
2022-01-19,68.0
2022-01-20,97.0
2022-01-21,82.0
2022-01-22,68.0
2022-01-23,54.0
2022-01-24,80.0
2022-01-25,66.0
2022-01-26,66.0
2022-01-27,73.0
2022-01-28,76.0
2022-01-29,69.0
2022-01-30,57.0
2022-01-31,71.0
2022-02-01,92.0
2022-02-02,82.0
2022-02-03,78.0
2022-02-04,92.0
2022-02-05,72.0
2022-02-06,65.0
2022-02-07,73.0
2022-02-08,73.0
2022-02-09,73.0
2022-02-10,67.0
2022-02-11,80.0
2022-02-12,75.0
2022-02-13,67.0
2022-02-14,75.0
2022-02-15,77.0
2022-02-16,89.0
2022-02-17,77.0
2022-02-18,81.0
2022-02-19,70.0
2022-02-20,63.0
2022-02-21,70.0
2022-02-22,75.0
2022-02-23,74.0
2022-02-24,78.0
2022-02-25,83.0
2022-02-26,71.0
2022-02-27,68.0
2022-02-28,82.0
2022-03-01,91.0
2022-03-02,88.0
2022-03-03,85.0
2022-03-04,85.0
2022-03-05,74.0
2022-03-06,70.0
2022-03-07,74.0
2022-03-08,85.0
2022-03-09,80.0
2022-03-10,84.0
2022-03-11,80.0
2022-03-12,73.0
2022-03-13,62.0
2022-03-14,73.0
2022-03-15,82.0
2022-03-16,83.0
2022-03-17,77.0
2022-03-18,83.0
2022-03-19,68.0
2022-03-20,64.0
2022-03-21,73.0
2022-03-22,75.0
2022-03-23,75.0
2022-03-24,71.0
2022-03-25,69.0
2022-03-26,64.0
2022-03-27,58.0
2022-03-28,64.0
2022-03-29,66.0
2022-03-30,69.0
2022-03-31,73.0
2022-04-01,89.0
2022-04-02,75.0
2022-04-03,66.0
2022-04-04,81.0
2022-04-05,79.0
2022-04-06,77.0
2022-04-07,75.0
2022-04-08,81.0
2022-04-09,71.0
2022-04-10,60.0
2022-04-11,72.0
2022-04-12,68.0
2022-04-13,71.0
2022-04-14,76.0
2022-04-15,85.0
2022-04-16,63.0
2022-04-17,56.0
2022-04-18,76.0
2022-04-19,75.0
2022-04-20,70.0
2022-04-21,72.0
2022-04-22,82.0
2022-04-23,69.0
2022-04-24,62.0
2022-04-25,70.0
2022-04-26,68.0
2022-04-27,71.0
2022-04-28,77.0
2022-04-29,81.0
2022-04-30,66.0
2022-05-01,60.0
2022-05-02,75.0
2022-05-03,82.0
2022-05-04,71.0
2022-05-05,72.0
2022-05-06,74.0
2022-05-07,71.0
2022-05-08,56.0
2022-05-09,73.0
2022-05-10,77.0
2022-05-11,73.0
2022-05-12,80.0
2022-05-13,80.0
2022-05-14,79.0
2022-05-15,62.0
2022-05-16,72.0
2022-05-17,77.0
2022-05-18,73.0
2022-05-19,73.0
2022-05-20,78.0
