Time,willow project
2023-04-26,94
2023-04-27,74
2023-04-28,93
2023-04-29,66
2023-04-30,50
2023-05-01,71
2023-05-02,78
2023-05-03,81
2023-05-04,84
2023-05-05,64
2023-05-06,46
2023-05-07,100
2023-05-08,69
2023-05-09,61
2023-05-10,61
2023-05-11,64
2023-05-12,53
2023-05-13,30
2023-05-14,43
2023-05-15,57
2023-05-16,54
2023-05-17,59
2023-05-18,52
2023-05-19,51
2023-05-20,34
2023-05-21,40
2023-05-22,57
2023-05-23,47
2023-05-24,48
2023-05-25,36
2023-05-26,36
2023-05-27,34
2023-05-28,28
2023-05-29,36
2023-05-30,42
2023-05-31,33
2023-06-01,30
2023-06-02,46
2023-06-03,21
2023-06-04,30
2023-06-05,21
2023-06-06,19
2023-06-07,37
2023-06-08,39
2023-06-09,32
2023-06-10,23
2023-06-11,22
2023-06-12,21
2023-06-13,16
2023-06-14,21
2023-06-15,15
2023-06-16,17
2023-06-17,16
2023-06-18,17
2023-06-19,13
2023-06-20,14
2023-06-21,15
2023-06-22,26
2023-06-23,11
2023-06-24,19
2023-06-25,20
2023-06-26,16
2023-06-27,12
2023-06-28,12
2023-06-29,11
2023-06-30,18
2023-07-01,11
2023-07-02,9
2023-07-03,11
2023-07-04,15
2023-07-05,15
2023-07-06,14
2023-07-07,18
2023-07-08,13
2023-07-09,0
2023-07-10,10
2023-07-11,8
2023-07-12,0
2023-07-13,12
2023-07-14,17
2023-07-15,0
2023-07-16,11
2023-07-17,0
2023-07-18,9
2023-07-19,0
2023-07-20,10
2023-07-21,14
2023-07-22,0
2023-07-23,0
2023-07-24,12
2023-07-25,15
2023-07-26,0
2023-07-27,16
2023-07-28,13
2023-07-29,0
2023-07-30,0
2023-07-31,0
2023-08-01,0
2023-08-02,28
2023-08-03,12
2023-08-04,0
2023-08-05,14
2023-08-06,11
2023-08-07,13
2023-08-08,9
2023-08-09,0
2023-08-10,14
2023-08-11,11
2023-08-12,0
2023-08-13,0
2023-08-14,0
2023-08-15,9
2023-08-16,10
2023-08-17,9
2023-08-18,11
2023-08-19,0
2023-08-20,0
2023-08-21,10
2023-08-22,9
2023-08-23,0
2023-08-24,17
2023-08-25,10
2023-08-26,13
2023-08-27,16
2023-08-28,13
2023-08-29,13
2023-08-30,9
2023-08-31,11
2023-09-01,0
2023-09-02,0
2023-09-03,0
2023-09-04,0
2023-09-05,8
2023-09-06,15
2023-09-07,38
2023-09-08,28
2023-09-09,16
2023-09-10,9
2023-09-11,20
2023-09-12,17
2023-09-13,13
2023-09-14,8
2023-09-15,11
2023-09-16,11
2023-09-17,0
2023-09-18,0
2023-09-19,15
2023-09-20,0
2023-09-21,20
2023-09-22,15
2023-09-23,0
2023-09-24,9
2023-09-25,23
2023-09-26,12
2023-09-27,14
2023-09-28,10
2023-09-29,15
2023-09-30,11
2023-10-01,0
2023-10-02,0
2023-10-03,0
2023-10-04,16
2023-10-05,18
2023-10-06,8
2023-10-07,0
2023-10-08,0
2023-10-09,10
2023-10-10,11
2023-10-11,10
2023-10-12,12
2023-10-13,0
2023-10-14,11
2023-10-15,0
2023-10-16,8
2023-10-17,12
2023-10-18,0
2023-10-19,8
2023-10-20,12
2023-10-21,16
2023-10-22,0
2023-10-23,10
2023-10-24,15
2023-10-25,10
2023-10-26,8
2023-10-27,11
2023-10-28,0
2023-10-29,10
2023-10-30,0
2023-10-31,0
2023-11-01,0
2023-11-02,0
2023-11-03,0
2023-11-04,13
2023-11-05,0
2023-11-06,8
2023-11-07,12
2023-11-08,7
2023-11-09,11
2023-11-10,15
2023-11-11,17
2023-11-12,10
2023-11-13,26
2023-11-14,18
2023-11-15,18
2023-11-16,11
2023-11-17,9
2023-11-18,12
2023-11-19,0
2023-11-20,13
2023-11-21,0
2023-11-22,0
2023-11-23,10
2023-11-24,0
2023-11-25,0
2023-11-26,0
2023-11-27,11
2023-11-28,10
2023-11-29,11
2023-11-30,8
2023-12-01,0
2023-12-02,0
2023-12-03,9
2023-12-04,12
2023-12-05,10
2023-12-06,8
2023-12-07,8
2023-12-08,0
2023-12-09,8
2023-12-10,13
2023-12-11,10
2023-12-12,10
2023-12-13,8
2023-12-14,8
2023-12-15,0
2023-12-16,0
2023-12-17,0
2023-12-18,0
2023-12-19,10
2023-12-20,0
2023-12-21,0
2023-12-22,0
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,9
2023-12-27,0
2023-12-28,0
2023-12-29,12
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,8
2024-01-03,0
2024-01-04,10
2024-01-05,10
2024-01-06,0
2024-01-07,0
2024-01-08,9
2024-01-09,0
2024-01-10,0
2024-01-11,0
2024-01-12,10
2024-01-13,0
2024-01-14,0
2024-01-15,0
2024-01-16,0
2024-01-17,0
2024-01-18,0
2024-01-19,14
2024-01-20,19
