Time,amazon prime
2022-08-29,57
2022-08-30,58
2022-08-31,57
2022-09-01,57
2022-09-02,58
2022-09-03,66
2022-09-04,65
2022-09-05,71
2022-09-06,59
2022-09-07,52
2022-09-08,55
2022-09-09,57
2022-09-10,62
2022-09-11,65
2022-09-12,55
2022-09-13,55
2022-09-14,56
2022-09-15,73
2022-09-16,89
2022-09-17,66
2022-09-18,65
2022-09-19,57
2022-09-20,56
2022-09-21,52
2022-09-22,62
2022-09-23,73
2022-09-24,60
2022-09-25,65
2022-09-26,56
2022-09-27,56
2022-09-28,55
2022-09-29,57
2022-09-30,78
2022-10-01,65
2022-10-02,66
2022-10-03,58
2022-10-04,61
2022-10-05,58
2022-10-06,58
2022-10-07,76
2022-10-08,68
2022-10-09,70
2022-10-10,69
2022-10-11,100
2022-10-12,93
2022-10-13,76
2022-10-14,74
2022-10-15,64
2022-10-16,65
2022-10-17,60
2022-10-18,59
2022-10-19,59
2022-10-20,63
2022-10-21,66
2022-10-22,63
2022-10-23,65
2022-10-24,59
2022-10-25,58
2022-10-26,57
2022-10-27,59
2022-10-28,66
2022-10-29,60
2022-10-30,62
2022-10-31,54
2022-11-01,57
2022-11-02,55
2022-11-03,60
2022-11-04,69
2022-11-05,61
2022-11-06,62
2022-11-07,54
2022-11-08,53
2022-11-09,50
2022-11-10,54
2022-11-11,66
2022-11-12,67
2022-11-13,73
2022-11-14,65
2022-11-15,59
2022-11-16,59
2022-11-17,63
2022-11-18,73
2022-11-19,68
2022-11-20,71
2022-11-21,65
2022-11-22,63
2022-11-23,63
2022-11-24,61
2022-11-25,87
2022-11-26,79
2022-11-27,81
2022-11-28,92
2022-11-29,73
2022-11-30,63
2022-12-01,65
2022-12-02,74
2022-12-03,75
2022-12-04,78
2022-12-05,69
2022-12-06,66
2022-12-07,74
2022-12-08,72
2022-12-09,76
2022-12-10,80
2022-12-11,86
2022-12-12,77
2022-12-13,73
2022-12-14,76
2022-12-15,73
2022-12-16,90
2022-12-17,85
2022-12-18,80
2022-12-19,78
2022-12-20,78
2022-12-21,74
2022-12-22,70
2022-12-23,75
2022-12-24,62
2022-12-25,68
2022-12-26,73
2022-12-27,70
2022-12-28,67
2022-12-29,68
2022-12-30,72
2022-12-31,62
2023-01-01,67
2023-01-02,69
2023-01-03,60
2023-01-04,58
2023-01-05,58
2023-01-06,58
2023-01-07,64
2023-01-08,65
2023-01-09,57
2023-01-10,55
2023-01-11,54
2023-01-12,54
2023-01-13,53
2023-01-14,63
2023-01-15,66
2023-01-16,61
2023-01-17,52
2023-01-18,53
2023-01-19,55
2023-01-20,54
2023-01-21,62
2023-01-22,64
2023-01-23,56
2023-01-24,58
2023-01-25,54
2023-01-26,55
2023-01-27,55
2023-01-28,63
2023-01-29,67
2023-01-30,57
2023-01-31,55
2023-02-01,54
2023-02-02,54
2023-02-03,55
2023-02-04,61
2023-02-05,68
2023-02-06,54
2023-02-07,55
2023-02-08,55
2023-02-09,53
2023-02-10,55
2023-02-11,62
2023-02-12,63
2023-02-13,49
2023-02-14,50
2023-02-15,51
2023-02-16,52
2023-02-17,55
2023-02-18,61
2023-02-19,62
2023-02-20,60
2023-02-21,53
2023-02-22,53
2023-02-23,55
2023-02-24,55
2023-02-25,66
2023-02-26,68
2023-02-27,57
2023-02-28,53
2023-03-01,55
2023-03-02,53
2023-03-03,56
2023-03-04,65
2023-03-05,65
2023-03-06,55
2023-03-07,53
2023-03-08,53
2023-03-09,54
2023-03-10,59
2023-03-11,63
2023-03-12,65
2023-03-13,55
2023-03-14,55
2023-03-15,53
2023-03-16,52
2023-03-17,57
2023-03-18,63
2023-03-19,69
2023-03-20,64
2023-03-21,55
2023-03-22,53
2023-03-23,55
2023-03-24,59
2023-03-25,65
2023-03-26,66
2023-03-27,57
2023-03-28,54
2023-03-29,54
2023-03-30,52
2023-03-31,56
2023-04-01,65
2023-04-02,63
2023-04-03,56
2023-04-04,56
2023-04-05,56
2023-04-06,55
2023-04-07,57
2023-04-08,64
2023-04-09,58
2023-04-10,57
2023-04-11,55
2023-04-12,55
2023-04-13,54
2023-04-14,56
2023-04-15,61
2023-04-16,68
2023-04-17,55
2023-04-18,53
2023-04-19,57
2023-04-20,55
2023-04-21,56
2023-04-22,68
2023-04-23,68
2023-04-24,56
2023-04-25,55
2023-04-26,57
2023-04-27,53
2023-04-28,54
2023-04-29,62
2023-04-30,67
2023-05-01,59
2023-05-02,57
2023-05-03,55
2023-05-04,55
2023-05-05,54
2023-05-06,61
2023-05-07,64
2023-05-08,57
2023-05-09,56
2023-05-10,56
2023-05-11,56
2023-05-12,58
2023-05-13,61
2023-05-14,62
2023-05-15,55
2023-05-16,55
2023-05-17,59
2023-05-18,58
2023-05-19,59
2023-05-20,61
2023-05-21,66
2023-05-22,58
2023-05-23,56
2023-05-24,59
2023-05-25,57
