Time,johnny depp amber heard
2025-12-11,44
2025-12-12,37
2025-12-13,42
2025-12-14,0
2025-12-15,34
2025-12-16,41
2025-12-17,30
2025-12-18,29
2025-12-19,0
2025-12-20,0
2025-12-21,0
2025-12-22,0
2025-12-23,66
2025-12-24,39
2025-12-25,34
2025-12-26,61
2025-12-27,51
2025-12-28,48
2025-12-29,49
2025-12-30,0
2025-12-31,39
2026-01-01,32
2026-01-02,46
2026-01-03,35
2026-01-04,0
2026-01-05,37
2026-01-06,43
2026-01-07,42
2026-01-08,48
2026-01-09,51
2026-01-10,39
2026-01-11,0
2026-01-12,39
2026-01-13,42
2026-01-14,34
2026-01-15,0
2026-01-16,33
2026-01-17,36
2026-01-18,30
2026-01-19,45
2026-01-20,0
2026-01-21,32
2026-01-22,38
2026-01-23,28
2026-01-24,45
2026-01-25,65
2026-01-26,56
2026-01-27,48
2026-01-28,36
2026-01-29,29
2026-01-30,33
2026-01-31,36
2026-02-01,30
2026-02-02,0
2026-02-03,25
2026-02-04,28
2026-02-05,54
2026-02-06,0
2026-02-07,41
2026-02-08,56
2026-02-09,38
2026-02-10,42
2026-02-11,32
2026-02-12,28
2026-02-13,30
2026-02-14,0
2026-02-15,35
2026-02-16,42
2026-02-17,47
2026-02-18,41
2026-02-19,81
2026-02-20,49
2026-02-21,73
2026-02-22,71
2026-02-23,74
2026-02-24,45
2026-02-25,26
2026-02-26,54
2026-02-27,54
2026-02-28,50
2026-03-01,53
2026-03-02,55
2026-03-03,37
2026-03-04,40
2026-03-05,55
2026-03-06,0
2026-03-07,0
2026-03-08,47
2026-03-09,40
2026-03-10,28
2026-03-11,42
2026-03-12,41
2026-03-13,36
2026-03-14,0
2026-03-15,0
2026-03-16,38
2026-03-17,36
2026-03-18,50
2026-03-19,0
2026-03-20,51
2026-03-21,37
2026-03-22,51
2026-03-23,0
2026-03-24,37
2026-03-25,37
2026-03-26,29
2026-03-27,38
2026-03-28,46
2026-03-29,63
2026-03-30,0
2026-03-31,100
2026-04-01,70
2026-04-02,64
2026-04-03,54
2026-04-04,60
2026-04-05,70
2026-04-06,37
2026-04-07,53
2026-04-08,75
2026-04-09,47
2026-04-10,39
2026-04-11,49
2026-04-12,46
2026-04-13,51
2026-04-14,35
2026-04-15,42
2026-04-16,48
2026-04-17,59
2026-04-18,59
2026-04-19,42
2026-04-20,39
2026-04-21,0
2026-04-22,60
2026-04-23,69
2026-04-24,70
2026-04-25,74
2026-04-26,55
2026-04-27,39
2026-04-28,51
2026-04-29,37
2026-04-30,79
2026-05-01,57
2026-05-02,55
2026-05-03,57
2026-05-04,40
2026-05-05,94
2026-05-06,80
2026-05-07,64
2026-05-08,53
2026-05-09,66
2026-05-10,59
2026-05-11,27
2026-05-12,36
2026-05-13,39
2026-05-14,41
2026-05-15,43
2026-05-16,42
2026-05-17,52
2026-05-18,54
2026-05-19,32
2026-05-20,57
2026-05-21,46
2026-05-22,0
2026-05-23,58
2026-05-24,0
2026-05-25,31
2026-05-26,0
2026-05-27,27
2026-05-28,49
2026-05-29,31
2026-05-30,54
2026-05-31,54
