Time,johnny depp amber heard
2023-12-22,59
2023-12-23,66
2023-12-24,83
2023-12-25,64
2023-12-26,48
2023-12-27,61
2023-12-28,74
2023-12-29,71
2023-12-30,89
2023-12-31,51
2024-01-01,66
2024-01-02,100
2024-01-03,78
2024-01-04,78
2024-01-05,82
2024-01-06,64
2024-01-07,66
2024-01-08,53
2024-01-09,40
2024-01-10,43
2024-01-11,40
2024-01-12,44
2024-01-13,65
2024-01-14,40
2024-01-15,63
2024-01-16,31
2024-01-17,35
2024-01-18,22
2024-01-19,34
2024-01-20,46
2024-01-21,58
2024-01-22,41
2024-01-23,35
2024-01-24,48
2024-01-25,55
2024-01-26,49
2024-01-27,49
2024-01-28,84
2024-01-29,39
2024-01-30,40
2024-01-31,53
2024-02-01,37
2024-02-02,39
2024-02-03,62
2024-02-04,31
2024-02-05,36
2024-02-06,33
2024-02-07,41
2024-02-08,36
2024-02-09,36
2024-02-10,46
2024-02-11,41
2024-02-12,34
2024-02-13,26
2024-02-14,41
2024-02-15,42
2024-02-16,40
2024-02-17,36
2024-02-18,63
2024-02-19,44
2024-02-20,29
2024-02-21,42
2024-02-22,39
2024-02-23,25
2024-02-24,27
2024-02-25,42
2024-02-26,31
2024-02-27,30
2024-02-28,38
2024-02-29,36
2024-03-01,48
2024-03-02,53
2024-03-03,80
2024-03-04,47
2024-03-05,40
2024-03-06,29
2024-03-07,46
2024-03-08,47
2024-03-09,49
2024-03-10,48
2024-03-11,38
2024-03-12,34
2024-03-13,32
2024-03-14,33
2024-03-15,52
2024-03-16,58
2024-03-17,46
2024-03-18,33
2024-03-19,37
2024-03-20,47
2024-03-21,46
2024-03-22,41
2024-03-23,38
2024-03-24,47
2024-03-25,29
2024-03-26,36
2024-03-27,33
2024-03-28,26
2024-03-29,38
2024-03-30,42
2024-03-31,42
2024-04-01,45
2024-04-02,41
2024-04-03,40
2024-04-04,41
2024-04-05,27
2024-04-06,45
2024-04-07,47
2024-04-08,25
2024-04-09,35
2024-04-10,0
2024-04-11,53
2024-04-12,27
2024-04-13,45
2024-04-14,44
2024-04-15,57
2024-04-16,48
2024-04-17,24
2024-04-18,36
2024-04-19,52
2024-04-20,46
2024-04-21,42
2024-04-22,36
2024-04-23,50
2024-04-24,53
2024-04-25,48
2024-04-26,52
2024-04-27,40
2024-04-28,55
2024-04-29,31
2024-04-30,37
2024-05-01,46
2024-05-02,46
2024-05-03,57
2024-05-04,44
2024-05-05,48
2024-05-06,55
2024-05-07,34
2024-05-08,51
2024-05-09,26
2024-05-10,32
2024-05-11,24
2024-05-12,38
2024-05-13,32
2024-05-14,33
2024-05-15,31
2024-05-16,25
2024-05-17,34
2024-05-18,38
2024-05-19,43
2024-05-20,30
2024-05-21,34
2024-05-22,27
2024-05-23,61
2024-05-24,29
2024-05-25,61
2024-05-26,38
2024-05-27,41
2024-05-28,30
2024-05-29,27
2024-05-30,33
2024-05-31,24
2024-06-01,52
2024-06-02,60
2024-06-03,30
2024-06-04,0
2024-06-05,23
2024-06-06,35
2024-06-07,34
2024-06-08,34
2024-06-09,64
2024-06-10,39
2024-06-11,0
2024-06-12,29
2024-06-13,34
2024-06-14,26
2024-06-15,34
2024-06-16,44
2024-06-17,31
2024-06-18,33
2024-06-19,0
2024-06-20,21
2024-06-21,24
2024-06-22,37
2024-06-23,31
2024-06-24,35
2024-06-25,34
2024-06-26,32
2024-06-27,35
2024-06-28,25
2024-06-29,65
2024-06-30,0
2024-07-01,43
2024-07-02,52
2024-07-03,57
2024-07-04,36
2024-07-05,41
2024-07-06,49
2024-07-07,49
2024-07-08,38
2024-07-09,42
2024-07-10,24
2024-07-11,39
2024-07-12,54
2024-07-13,50
2024-07-14,36
2024-07-15,46
2024-07-16,31
2024-07-17,24
2024-07-18,21
2024-07-19,29
2024-07-20,35
2024-07-21,0
2024-07-22,28
2024-07-23,23
2024-07-24,0
2024-07-25,26
2024-07-26,28
2024-07-27,36
2024-07-28,41
2024-07-29,29
2024-07-30,28
2024-07-31,25
2024-08-01,23
2024-08-02,29
2024-08-03,32
2024-08-04,34
2024-08-05,21
2024-08-06,0
2024-08-07,29
2024-08-08,24
2024-08-09,24
2024-08-10,27
2024-08-11,31
2024-08-12,32
2024-08-13,0
2024-08-14,28
2024-08-15,25
2024-08-16,34
2024-08-17,0
2024-08-18,28
2024-08-19,38
2024-08-20,22
2024-08-21,29
2024-08-22,0
2024-08-23,0
2024-08-24,27
2024-08-25,42
2024-08-26,20
2024-08-27,48
2024-08-28,22
2024-08-29,26
2024-08-30,44
2024-08-31,51
2024-09-01,61
2024-09-02,39
2024-09-03,24
2024-09-04,26
2024-09-05,40
2024-09-06,31
2024-09-07,46
2024-09-08,55
2024-09-09,0
2024-09-10,31
2024-09-11,27
2024-09-12,52
2024-09-13,20
2024-09-14,41
2024-09-15,38
2024-09-16,44
