Time,johnny depp amber heard
2022-08-29,45
2022-08-30,39
2022-08-31,42
2022-09-01,30
2022-09-02,33
2022-09-03,35
2022-09-04,66
2022-09-05,35
2022-09-06,31
2022-09-07,33
2022-09-08,37
2022-09-09,31
2022-09-10,29
2022-09-11,27
2022-09-12,35
2022-09-13,26
2022-09-14,29
2022-09-15,28
2022-09-16,39
2022-09-17,54
2022-09-18,28
2022-09-19,31
2022-09-20,40
2022-09-21,37
2022-09-22,56
2022-09-23,47
2022-09-24,39
2022-09-25,35
2022-09-26,42
2022-09-27,33
2022-09-28,41
2022-09-29,69
2022-09-30,83
2022-10-01,73
2022-10-02,61
2022-10-03,100
2022-10-04,44
2022-10-05,40
2022-10-06,39
2022-10-07,35
2022-10-08,37
2022-10-09,42
2022-10-10,46
2022-10-11,32
2022-10-12,35
2022-10-13,33
2022-10-14,40
2022-10-15,35
2022-10-16,41
2022-10-17,32
2022-10-18,32
2022-10-19,35
2022-10-20,33
2022-10-21,31
2022-10-22,18
2022-10-23,42
2022-10-24,31
2022-10-25,33
2022-10-26,44
2022-10-27,34
2022-10-28,34
2022-10-29,33
2022-10-30,32
2022-10-31,22
2022-11-01,29
2022-11-02,37
2022-11-03,27
2022-11-04,54
2022-11-05,51
2022-11-06,41
2022-11-07,34
2022-11-08,31
2022-11-09,34
2022-11-10,33
2022-11-11,35
2022-11-12,53
2022-11-13,39
2022-11-14,28
2022-11-15,33
2022-11-16,34
2022-11-17,27
2022-11-18,32
2022-11-19,33
2022-11-20,29
2022-11-21,27
2022-11-22,23
2022-11-23,27
2022-11-24,29
2022-11-25,22
2022-11-26,25
2022-11-27,25
2022-11-28,20
2022-11-29,26
2022-11-30,20
2022-12-01,18
2022-12-02,26
2022-12-03,26
2022-12-04,25
2022-12-05,68
2022-12-06,35
2022-12-07,31
2022-12-08,38
2022-12-09,19
2022-12-10,50
2022-12-11,67
2022-12-12,49
2022-12-13,58
2022-12-14,56
2022-12-15,34
2022-12-16,37
2022-12-17,33
2022-12-18,33
2022-12-19,92
2022-12-20,78
2022-12-21,60
2022-12-22,38
2022-12-23,91
2022-12-24,38
2022-12-25,27
2022-12-26,33
2022-12-27,41
2022-12-28,40
2022-12-29,47
2022-12-30,42
2022-12-31,39
2023-01-01,37
2023-01-02,29
2023-01-03,33
2023-01-04,25
2023-01-05,18
2023-01-06,24
2023-01-07,15
2023-01-08,22
2023-01-09,24
2023-01-10,29
2023-01-11,20
2023-01-12,28
2023-01-13,24
2023-01-14,15
2023-01-15,19
2023-01-16,22
2023-01-17,17
2023-01-18,20
2023-01-19,23
2023-01-20,22
2023-01-21,19
2023-01-22,27
2023-01-23,15
2023-01-24,19
2023-01-25,25
2023-01-26,20
2023-01-27,17
2023-01-28,26
2023-01-29,25
2023-01-30,18
2023-01-31,18
2023-02-01,20
2023-02-02,17
2023-02-03,21
2023-02-04,24
2023-02-05,28
2023-02-06,18
2023-02-07,20
2023-02-08,19
2023-02-09,19
2023-02-10,18
2023-02-11,22
2023-02-12,23
2023-02-13,24
2023-02-14,29
2023-02-15,19
2023-02-16,22
2023-02-17,16
2023-02-18,16
2023-02-19,26
2023-02-20,16
2023-02-21,21
2023-02-22,20
2023-02-23,23
2023-02-24,17
2023-02-25,24
2023-02-26,26
2023-02-27,14
2023-02-28,14
2023-03-01,29
2023-03-02,18
2023-03-03,21
2023-03-04,29
2023-03-05,18
2023-03-06,31
2023-03-07,18
2023-03-08,19
2023-03-09,17
2023-03-10,18
2023-03-11,23
2023-03-12,20
2023-03-13,21
2023-03-14,15
2023-03-15,18
2023-03-16,18
2023-03-17,13
2023-03-18,18
2023-03-19,22
2023-03-20,19
2023-03-21,26
2023-03-22,20
2023-03-23,21
2023-03-24,16
2023-03-25,19
2023-03-26,27
2023-03-27,22
2023-03-28,13
2023-03-29,20
2023-03-30,19
2023-03-31,21
2023-04-01,15
2023-04-02,18
2023-04-03,16
2023-04-04,14
2023-04-05,19
2023-04-06,17
2023-04-07,20
2023-04-08,14
2023-04-09,15
2023-04-10,18
2023-04-11,23
2023-04-12,12
2023-04-13,20
2023-04-14,21
2023-04-15,19
2023-04-16,32
2023-04-17,17
2023-04-18,22
2023-04-19,17
2023-04-20,17
2023-04-21,15
2023-04-22,23
2023-04-23,12
2023-04-24,24
2023-04-25,16
2023-04-26,21
2023-04-27,25
2023-04-28,14
2023-04-29,28
2023-04-30,22
2023-05-01,19
2023-05-02,18
2023-05-03,23
2023-05-04,22
2023-05-05,35
2023-05-06,25
2023-05-07,23
2023-05-08,22
2023-05-09,13
2023-05-10,17
2023-05-11,21
2023-05-12,26
2023-05-13,22
2023-05-14,18
2023-05-15,32
2023-05-16,24
2023-05-17,33
2023-05-18,37
2023-05-19,29
2023-05-20,16
2023-05-21,28
2023-05-22,23
2023-05-23,21
2023-05-24,21
2023-05-25,20
