Time,ai
2024-08-18,42
2024-08-19,50
2024-08-20,54
2024-08-21,57
2024-08-22,53
2024-08-23,53
2024-08-24,60
2024-08-25,48
2024-08-26,56
2024-08-27,56
2024-08-28,60
2024-08-29,56
2024-08-30,54
2024-08-31,59
2024-09-01,48
2024-09-02,49
2024-09-03,57
2024-09-04,59
2024-09-05,60
2024-09-06,52
2024-09-07,57
2024-09-08,46
2024-09-09,57
2024-09-10,65
2024-09-11,60
2024-09-12,64
2024-09-13,60
2024-09-14,62
2024-09-15,48
2024-09-16,60
2024-09-17,65
2024-09-18,62
2024-09-19,63
2024-09-20,58
2024-09-21,63
2024-09-22,52
2024-09-23,67
2024-09-24,66
2024-09-25,66
2024-09-26,66
2024-09-27,59
2024-09-28,64
2024-09-29,54
2024-09-30,63
2024-10-01,66
2024-10-02,64
2024-10-03,65
2024-10-04,62
2024-10-05,62
2024-10-06,54
2024-10-07,63
2024-10-08,70
2024-10-09,63
2024-10-10,64
2024-10-11,62
2024-10-12,60
2024-10-13,50
2024-10-14,63
2024-10-15,68
2024-10-16,64
2024-10-17,66
2024-10-18,64
2024-10-19,60
2024-10-20,55
2024-10-21,66
2024-10-22,68
2024-10-23,68
2024-10-24,76
2024-10-25,68
2024-10-26,65
2024-10-27,57
2024-10-28,71
2024-10-29,70
2024-10-30,73
2024-10-31,67
2024-11-01,63
2024-11-02,64
2024-11-03,61
2024-11-04,72
2024-11-05,68
2024-11-06,51
2024-11-07,68
2024-11-08,66
2024-11-09,71
2024-11-10,57
2024-11-11,77
2024-11-12,71
2024-11-13,76
2024-11-14,75
2024-11-15,70
2024-11-16,67
2024-11-17,56
2024-11-18,76
2024-11-19,76
2024-11-20,86
2024-11-21,80
2024-11-22,75
2024-11-23,67
2024-11-24,58
2024-11-25,68
2024-11-26,68
2024-11-27,61
2024-11-28,52
2024-11-29,50
2024-11-30,65
2024-12-01,57
2024-12-02,73
2024-12-03,75
2024-12-04,81
2024-12-05,80
2024-12-06,83
2024-12-07,75
2024-12-08,62
2024-12-09,79
2024-12-10,86
2024-12-11,87
2024-12-12,100
2024-12-13,74
2024-12-14,72
2024-12-15,60
2024-12-16,76
2024-12-17,75
2024-12-18,74
2024-12-19,74
2024-12-20,65
2024-12-21,68
2024-12-22,53
2024-12-23,49
2024-12-24,54
2024-12-25,50
2024-12-26,58
2024-12-27,54
2024-12-28,70
2024-12-29,50
2024-12-30,55
2024-12-31,54
2025-01-01,48
2025-01-02,60
2025-01-03,63
2025-01-04,71
2025-01-05,53
2025-01-06,66
2025-01-07,69
2025-01-08,66
2025-01-09,68
2025-01-10,76
2025-01-11,71
2025-01-12,55
2025-01-13,70
2025-01-14,74
2025-01-15,72
2025-01-16,74
2025-01-17,70
2025-01-18,66
2025-01-19,61
2025-01-20,62
2025-01-21,79
2025-01-22,90
2025-01-23,90
2025-01-24,81
2025-01-25,85
2025-01-26,67
2025-01-27,95
2025-01-28,100
2025-01-29,98
2025-01-30,87
2025-01-31,79
2025-02-01,82
2025-02-02,74
2025-02-03,82
2025-02-04,81
2025-02-05,84
2025-02-06,88
2025-02-07,80
2025-02-08,84
2025-02-09,65
2025-02-10,85
2025-02-11,88
2025-02-12,88
2025-02-13,90
2025-02-14,78
2025-02-15,81
2025-02-16,68
2025-02-17,78
2025-02-18,91
2025-02-19,90
2025-02-20,90
2025-02-21,84
2025-02-22,84
2025-02-23,72
2025-02-24,91
2025-02-25,93
2025-02-26,92
2025-02-27,94
2025-02-28,89
2025-03-01,85
2025-03-02,70
2025-03-03,87
2025-03-04,86
2025-03-05,88
2025-03-06,90
2025-03-07,90
2025-03-08,86
2025-03-09,68
2025-03-10,86
2025-03-11,82
2025-03-12,89
2025-03-13,85
2025-03-14,77
2025-03-15,83
2025-03-16,68
2025-03-17,81
2025-03-18,86
2025-03-19,87
2025-03-20,80
2025-03-21,81
2025-03-22,79
2025-03-23,67
2025-03-24,81
2025-03-25,86
2025-03-26,86
2025-03-27,87
2025-03-28,86
2025-03-29,86
2025-03-30,78
2025-03-31,92
2025-04-01,93
2025-04-02,91
2025-04-03,86
2025-04-04,80
2025-04-05,85
2025-04-06,70
2025-04-07,86
2025-04-08,92
2025-04-09,93
2025-04-10,89
2025-04-11,95
2025-04-12,92
2025-04-13,73
2025-04-14,87
2025-04-15,84
2025-04-16,95
2025-04-17,85
2025-04-18,78
2025-04-19,81
2025-04-20,67
2025-04-21,88
2025-04-22,93
2025-04-23,88
2025-04-24,89
2025-04-25,83
2025-04-26,91
2025-04-27,77
2025-04-28,97
2025-04-29,95
2025-04-30,95
2025-05-01,100
2025-05-02,84
2025-05-03,86
2025-05-04,79
2025-05-05,95
2025-05-06,93
2025-05-07,91
2025-05-08,91
2025-05-09,93
2025-05-10,83
2025-05-11,79
2025-05-12,89
2025-05-13,97
2025-05-14,90
