Time,ai
2023-12-22,51
2023-12-23,50
2023-12-24,48
2023-12-25,42
2023-12-26,47
2023-12-27,52
2023-12-28,52
2023-12-29,52
2023-12-30,47
2023-12-31,47
2024-01-01,49
2024-01-02,55
2024-01-03,59
2024-01-04,60
2024-01-05,57
2024-01-06,51
2024-01-07,51
2024-01-08,57
2024-01-09,61
2024-01-10,64
2024-01-11,65
2024-01-12,60
2024-01-13,50
2024-01-14,50
2024-01-15,55
2024-01-16,61
2024-01-17,67
2024-01-18,64
2024-01-19,62
2024-01-20,56
2024-01-21,54
2024-01-22,64
2024-01-23,66
2024-01-24,69
2024-01-25,82
2024-01-26,100
2024-01-27,87
2024-01-28,81
2024-01-29,80
2024-01-30,77
2024-01-31,73
2024-02-01,70
2024-02-02,66
2024-02-03,53
2024-02-04,55
2024-02-05,66
2024-02-06,69
2024-02-07,65
2024-02-08,70
2024-02-09,64
2024-02-10,57
2024-02-11,55
2024-02-12,65
2024-02-13,71
2024-02-14,71
2024-02-15,75
2024-02-16,79
2024-02-17,66
2024-02-18,64
2024-02-19,74
2024-02-20,79
2024-02-21,75
2024-02-22,84
2024-02-23,82
2024-02-24,65
2024-02-25,65
2024-02-26,79
2024-02-27,80
2024-02-28,81
2024-02-29,80
2024-03-01,75
2024-03-02,59
2024-03-03,61
2024-03-04,76
2024-03-05,74
2024-03-06,77
2024-03-07,74
2024-03-08,70
2024-03-09,56
2024-03-10,56
2024-03-11,68
2024-03-12,69
2024-03-13,73
2024-03-14,75
2024-03-15,68
2024-03-16,58
2024-03-17,60
2024-03-18,76
2024-03-19,80
2024-03-20,80
2024-03-21,75
2024-03-22,66
2024-03-23,59
2024-03-24,61
2024-03-25,73
2024-03-26,68
2024-03-27,74
2024-03-28,74
2024-03-29,64
2024-03-30,55
2024-03-31,57
2024-04-01,69
2024-04-02,72
2024-04-03,71
2024-04-04,71
2024-04-05,68
2024-04-06,54
2024-04-07,59
2024-04-08,64
2024-04-09,73
2024-04-10,81
2024-04-11,77
2024-04-12,86
2024-04-13,63
2024-04-14,64
2024-04-15,77
2024-04-16,77
2024-04-17,76
2024-04-18,84
2024-04-19,81
2024-04-20,65
2024-04-21,71
2024-04-22,80
2024-04-23,77
2024-04-24,82
2024-04-25,82
2024-04-26,74
2024-04-27,61
2024-04-28,68
2024-04-29,83
2024-04-30,78
2024-05-01,77
2024-05-02,77
2024-05-03,75
2024-05-04,59
2024-05-05,62
2024-05-06,74
2024-05-07,76
2024-05-08,76
2024-05-09,78
2024-05-10,70
2024-05-11,55
2024-05-12,56
2024-05-13,75
2024-05-14,78
2024-05-15,96
2024-05-16,81
2024-05-17,92
2024-05-18,75
2024-05-19,62
2024-05-20,73
2024-05-21,78
2024-05-22,81
2024-05-23,75
2024-05-24,75
2024-05-25,81
2024-05-26,63
2024-05-27,69
2024-05-28,87
2024-05-29,86
2024-05-30,83
2024-05-31,77
2024-06-01,83
2024-06-02,62
2024-06-03,74
2024-06-04,85
2024-06-05,80
2024-06-06,81
2024-06-07,73
2024-06-08,81
2024-06-09,69
2024-06-10,91
2024-06-11,87
2024-06-12,76
2024-06-13,74
2024-06-14,68
2024-06-15,79
2024-06-16,61
2024-06-17,77
2024-06-18,77
2024-06-19,68
2024-06-20,68
2024-06-21,66
2024-06-22,80
2024-06-23,63
2024-06-24,73
2024-06-25,71
2024-06-26,71
2024-06-27,71
2024-06-28,63
2024-06-29,77
2024-06-30,58
2024-07-01,68
2024-07-02,70
2024-07-03,64
2024-07-04,54
2024-07-05,54
2024-07-06,74
2024-07-07,57
2024-07-08,64
2024-07-09,68
2024-07-10,75
2024-07-11,67
2024-07-12,66
2024-07-13,73
2024-07-14,53
2024-07-15,63
2024-07-16,65
2024-07-17,68
2024-07-18,67
2024-07-19,61
2024-07-20,81
2024-07-21,59
2024-07-22,65
2024-07-23,69
2024-07-24,72
2024-07-25,69
2024-07-26,63
2024-07-27,77
2024-07-28,53
2024-07-29,64
2024-07-30,69
2024-07-31,66
2024-08-01,71
2024-08-02,64
2024-08-03,74
2024-08-04,57
2024-08-05,64
2024-08-06,69
2024-08-07,71
2024-08-08,83
2024-08-09,64
2024-08-10,74
2024-08-11,63
2024-08-12,71
2024-08-13,71
2024-08-14,73
2024-08-15,76
2024-08-16,73
2024-08-17,82
2024-08-18,60
2024-08-19,71
2024-08-20,77
2024-08-21,81
2024-08-22,76
2024-08-23,75
2024-08-24,85
2024-08-25,69
2024-08-26,79
2024-08-27,79
2024-08-28,85
2024-08-29,80
2024-08-30,76
2024-08-31,83
2024-09-01,68
2024-09-02,70
2024-09-03,81
2024-09-04,83
2024-09-05,84
2024-09-06,74
2024-09-07,81
2024-09-08,66
2024-09-09,80
2024-09-10,92
2024-09-11,85
2024-09-12,91
2024-09-13,85
2024-09-14,89
2024-09-15,68
2024-09-16,85
