Time,fashion nova
2023-04-26,56
2023-04-27,50
2023-04-28,47
2023-04-29,53
2023-04-30,57
2023-05-01,54
2023-05-02,55
2023-05-03,52
2023-05-04,51
2023-05-05,48
2023-05-06,50
2023-05-07,61
2023-05-08,56
2023-05-09,55
2023-05-10,56
2023-05-11,53
2023-05-12,50
2023-05-13,52
2023-05-14,48
2023-05-15,52
2023-05-16,64
2023-05-17,62
2023-05-18,61
2023-05-19,55
2023-05-20,51
2023-05-21,53
2023-05-22,47
2023-05-23,49
2023-05-24,50
2023-05-25,50
2023-05-26,48
2023-05-27,46
2023-05-28,50
2023-05-29,51
2023-05-30,50
2023-05-31,50
2023-06-01,51
2023-06-02,45
2023-06-03,45
2023-06-04,52
2023-06-05,46
2023-06-06,49
2023-06-07,50
2023-06-08,46
2023-06-09,44
2023-06-10,46
2023-06-11,48
2023-06-12,48
2023-06-13,48
2023-06-14,45
2023-06-15,47
2023-06-16,44
2023-06-17,41
2023-06-18,41
2023-06-19,47
2023-06-20,49
2023-06-21,45
2023-06-22,45
2023-06-23,45
2023-06-24,45
2023-06-25,50
2023-06-26,45
2023-06-27,48
2023-06-28,51
2023-06-29,47
2023-06-30,44
2023-07-01,44
2023-07-02,46
2023-07-03,48
2023-07-04,45
2023-07-05,42
2023-07-06,48
2023-07-07,48
2023-07-08,48
2023-07-09,50
2023-07-10,46
2023-07-11,47
2023-07-12,45
2023-07-13,50
2023-07-14,47
2023-07-15,45
2023-07-16,48
2023-07-17,46
2023-07-18,49
2023-07-19,46
2023-07-20,46
2023-07-21,46
2023-07-22,42
2023-07-23,46
2023-07-24,46
2023-07-25,45
2023-07-26,45
2023-07-27,44
2023-07-28,44
2023-07-29,43
2023-07-30,46
2023-07-31,45
2023-08-01,44
2023-08-02,47
2023-08-03,49
2023-08-04,46
2023-08-05,44
2023-08-06,45
2023-08-07,47
2023-08-08,47
2023-08-09,49
2023-08-10,46
2023-08-11,49
2023-08-12,43
2023-08-13,48
2023-08-14,45
2023-08-15,49
2023-08-16,48
2023-08-17,47
2023-08-18,42
2023-08-19,41
2023-08-20,47
2023-08-21,46
2023-08-22,44
2023-08-23,46
2023-08-24,43
2023-08-25,41
2023-08-26,42
2023-08-27,45
2023-08-28,42
2023-08-29,46
2023-08-30,47
2023-08-31,48
2023-09-01,42
2023-09-02,41
2023-09-03,46
2023-09-04,56
2023-09-05,51
2023-09-06,50
2023-09-07,49
2023-09-08,43
2023-09-09,45
2023-09-10,49
2023-09-11,47
2023-09-12,47
2023-09-13,51
2023-09-14,46
2023-09-15,46
2023-09-16,50
2023-09-17,50
2023-09-18,49
2023-09-19,51
2023-09-20,50
2023-09-21,51
2023-09-22,46
2023-09-23,56
2023-09-24,54
2023-09-25,51
2023-09-26,52
2023-09-27,52
2023-09-28,52
2023-09-29,48
2023-09-30,51
2023-10-01,59
2023-10-02,54
2023-10-03,56
2023-10-04,57
2023-10-05,56
2023-10-06,51
2023-10-07,58
2023-10-08,66
2023-10-09,60
2023-10-10,62
2023-10-11,59
2023-10-12,62
2023-10-13,59
2023-10-14,61
2023-10-15,67
2023-10-16,64
2023-10-17,64
2023-10-18,65
2023-10-19,67
2023-10-20,59
2023-10-21,56
2023-10-22,64
2023-10-23,66
2023-10-24,61
2023-10-25,63
2023-10-26,56
2023-10-27,49
2023-10-28,48
2023-10-29,45
2023-10-30,44
2023-10-31,46
2023-11-01,46
2023-11-02,50
2023-11-03,49
2023-11-04,48
2023-11-05,55
2023-11-06,51
2023-11-07,54
2023-11-08,52
2023-11-09,53
2023-11-10,52
2023-11-11,53
2023-11-12,57
2023-11-13,55
2023-11-14,54
2023-11-15,54
2023-11-16,54
2023-11-17,53
2023-11-18,54
2023-11-19,67
2023-11-20,63
2023-11-21,63
2023-11-22,72
2023-11-23,69
2023-11-24,100
2023-11-25,91
2023-11-26,80
2023-11-27,73
2023-11-28,69
2023-11-29,56
2023-11-30,53
2023-12-01,49
2023-12-02,52
2023-12-03,52
2023-12-04,49
2023-12-05,52
2023-12-06,51
2023-12-07,51
2023-12-08,47
2023-12-09,56
2023-12-10,58
2023-12-11,49
2023-12-12,50
2023-12-13,48
2023-12-14,48
2023-12-15,44
2023-12-16,47
2023-12-17,48
2023-12-18,45
2023-12-19,52
2023-12-20,47
2023-12-21,48
2023-12-22,42
2023-12-23,40
2023-12-24,36
2023-12-25,41
2023-12-26,49
2023-12-27,53
2023-12-28,50
2023-12-29,44
2023-12-30,40
2023-12-31,37
2024-01-01,35
2024-01-02,41
2024-01-03,43
2024-01-04,43
2024-01-05,45
2024-01-06,51
2024-01-07,52
2024-01-08,43
2024-01-09,43
2024-01-10,46
2024-01-11,46
2024-01-12,47
2024-01-13,52
2024-01-14,55
2024-01-15,47
2024-01-16,45
2024-01-17,45
2024-01-18,47
2024-01-19,46
2024-01-20,53
