Time,fashion nova
2022-08-29,53
2022-08-30,54
2022-08-31,56
2022-09-01,51
2022-09-02,48
2022-09-03,50
2022-09-04,54
2022-09-05,70
2022-09-06,62
2022-09-07,53
2022-09-08,48
2022-09-09,50
2022-09-10,54
2022-09-11,58
2022-09-12,56
2022-09-13,57
2022-09-14,60
2022-09-15,58
2022-09-16,58
2022-09-17,55
2022-09-18,61
2022-09-19,61
2022-09-20,65
2022-09-21,61
2022-09-22,63
2022-09-23,63
2022-09-24,67
2022-09-25,72
2022-09-26,67
2022-09-27,74
2022-09-28,64
2022-09-29,73
2022-09-30,71
2022-10-01,70
2022-10-02,78
2022-10-03,76
2022-10-04,75
2022-10-05,72
2022-10-06,73
2022-10-07,70
2022-10-08,77
2022-10-09,83
2022-10-10,78
2022-10-11,79
2022-10-12,75
2022-10-13,76
2022-10-14,73
2022-10-15,76
2022-10-16,81
2022-10-17,75
2022-10-18,78
2022-10-19,78
2022-10-20,75
2022-10-21,74
2022-10-22,75
2022-10-23,76
2022-10-24,67
2022-10-25,65
2022-10-26,68
2022-10-27,63
2022-10-28,55
2022-10-29,55
2022-10-30,54
2022-10-31,49
2022-11-01,47
2022-11-02,51
2022-11-03,51
2022-11-04,50
2022-11-05,51
2022-11-06,59
2022-11-07,56
2022-11-08,56
2022-11-09,55
2022-11-10,57
2022-11-11,57
2022-11-12,57
2022-11-13,65
2022-11-14,62
2022-11-15,66
2022-11-16,60
2022-11-17,62
2022-11-18,59
2022-11-19,62
2022-11-20,73
2022-11-21,75
2022-11-22,68
2022-11-23,65
2022-11-24,65
2022-11-25,100
2022-11-26,89
2022-11-27,87
2022-11-28,84
2022-11-29,78
2022-11-30,66
2022-12-01,66
2022-12-02,65
2022-12-03,66
2022-12-04,68
2022-12-05,69
2022-12-06,64
2022-12-07,68
2022-12-08,66
2022-12-09,60
2022-12-10,62
2022-12-11,68
2022-12-12,63
2022-12-13,61
2022-12-14,61
2022-12-15,70
2022-12-16,62
2022-12-17,64
2022-12-18,67
2022-12-19,64
2022-12-20,65
2022-12-21,62
2022-12-22,56
2022-12-23,51
2022-12-24,47
2022-12-25,55
2022-12-26,70
2022-12-27,76
2022-12-28,70
2022-12-29,66
2022-12-30,58
2022-12-31,50
2023-01-01,46
2023-01-02,59
2023-01-03,53
2023-01-04,54
2023-01-05,52
2023-01-06,58
2023-01-07,60
2023-01-08,62
2023-01-09,58
2023-01-10,58
2023-01-11,58
2023-01-12,56
2023-01-13,54
2023-01-14,58
2023-01-15,61
2023-01-16,63
2023-01-17,58
2023-01-18,54
2023-01-19,55
2023-01-20,55
2023-01-21,57
2023-01-22,63
2023-01-23,63
2023-01-24,58
2023-01-25,62
2023-01-26,59
2023-01-27,54
2023-01-28,57
2023-01-29,63
2023-01-30,56
2023-01-31,58
2023-02-01,57
2023-02-02,58
2023-02-03,56
2023-02-04,60
2023-02-05,64
2023-02-06,58
2023-02-07,56
2023-02-08,54
2023-02-09,53
2023-02-10,51
2023-02-11,51
2023-02-12,65
2023-02-13,57
2023-02-14,54
2023-02-15,55
2023-02-16,62
2023-02-17,57
2023-02-18,62
2023-02-19,66
2023-02-20,67
2023-02-21,69
2023-02-22,61
2023-02-23,64
2023-02-24,62
2023-02-25,64
2023-02-26,69
2023-02-27,63
2023-02-28,57
2023-03-01,58
2023-03-02,57
2023-03-03,55
2023-03-04,57
2023-03-05,62
2023-03-06,61
2023-03-07,67
2023-03-08,63
2023-03-09,66
2023-03-10,61
2023-03-11,61
2023-03-12,71
2023-03-13,63
2023-03-14,64
2023-03-15,64
2023-03-16,66
2023-03-17,59
2023-03-18,61
2023-03-19,70
2023-03-20,64
2023-03-21,62
2023-03-22,61
2023-03-23,59
2023-03-24,52
2023-03-25,56
2023-03-26,60
2023-03-27,54
2023-03-28,55
2023-03-29,57
2023-03-30,50
2023-03-31,51
2023-04-01,53
2023-04-02,59
2023-04-03,56
2023-04-04,56
2023-04-05,55
2023-04-06,57
2023-04-07,53
2023-04-08,55
2023-04-09,54
2023-04-10,52
2023-04-11,56
2023-04-12,57
2023-04-13,55
2023-04-14,56
2023-04-15,56
2023-04-16,64
2023-04-17,59
2023-04-18,59
2023-04-19,60
2023-04-20,58
2023-04-21,57
2023-04-22,59
2023-04-23,57
2023-04-24,54
2023-04-25,56
2023-04-26,63
2023-04-27,56
2023-04-28,53
2023-04-29,60
2023-04-30,64
2023-05-01,61
2023-05-02,63
2023-05-03,59
2023-05-04,58
2023-05-05,54
2023-05-06,56
2023-05-07,69
2023-05-08,64
2023-05-09,62
2023-05-10,64
2023-05-11,60
2023-05-12,56
2023-05-13,58
2023-05-14,55
2023-05-15,59
2023-05-16,72
2023-05-17,70
2023-05-18,69
2023-05-19,62
2023-05-20,58
2023-05-21,60
2023-05-22,54
2023-05-23,55
2023-05-24,57
2023-05-25,56
