Time,ixl
2025-04-15,64
2025-04-16,66
2025-04-17,59
2025-04-18,23
2025-04-19,6
2025-04-20,7
2025-04-21,53
2025-04-22,65
2025-04-23,66
2025-04-24,63
2025-04-25,59
2025-04-26,8
2025-04-27,9
2025-04-28,73
2025-04-29,69
2025-04-30,65
2025-05-01,69
2025-05-02,61
2025-05-03,8
2025-05-04,10
2025-05-05,65
2025-05-06,63
2025-05-07,62
2025-05-08,61
2025-05-09,52
2025-05-10,7
2025-05-11,7
2025-05-12,64
2025-05-13,58
2025-05-14,54
2025-05-15,57
2025-05-16,45
2025-05-17,7
2025-05-18,7
2025-05-19,50
2025-05-20,48
2025-05-21,42
2025-05-22,39
2025-05-23,27
2025-05-24,5
2025-05-25,6
2025-05-26,8
2025-05-27,35
2025-05-28,33
2025-05-29,31
2025-05-30,24
2025-05-31,6
2025-06-01,7
2025-06-02,27
2025-06-03,27
2025-06-04,24
2025-06-05,20
2025-06-06,14
2025-06-07,5
2025-06-08,6
2025-06-09,19
2025-06-10,19
2025-06-11,17
2025-06-12,14
2025-06-13,12
2025-06-14,5
2025-06-15,4
2025-06-16,14
2025-06-17,14
2025-06-18,12
2025-06-19,9
2025-06-20,8
2025-06-21,5
2025-06-22,5
2025-06-23,10
2025-06-24,11
2025-06-25,10
2025-06-26,10
2025-06-27,7
2025-06-28,4
2025-06-29,5
2025-06-30,9
2025-07-01,9
2025-07-02,10
2025-07-03,8
2025-07-04,5
2025-07-05,5
2025-07-06,4
2025-07-07,10
2025-07-08,10
2025-07-09,9
2025-07-10,9
2025-07-11,7
2025-07-12,4
2025-07-13,5
2025-07-14,10
2025-07-15,10
2025-07-16,9
2025-07-17,9
2025-07-18,7
2025-07-19,4
2025-07-20,5
2025-07-21,9
2025-07-22,9
2025-07-23,9
2025-07-24,9
2025-07-25,6
2025-07-26,4
2025-07-27,5
2025-07-28,10
2025-07-29,10
2025-07-30,10
2025-07-31,10
2025-08-01,9
2025-08-02,5
2025-08-03,5
2025-08-04,12
2025-08-05,14
2025-08-06,16
2025-08-07,18
2025-08-08,18
2025-08-09,5
2025-08-10,6
2025-08-11,23
2025-08-12,31
2025-08-13,36
2025-08-14,44
2025-08-15,45
2025-08-16,8
2025-08-17,8
2025-08-18,52
2025-08-19,55
2025-08-20,60
2025-08-21,63
2025-08-22,66
2025-08-23,9
2025-08-24,10
2025-08-25,68
2025-08-26,72
2025-08-27,77
2025-08-28,80
2025-08-29,67
2025-08-30,8
2025-08-31,9
2025-09-01,13
2025-09-02,76
2025-09-03,84
2025-09-04,93
2025-09-05,83
2025-09-06,10
2025-09-07,12
2025-09-08,85
2025-09-09,97
2025-09-10,85
2025-09-11,86
2025-09-12,80
2025-09-13,11
2025-09-14,13
2025-09-15,85
2025-09-16,80
2025-09-17,86
2025-09-18,85
2025-09-19,74
2025-09-20,10
2025-09-21,11
2025-09-22,76
2025-09-23,79
2025-09-24,78
2025-09-25,83
2025-09-26,70
2025-09-27,10
2025-09-28,13
2025-09-29,76
2025-09-30,82
2025-10-01,79
2025-10-02,69
2025-10-03,72
2025-10-04,10
2025-10-05,12
2025-10-06,71
2025-10-07,72
2025-10-08,72
2025-10-09,73
2025-10-10,56
2025-10-11,9
2025-10-12,10
2025-10-13,45
2025-10-14,70
2025-10-15,100
2025-10-16,76
2025-10-17,59
2025-10-18,9
2025-10-19,12
2025-10-20,90
2025-10-21,75
2025-10-22,77
2025-10-23,78
2025-10-24,68
2025-10-25,10
2025-10-26,11
2025-10-27,68
2025-10-28,72
2025-10-29,77
2025-10-30,72
2025-10-31,50
2025-11-01,9
2025-11-02,11
2025-11-03,70
2025-11-04,66
2025-11-05,67
2025-11-06,74
2025-11-07,66
2025-11-08,10
2025-11-09,10
2025-11-10,63
2025-11-11,54
2025-11-12,72
2025-11-13,78
2025-11-14,69
2025-11-15,11
2025-11-16,12
2025-11-17,68
2025-11-18,76
2025-11-19,73
2025-11-20,69
2025-11-21,62
2025-11-22,10
2025-11-23,8
2025-11-24,39
2025-11-25,34
2025-11-26,13
2025-11-27,7
2025-11-28,6
2025-11-29,7
2025-11-30,9
2025-12-01,61
2025-12-02,65
2025-12-03,65
2025-12-04,67
2025-12-05,61
2025-12-06,10
2025-12-07,10
2025-12-08,63
2025-12-09,73
2025-12-10,62
2025-12-11,66
2025-12-12,59
2025-12-13,9
2025-12-14,9
2025-12-15,58
2025-12-16,60
2025-12-17,54
2025-12-18,47
2025-12-19,25
2025-12-20,6
2025-12-21,6
2025-12-22,12
2025-12-23,7
2025-12-24,5
2025-12-25,4
2025-12-26,5
2025-12-27,5
2025-12-28,5
2025-12-29,6
2025-12-30,6
2025-12-31,5
2026-01-01,4
2026-01-02,7
2026-01-03,5
2026-01-04,6
2026-01-05,40
2026-01-06,61
2026-01-07,68
2026-01-08,70
2026-01-09,72
