Time,roblox
2022-08-29,42
2022-08-30,39
2022-08-31,37
2022-09-01,38
2022-09-02,43
2022-09-03,61
2022-09-04,59
2022-09-05,59
2022-09-06,39
2022-09-07,35
2022-09-08,33
2022-09-09,33
2022-09-10,54
2022-09-11,57
2022-09-12,37
2022-09-13,37
2022-09-14,36
2022-09-15,37
2022-09-16,37
2022-09-17,53
2022-09-18,53
2022-09-19,35
2022-09-20,33
2022-09-21,34
2022-09-22,44
2022-09-23,37
2022-09-24,51
2022-09-25,53
2022-09-26,38
2022-09-27,36
2022-09-28,38
2022-09-29,36
2022-09-30,39
2022-10-01,54
2022-10-02,52
2022-10-03,39
2022-10-04,38
2022-10-05,38
2022-10-06,37
2022-10-07,44
2022-10-08,53
2022-10-09,54
2022-10-10,46
2022-10-11,36
2022-10-12,35
2022-10-13,38
2022-10-14,40
2022-10-15,52
2022-10-16,54
2022-10-17,39
2022-10-18,37
2022-10-19,37
2022-10-20,37
2022-10-21,39
2022-10-22,51
2022-10-23,54
2022-10-24,39
2022-10-25,34
2022-10-26,32
2022-10-27,35
2022-10-28,37
2022-10-29,48
2022-10-30,49
2022-10-31,32
2022-11-01,31
2022-11-02,33
2022-11-03,32
2022-11-04,36
2022-11-05,62
2022-11-06,49
2022-11-07,34
2022-11-08,39
2022-11-09,33
2022-11-10,35
2022-11-11,42
2022-11-12,53
2022-11-13,51
2022-11-14,34
2022-11-15,33
2022-11-16,34
2022-11-17,35
2022-11-18,39
2022-11-19,50
2022-11-20,50
2022-11-21,40
2022-11-22,43
2022-11-23,49
2022-11-24,50
2022-11-25,50
2022-11-26,51
2022-11-27,50
2022-11-28,34
2022-11-29,34
2022-11-30,34
2022-12-01,34
2022-12-02,36
2022-12-03,50
2022-12-04,50
2022-12-05,33
2022-12-06,34
2022-12-07,37
2022-12-08,35
2022-12-09,37
2022-12-10,53
2022-12-11,52
2022-12-12,36
2022-12-13,37
2022-12-14,37
2022-12-15,40
2022-12-16,40
2022-12-17,51
2022-12-18,52
2022-12-19,43
2022-12-20,44
2022-12-21,48
2022-12-22,50
2022-12-23,53
2022-12-24,60
2022-12-25,100
2022-12-26,75
2022-12-27,61
2022-12-28,57
2022-12-29,54
2022-12-30,54
2022-12-31,58
2023-01-01,55
2023-01-02,59
2023-01-03,44
2023-01-04,40
2023-01-05,40
2023-01-06,42
2023-01-07,53
2023-01-08,55
2023-01-09,38
2023-01-10,36
2023-01-11,37
2023-01-12,35
2023-01-13,40
2023-01-14,53
2023-01-15,54
2023-01-16,54
2023-01-17,38
2023-01-18,38
2023-01-19,35
2023-01-20,39
2023-01-21,57
2023-01-22,53
2023-01-23,42
2023-01-24,38
2023-01-25,37
2023-01-26,37
2023-01-27,40
2023-01-28,68
2023-01-29,53
2023-01-30,41
2023-01-31,41
2023-02-01,40
2023-02-02,41
2023-02-03,42
2023-02-04,69
2023-02-05,58
2023-02-06,38
2023-02-07,36
2023-02-08,35
2023-02-09,36
2023-02-10,39
2023-02-11,54
2023-02-12,54
2023-02-13,34
2023-02-14,35
2023-02-15,37
2023-02-16,37
2023-02-17,43
2023-02-18,54
2023-02-19,55
2023-02-20,52
2023-02-21,39
2023-02-22,41
2023-02-23,39
2023-02-24,43
2023-02-25,56
2023-02-26,57
2023-02-27,38
2023-02-28,35
2023-03-01,35
2023-03-02,35
2023-03-03,40
2023-03-04,54
2023-03-05,54
2023-03-06,36
2023-03-07,35
2023-03-08,36
2023-03-09,36
2023-03-10,39
2023-03-11,53
2023-03-12,55
2023-03-13,40
2023-03-14,40
2023-03-15,37
2023-03-16,39
2023-03-17,40
2023-03-18,52
2023-03-19,55
2023-03-20,40
2023-03-21,39
2023-03-22,38
2023-03-23,37
2023-03-24,39
2023-03-25,51
2023-03-26,53
2023-03-27,37
2023-03-28,37
2023-03-29,35
2023-03-30,37
2023-03-31,37
2023-04-01,51
2023-04-02,51
2023-04-03,40
2023-04-04,37
2023-04-05,37
2023-04-06,41
2023-04-07,48
2023-04-08,54
2023-04-09,58
2023-04-10,46
2023-04-11,39
2023-04-12,39
2023-04-13,37
2023-04-14,38
2023-04-15,52
2023-04-16,53
2023-04-17,35
2023-04-18,32
2023-04-19,35
2023-04-20,32
2023-04-21,37
2023-04-22,49
2023-04-23,53
2023-04-24,35
2023-04-25,33
2023-04-26,32
2023-04-27,32
2023-04-28,35
2023-04-29,47
2023-04-30,51
2023-05-01,34
2023-05-02,33
2023-05-03,32
2023-05-04,35
2023-05-05,33
2023-05-06,48
2023-05-07,49
2023-05-08,32
2023-05-09,31
2023-05-10,31
2023-05-11,31
2023-05-12,33
2023-05-13,46
2023-05-14,48
2023-05-15,34
2023-05-16,32
2023-05-17,33
2023-05-18,32
2023-05-19,34
2023-05-20,49
2023-05-21,49
2023-05-22,34
2023-05-23,32
2023-05-24,33
2023-05-25,34
