Time,roblox
2023-04-26,34
2023-04-27,33
2023-04-28,37
2023-04-29,50
2023-04-30,54
2023-05-01,36
2023-05-02,35
2023-05-03,34
2023-05-04,37
2023-05-05,35
2023-05-06,51
2023-05-07,52
2023-05-08,34
2023-05-09,33
2023-05-10,32
2023-05-11,33
2023-05-12,35
2023-05-13,48
2023-05-14,50
2023-05-15,36
2023-05-16,34
2023-05-17,35
2023-05-18,33
2023-05-19,36
2023-05-20,52
2023-05-21,52
2023-05-22,36
2023-05-23,34
2023-05-24,35
2023-05-25,36
2023-05-26,42
2023-05-27,50
2023-05-28,48
2023-05-29,50
2023-05-30,40
2023-05-31,43
2023-06-01,41
2023-06-02,45
2023-06-03,51
2023-06-04,54
2023-06-05,44
2023-06-06,45
2023-06-07,43
2023-06-08,46
2023-06-09,45
2023-06-10,52
2023-06-11,49
2023-06-12,46
2023-06-13,46
2023-06-14,47
2023-06-15,49
2023-06-16,50
2023-06-17,52
2023-06-18,51
2023-06-19,51
2023-06-20,50
2023-06-21,49
2023-06-22,49
2023-06-23,51
2023-06-24,55
2023-06-25,55
2023-06-26,52
2023-06-27,50
2023-06-28,50
2023-06-29,49
2023-06-30,49
2023-07-01,51
2023-07-02,52
2023-07-03,50
2023-07-04,50
2023-07-05,48
2023-07-06,51
2023-07-07,52
2023-07-08,57
2023-07-09,56
2023-07-10,48
2023-07-11,51
2023-07-12,52
2023-07-13,53
2023-07-14,51
2023-07-15,55
2023-07-16,55
2023-07-17,50
2023-07-18,50
2023-07-19,51
2023-07-20,66
2023-07-21,52
2023-07-22,53
2023-07-23,57
2023-07-24,54
2023-07-25,52
2023-07-26,58
2023-07-27,52
2023-07-28,55
2023-07-29,58
2023-07-30,56
2023-07-31,53
2023-08-01,53
2023-08-02,53
2023-08-03,52
2023-08-04,55
2023-08-05,60
2023-08-06,59
2023-08-07,53
2023-08-08,49
2023-08-09,49
2023-08-10,51
2023-08-11,50
2023-08-12,55
2023-08-13,57
2023-08-14,47
2023-08-15,47
2023-08-16,44
2023-08-17,48
2023-08-18,44
2023-08-19,60
2023-08-20,58
2023-08-21,46
2023-08-22,43
2023-08-23,44
2023-08-24,42
2023-08-25,43
2023-08-26,53
2023-08-27,54
2023-08-28,39
2023-08-29,40
2023-08-30,40
2023-08-31,42
2023-09-01,43
2023-09-02,54
2023-09-03,55
2023-09-04,56
2023-09-05,37
2023-09-06,35
2023-09-07,33
2023-09-08,35
2023-09-09,53
2023-09-10,55
2023-09-11,36
2023-09-12,34
2023-09-13,34
2023-09-14,34
2023-09-15,37
2023-09-16,54
2023-09-17,56
2023-09-18,36
2023-09-19,34
2023-09-20,34
2023-09-21,34
2023-09-22,37
2023-09-23,54
2023-09-24,56
2023-09-25,39
2023-09-26,34
2023-09-27,34
2023-09-28,41
2023-09-29,37
2023-09-30,52
2023-10-01,51
2023-10-02,35
2023-10-03,33
2023-10-04,34
2023-10-05,36
2023-10-06,39
2023-10-07,52
2023-10-08,48
2023-10-09,43
2023-10-10,51
2023-10-11,45
2023-10-12,43
2023-10-13,44
2023-10-14,59
2023-10-15,59
2023-10-16,42
2023-10-17,36
2023-10-18,37
2023-10-19,38
2023-10-20,40
2023-10-21,81
2023-10-22,77
2023-10-23,39
2023-10-24,35
2023-10-25,35
2023-10-26,34
2023-10-27,36
2023-10-28,49
2023-10-29,51
2023-10-30,34
2023-10-31,30
2023-11-01,32
2023-11-02,32
2023-11-03,36
2023-11-04,47
2023-11-05,49
2023-11-06,33
2023-11-07,35
2023-11-08,34
2023-11-09,37
2023-11-10,44
2023-11-11,52
2023-11-12,50
2023-11-13,35
2023-11-14,33
2023-11-15,34
2023-11-16,42
2023-11-17,37
2023-11-18,49
2023-11-19,50
2023-11-20,42
2023-11-21,43
2023-11-22,49
2023-11-23,50
2023-11-24,50
2023-11-25,52
2023-11-26,53
2023-11-27,36
2023-11-28,35
2023-11-29,34
2023-11-30,34
2023-12-01,35
2023-12-02,50
2023-12-03,49
2023-12-04,35
2023-12-05,34
2023-12-06,34
2023-12-07,35
2023-12-08,36
2023-12-09,47
2023-12-10,51
2023-12-11,34
2023-12-12,33
2023-12-13,33
2023-12-14,35
2023-12-15,40
2023-12-16,49
2023-12-17,53
2023-12-18,38
2023-12-19,40
2023-12-20,44
2023-12-21,47
2023-12-22,50
2023-12-23,54
2023-12-24,57
2023-12-25,100
2023-12-26,66
2023-12-27,53
2023-12-28,52
2023-12-29,50
2023-12-30,54
2023-12-31,55
2024-01-01,52
2024-01-02,49
2024-01-03,43
2024-01-04,41
2024-01-05,42
2024-01-06,51
2024-01-07,51
2024-01-08,36
2024-01-09,36
2024-01-10,35
2024-01-11,34
2024-01-12,41
2024-01-13,49
2024-01-14,51
2024-01-15,51
2024-01-16,42
2024-01-17,41
2024-01-18,37
2024-01-19,41
2024-01-20,50
