Time,jimmy butler
2023-12-22,7
2023-12-23,10
2023-12-24,8
2023-12-25,20
2023-12-26,17
2023-12-27,6
2023-12-28,9
2023-12-29,13
2023-12-30,15
2023-12-31,12
2024-01-01,9
2024-01-02,10
2024-01-03,9
2024-01-04,13
2024-01-05,7
2024-01-06,9
2024-01-07,6
2024-01-08,6
2024-01-09,8
2024-01-10,8
2024-01-11,10
2024-01-12,8
2024-01-13,8
2024-01-14,8
2024-01-15,9
2024-01-16,10
2024-01-17,14
2024-01-18,9
2024-01-19,14
2024-01-20,11
2024-01-21,16
2024-01-22,9
2024-01-23,7
2024-01-24,10
2024-01-25,17
2024-01-26,13
2024-01-27,25
2024-01-28,7
2024-01-29,11
2024-01-30,10
2024-01-31,16
2024-02-01,13
2024-02-02,24
2024-02-03,13
2024-02-04,24
2024-02-05,12
2024-02-06,22
2024-02-07,20
2024-02-08,13
2024-02-09,5
2024-02-10,6
2024-02-11,47
2024-02-12,10
2024-02-13,10
2024-02-14,12
2024-02-15,8
2024-02-16,11
2024-02-17,7
2024-02-18,6
2024-02-19,9
2024-02-20,5
2024-02-21,5
2024-02-22,5
2024-02-23,13
2024-02-24,23
2024-02-25,16
2024-02-26,17
2024-02-27,19
2024-02-28,23
2024-02-29,24
2024-03-01,29
2024-03-02,26
2024-03-03,16
2024-03-04,9
2024-03-05,11
2024-03-06,12
2024-03-07,20
2024-03-08,22
2024-03-09,11
2024-03-10,17
2024-03-11,9
2024-03-12,6
2024-03-13,17
2024-03-14,11
2024-03-15,17
2024-03-16,8
2024-03-17,14
2024-03-18,16
2024-03-19,12
2024-03-20,19
2024-03-21,9
2024-03-22,11
2024-03-23,10
2024-03-24,17
2024-03-25,6
2024-03-26,18
2024-03-27,11
2024-03-28,4
2024-03-29,8
2024-03-30,9
2024-03-31,10
2024-04-01,4
2024-04-02,13
2024-04-03,9
2024-04-04,15
2024-04-05,12
2024-04-06,7
2024-04-07,15
2024-04-08,8
2024-04-09,9
2024-04-10,16
2024-04-11,12
2024-04-12,7
2024-04-13,7
2024-04-14,13
2024-04-15,8
2024-04-16,10
2024-04-17,41
2024-04-18,89
2024-04-19,67
2024-04-20,75
2024-04-21,64
2024-04-22,21
2024-04-23,14
2024-04-24,26
2024-04-25,100
2024-04-26,17
2024-04-27,35
2024-04-28,27
2024-04-29,21
2024-04-30,27
2024-05-01,17
2024-05-02,25
2024-05-03,17
2024-05-04,16
2024-05-05,16
2024-05-06,31
2024-05-07,26
2024-05-08,12
2024-05-09,10
2024-05-10,8
2024-05-11,7
2024-05-12,7
2024-05-13,7
2024-05-14,6
2024-05-15,6
2024-05-16,6
2024-05-17,6
2024-05-18,6
2024-05-19,6
2024-05-20,9
2024-05-21,7
2024-05-22,5
2024-05-23,5
2024-05-24,6
2024-05-25,5
2024-05-26,5
2024-05-27,6
2024-05-28,10
2024-05-29,12
2024-05-30,9
2024-05-31,8
2024-06-01,7
2024-06-02,6
2024-06-03,6
2024-06-04,5
2024-06-05,5
2024-06-06,6
2024-06-07,12
2024-06-08,20
2024-06-09,16
2024-06-10,13
2024-06-11,8
2024-06-12,6
2024-06-13,10
2024-06-14,7
2024-06-15,10
2024-06-16,6
2024-06-17,5
2024-06-18,9
2024-06-19,9
2024-06-20,8
2024-06-21,13
2024-06-22,14
2024-06-23,18
2024-06-24,12
2024-06-25,8
2024-06-26,9
2024-06-27,16
2024-06-28,11
2024-06-29,14
2024-06-30,7
2024-07-01,10
2024-07-02,7
2024-07-03,7
2024-07-04,7
2024-07-05,5
2024-07-06,7
2024-07-07,7
2024-07-08,5
2024-07-09,4
2024-07-10,5
2024-07-11,6
2024-07-12,5
2024-07-13,6
2024-07-14,5
2024-07-15,4
2024-07-16,3
2024-07-17,4
2024-07-18,3
2024-07-19,4
2024-07-20,4
2024-07-21,4
2024-07-22,4
2024-07-23,3
2024-07-24,4
2024-07-25,4
2024-07-26,4
2024-07-27,4
2024-07-28,4
2024-07-29,3
2024-07-30,3
2024-07-31,3
2024-08-01,3
2024-08-02,3
2024-08-03,4
2024-08-04,4
2024-08-05,2
2024-08-06,2
2024-08-07,3
2024-08-08,3
2024-08-09,4
2024-08-10,4
2024-08-11,4
2024-08-12,3
2024-08-13,4
2024-08-14,4
2024-08-15,5
2024-08-16,4
2024-08-17,3
2024-08-18,4
2024-08-19,3
2024-08-20,3
2024-08-21,3
2024-08-22,3
2024-08-23,2
2024-08-24,3
2024-08-25,3
2024-08-26,3
2024-08-27,3
2024-08-28,3
2024-08-29,4
2024-08-30,3
2024-08-31,4
2024-09-01,5
2024-09-02,3
2024-09-03,3
2024-09-04,3
2024-09-05,2
2024-09-06,2
2024-09-07,3
2024-09-08,3
2024-09-09,4
2024-09-10,4
2024-09-11,2
2024-09-12,3
2024-09-13,5
2024-09-14,6
2024-09-15,7
2024-09-16,6
