Time,irs
2022-01-01,9
2022-01-02,13
2022-01-03,25
2022-01-04,29
2022-01-05,24
2022-01-06,20
2022-01-07,22
2022-01-08,15
2022-01-09,10
2022-01-10,24
2022-01-11,23
2022-01-12,26
2022-01-13,24
2022-01-14,20
2022-01-15,14
2022-01-16,11
2022-01-17,16
2022-01-18,23
2022-01-19,25
2022-01-20,25
2022-01-21,26
2022-01-22,19
2022-01-23,16
2022-01-24,46
2022-01-25,37
2022-01-26,36
2022-01-27,36
2022-01-28,41
2022-01-29,35
2022-01-30,29
2022-01-31,49
2022-02-01,52
2022-02-02,47
2022-02-03,50
2022-02-04,52
2022-02-05,43
2022-02-06,38
2022-02-07,56
2022-02-08,54
2022-02-09,54
2022-02-10,48
2022-02-11,64
2022-02-12,53
2022-02-13,39
2022-02-14,60
2022-02-15,77
2022-02-16,100
2022-02-17,95
2022-02-18,82
2022-02-19,64
2022-02-20,46
2022-02-21,58
2022-02-22,68
2022-02-23,70
2022-02-24,64
2022-02-25,56
2022-02-26,43
2022-02-27,37
2022-02-28,59
2022-03-01,64
2022-03-02,56
2022-03-03,50
2022-03-04,51
2022-03-05,38
2022-03-06,31
2022-03-07,50
2022-03-08,50
2022-03-09,49
2022-03-10,45
2022-03-11,45
2022-03-12,33
2022-03-13,26
2022-03-14,47
2022-03-15,45
2022-03-16,42
2022-03-17,37
2022-03-18,39
2022-03-19,28
2022-03-20,25
2022-03-21,43
2022-03-22,41
2022-03-23,40
2022-03-24,37
2022-03-25,35
2022-03-26,27
2022-03-27,24
2022-03-28,38
2022-03-29,37
2022-03-30,37
2022-03-31,35
2022-04-01,33
2022-04-02,27
2022-04-03,25
2022-04-04,41
2022-04-05,39
2022-04-06,38
2022-04-07,35
2022-04-08,37
2022-04-09,30
2022-04-10,28
2022-04-11,48
2022-04-12,45
2022-04-13,46
2022-04-14,52
2022-04-15,59
2022-04-16,42
2022-04-17,38
2022-04-18,93
2022-04-19,57
2022-04-20,32
2022-04-21,28
2022-04-22,25
2022-04-23,17
2022-04-24,13
2022-04-25,28
2022-04-26,28
2022-04-27,27
2022-04-28,24
2022-04-29,20
2022-04-30,15
2022-05-01,12
2022-05-02,24
2022-05-03,24
2022-05-04,23
2022-05-05,21
2022-05-06,20
2022-05-07,13
2022-05-08,8
2022-05-09,23
2022-05-10,22
2022-05-11,21
2022-05-12,20
2022-05-13,21
2022-05-14,12
2022-05-15,10
2022-05-16,21
2022-05-17,21
2022-05-18,21
2022-05-19,20
2022-05-20,19
2022-05-21,11
2022-05-22,9
2022-05-23,20
2022-05-24,21
2022-05-25,18
2022-05-26,19
2022-05-27,17
2022-05-28,9
2022-05-29,7
2022-05-30,9
2022-05-31,21
2022-06-01,20
2022-06-02,18
2022-06-03,17
2022-06-04,10
2022-06-05,8
2022-06-06,19
2022-06-07,20
2022-06-08,19
2022-06-09,17
2022-06-10,19
2022-06-11,10
2022-06-12,9
2022-06-13,22
2022-06-14,22
2022-06-15,23
2022-06-16,19
2022-06-17,17
2022-06-18,10
2022-06-19,7
2022-06-20,17
2022-06-21,21
2022-06-22,21
2022-06-23,19
2022-06-24,17
2022-06-25,9
2022-06-26,8
2022-06-27,21
2022-06-28,19
2022-06-29,19
2022-06-30,18
2022-07-01,17
2022-07-02,9
2022-07-03,8
2022-07-04,8
2022-07-05,18
2022-07-06,19
2022-07-07,19
2022-07-08,17
2022-07-09,9
2022-07-10,8
2022-07-11,20
2022-07-12,17
2022-07-13,17
2022-07-14,17
2022-07-15,16
2022-07-16,9
2022-07-17,8
2022-07-18,17
2022-07-19,17
2022-07-20,16
2022-07-21,15
2022-07-22,14
2022-07-23,8
2022-07-24,7
2022-07-25,17
2022-07-26,18
2022-07-27,17
2022-07-28,16
2022-07-29,14
2022-07-30,8
2022-07-31,7
2022-08-01,16
2022-08-02,17
2022-08-03,17
2022-08-04,16
2022-08-05,16
2022-08-06,9
2022-08-07,8
2022-08-08,22
2022-08-09,26
2022-08-10,25
2022-08-11,32
2022-08-12,24
2022-08-13,14
2022-08-14,11
2022-08-15,20
2022-08-16,20
2022-08-17,19
2022-08-18,20
2022-08-19,17
2022-08-20,9
2022-08-21,8
2022-08-22,17
2022-08-23,17
2022-08-24,17
2022-08-25,17
2022-08-26,15
2022-08-27,9
2022-08-28,7
2022-08-29,15
2022-08-30,16
2022-08-31,15
2022-09-01,14
2022-09-02,14
2022-09-03,7
2022-09-04,6
2022-09-05,7
2022-09-06,15
2022-09-07,17
2022-09-08,15
2022-09-09,14
2022-09-10,8
2022-09-11,7
2022-09-12,16
2022-09-13,16
2022-09-14,17
2022-09-15,18
2022-09-16,14
2022-09-17,7
2022-09-18,6
2022-09-19,14
2022-09-20,15
2022-09-21,14
2022-09-22,14
2022-09-23,13
2022-09-24,8
2022-09-25,6
2022-09-26,15
2022-09-27,15
