Time,irs
2023-12-22,11
2023-12-23,7
2023-12-24,5
2023-12-25,4
2023-12-26,11
2023-12-27,14
2023-12-28,15
2023-12-29,13
2023-12-30,8
2023-12-31,7
2024-01-01,8
2024-01-02,19
2024-01-03,20
2024-01-04,20
2024-01-05,18
2024-01-06,12
2024-01-07,10
2024-01-08,20
2024-01-09,20
2024-01-10,20
2024-01-11,21
2024-01-12,20
2024-01-13,13
2024-01-14,10
2024-01-15,17
2024-01-16,23
2024-01-17,23
2024-01-18,22
2024-01-19,23
2024-01-20,17
2024-01-21,13
2024-01-22,25
2024-01-23,29
2024-01-24,29
2024-01-25,27
2024-01-26,27
2024-01-27,22
2024-01-28,20
2024-01-29,40
2024-01-30,45
2024-01-31,43
2024-02-01,39
2024-02-02,40
2024-02-03,32
2024-02-04,28
2024-02-05,43
2024-02-06,45
2024-02-07,45
2024-02-08,47
2024-02-09,47
2024-02-10,40
2024-02-11,30
2024-02-12,48
2024-02-13,52
2024-02-14,54
2024-02-15,68
2024-02-16,75
2024-02-17,54
2024-02-18,39
2024-02-19,47
2024-02-20,57
2024-02-21,55
2024-02-22,51
2024-02-23,47
2024-02-24,34
2024-02-25,26
2024-02-26,43
2024-02-27,42
2024-02-28,40
2024-02-29,38
2024-03-01,40
2024-03-02,30
2024-03-03,24
2024-03-04,40
2024-03-05,38
2024-03-06,34
2024-03-07,34
2024-03-08,34
2024-03-09,26
2024-03-10,22
2024-03-11,35
2024-03-12,37
2024-03-13,36
2024-03-14,34
2024-03-15,33
2024-03-16,25
2024-03-17,22
2024-03-18,35
2024-03-19,34
2024-03-20,33
2024-03-21,31
2024-03-22,31
2024-03-23,24
2024-03-24,21
2024-03-25,34
2024-03-26,33
2024-03-27,31
2024-03-28,32
2024-03-29,30
2024-03-30,22
2024-03-31,18
2024-04-01,40
2024-04-02,39
2024-04-03,36
2024-04-04,34
2024-04-05,34
2024-04-06,26
2024-04-07,24
2024-04-08,39
2024-04-09,40
2024-04-10,43
2024-04-11,45
2024-04-12,53
2024-04-13,44
2024-04-14,46
2024-04-15,100
2024-04-16,62
2024-04-17,32
2024-04-18,30
2024-04-19,25
2024-04-20,16
2024-04-21,11
2024-04-22,25
2024-04-23,24
2024-04-24,23
2024-04-25,22
2024-04-26,20
2024-04-27,12
2024-04-28,10
2024-04-29,22
2024-04-30,22
2024-05-01,21
2024-05-02,18
2024-05-03,19
2024-05-04,10
2024-05-05,9
2024-05-06,20
2024-05-07,20
2024-05-08,18
2024-05-09,18
2024-05-10,17
2024-05-11,9
2024-05-12,7
2024-05-13,19
2024-05-14,20
2024-05-15,18
2024-05-16,17
2024-05-17,16
2024-05-18,9
2024-05-19,8
2024-05-20,20
2024-05-21,18
2024-05-22,17
2024-05-23,15
2024-05-24,15
2024-05-25,8
2024-05-26,7
2024-05-27,8
2024-05-28,17
2024-05-29,17
2024-05-30,16
2024-05-31,17
2024-06-01,9
2024-06-02,8
2024-06-03,18
2024-06-04,19
2024-06-05,17
2024-06-06,17
2024-06-07,17
2024-06-08,11
2024-06-09,12
2024-06-10,22
2024-06-11,26
2024-06-12,23
2024-06-13,19
2024-06-14,18
2024-06-15,10
2024-06-16,9
2024-06-17,21
2024-06-18,19
2024-06-19,15
2024-06-20,16
2024-06-21,15
2024-06-22,8
2024-06-23,7
2024-06-24,18
2024-06-25,17
2024-06-26,16
2024-06-27,15
2024-06-28,14
2024-06-29,8
2024-06-30,7
2024-07-01,16
2024-07-02,15
2024-07-03,13
2024-07-04,7
2024-07-05,10
2024-07-06,7
2024-07-07,7
2024-07-08,16
2024-07-09,15
2024-07-10,16
2024-07-11,16
2024-07-12,14
2024-07-13,9
2024-07-14,7
2024-07-15,19
2024-07-16,15
2024-07-17,15
2024-07-18,14
2024-07-19,13
2024-07-20,8
2024-07-21,7
2024-07-22,14
2024-07-23,13
2024-07-24,14
2024-07-25,13
2024-07-26,11
2024-07-27,7
2024-07-28,6
2024-07-29,14
2024-07-30,14
2024-07-31,14
2024-08-01,12
2024-08-02,12
2024-08-03,7
2024-08-04,6
2024-08-05,13
2024-08-06,13
2024-08-07,12
2024-08-08,11
2024-08-09,11
2024-08-10,7
2024-08-11,6
2024-08-12,13
2024-08-13,15
2024-08-14,12
2024-08-15,15
2024-08-16,12
2024-08-17,7
2024-08-18,6
2024-08-19,13
2024-08-20,14
2024-08-21,12
2024-08-22,12
2024-08-23,11
2024-08-24,7
2024-08-25,6
2024-08-26,13
2024-08-27,14
2024-08-28,12
2024-08-29,12
2024-08-30,11
2024-08-31,6
2024-09-01,6
2024-09-02,6
2024-09-03,13
2024-09-04,13
2024-09-05,12
2024-09-06,11
2024-09-07,6
2024-09-08,6
2024-09-09,14
2024-09-10,13
2024-09-11,12
2024-09-12,13
2024-09-13,14
2024-09-14,8
2024-09-15,7
2024-09-16,15
