Time,irs
2023-04-26,98
2023-04-27,89
2023-04-28,86
2023-04-29,57
2023-04-30,45
2023-05-01,97
2023-05-02,92
2023-05-03,84
2023-05-04,80
2023-05-05,68
2023-05-06,41
2023-05-07,34
2023-05-08,83
2023-05-09,79
2023-05-10,76
2023-05-11,72
2023-05-12,70
2023-05-13,40
2023-05-14,30
2023-05-15,81
2023-05-16,84
2023-05-17,73
2023-05-18,70
2023-05-19,66
2023-05-20,37
2023-05-21,31
2023-05-22,70
2023-05-23,74
2023-05-24,71
2023-05-25,67
2023-05-26,64
2023-05-27,37
2023-05-28,32
2023-05-29,36
2023-05-30,74
2023-05-31,74
2023-06-01,70
2023-06-02,67
2023-06-03,38
2023-06-04,35
2023-06-05,78
2023-06-06,77
2023-06-07,73
2023-06-08,68
2023-06-09,70
2023-06-10,39
2023-06-11,32
2023-06-12,79
2023-06-13,81
2023-06-14,80
2023-06-15,84
2023-06-16,63
2023-06-17,33
2023-06-18,32
2023-06-19,61
2023-06-20,78
2023-06-21,72
2023-06-22,65
2023-06-23,76
2023-06-24,34
2023-06-25,31
2023-06-26,77
2023-06-27,74
2023-06-28,69
2023-06-29,65
2023-06-30,61
2023-07-01,36
2023-07-02,31
2023-07-03,59
2023-07-04,33
2023-07-05,65
2023-07-06,70
2023-07-07,63
2023-07-08,35
2023-07-09,29
2023-07-10,72
2023-07-11,68
2023-07-12,66
2023-07-13,61
2023-07-14,60
2023-07-15,34
2023-07-16,30
2023-07-17,68
2023-07-18,64
2023-07-19,72
2023-07-20,65
2023-07-21,57
2023-07-22,33
2023-07-23,29
2023-07-24,66
2023-07-25,66
2023-07-26,64
2023-07-27,58
2023-07-28,51
2023-07-29,34
2023-07-30,27
2023-07-31,58
2023-08-01,60
2023-08-02,58
2023-08-03,50
2023-08-04,50
2023-08-05,30
2023-08-06,25
2023-08-07,52
2023-08-08,55
2023-08-09,52
2023-08-10,49
2023-08-11,46
2023-08-12,30
2023-08-13,26
2023-08-14,55
2023-08-15,57
2023-08-16,59
2023-08-17,49
2023-08-18,51
2023-08-19,32
2023-08-20,27
2023-08-21,55
2023-08-22,54
2023-08-23,51
2023-08-24,46
2023-08-25,48
2023-08-26,29
2023-08-27,26
2023-08-28,54
2023-08-29,53
2023-08-30,51
2023-08-31,52
2023-09-01,44
2023-09-02,28
2023-09-03,24
2023-09-04,31
2023-09-05,56
2023-09-06,56
2023-09-07,48
2023-09-08,47
2023-09-09,29
2023-09-10,24
2023-09-11,58
2023-09-12,53
2023-09-13,54
2023-09-14,58
2023-09-15,62
2023-09-16,31
2023-09-17,25
2023-09-18,50
2023-09-19,56
2023-09-20,50
2023-09-21,47
2023-09-22,49
2023-09-23,27
2023-09-24,25
2023-09-25,53
2023-09-26,53
2023-09-27,51
2023-09-28,49
2023-09-29,50
2023-09-30,30
2023-10-01,28
2023-10-02,55
2023-10-03,55
2023-10-04,53
2023-10-05,53
2023-10-06,50
2023-10-07,32
2023-10-08,29
2023-10-09,51
2023-10-10,60
2023-10-11,59
2023-10-12,62
2023-10-13,66
2023-10-14,38
2023-10-15,39
2023-10-16,93
2023-10-17,70
2023-10-18,55
2023-10-19,53
2023-10-20,47
2023-10-21,27
2023-10-22,23
2023-10-23,53
2023-10-24,57
2023-10-25,55
2023-10-26,52
2023-10-27,43
2023-10-28,26
2023-10-29,21
2023-10-30,49
2023-10-31,56
2023-11-01,56
2023-11-02,54
2023-11-03,50
2023-11-04,29
2023-11-05,25
2023-11-06,53
2023-11-07,53
2023-11-08,52
2023-11-09,52
2023-11-10,61
2023-11-11,34
2023-11-12,30
2023-11-13,61
2023-11-14,60
2023-11-15,62
2023-11-16,59
2023-11-17,52
2023-11-18,32
2023-11-19,26
2023-11-20,52
2023-11-21,49
2023-11-22,39
2023-11-23,21
2023-11-24,28
2023-11-25,29
2023-11-26,28
2023-11-27,62
2023-11-28,61
2023-11-29,57
2023-11-30,59
2023-12-01,53
2023-12-02,33
2023-12-03,30
2023-12-04,58
2023-12-05,61
2023-12-06,59
2023-12-07,54
2023-12-08,56
2023-12-09,30
2023-12-10,25
2023-12-11,60
2023-12-12,60
2023-12-13,58
2023-12-14,57
2023-12-15,49
2023-12-16,31
2023-12-17,26
2023-12-18,59
2023-12-19,59
2023-12-20,63
2023-12-21,58
2023-12-22,48
2023-12-23,32
2023-12-24,22
2023-12-25,19
2023-12-26,47
2023-12-27,60
2023-12-28,62
2023-12-29,58
2023-12-30,35
2023-12-31,31
2024-01-01,34
2024-01-02,82
2024-01-03,87
2024-01-04,85
2024-01-05,78
2024-01-06,51
2024-01-07,43
2024-01-08,87
2024-01-09,86
2024-01-10,84
2024-01-11,91
2024-01-12,85
2024-01-13,57
2024-01-14,43
2024-01-15,74
2024-01-16,97
2024-01-17,100
2024-01-18,94
2024-01-19,96
2024-01-20,71
