Time,uvalde tx
2025-04-15,59
2025-04-16,57
2025-04-17,45
2025-04-18,50
2025-04-19,55
2025-04-20,36
2025-04-21,81
2025-04-22,48
2025-04-23,60
2025-04-24,55
2025-04-25,50
2025-04-26,0
2025-04-27,43
2025-04-28,61
2025-04-29,56
2025-04-30,81
2025-05-01,38
2025-05-02,57
2025-05-03,56
2025-05-04,55
2025-05-05,48
2025-05-06,70
2025-05-07,48
2025-05-08,50
2025-05-09,69
2025-05-10,52
2025-05-11,41
2025-05-12,28
2025-05-13,45
2025-05-14,37
2025-05-15,63
2025-05-16,42
2025-05-17,62
2025-05-18,44
2025-05-19,72
2025-05-20,64
2025-05-21,44
2025-05-22,57
2025-05-23,61
2025-05-24,57
2025-05-25,77
2025-05-26,43
2025-05-27,53
2025-05-28,56
2025-05-29,71
2025-05-30,60
2025-05-31,64
2025-06-01,0
2025-06-02,55
2025-06-03,59
2025-06-04,56
2025-06-05,48
2025-06-06,51
2025-06-07,46
2025-06-08,52
2025-06-09,62
2025-06-10,72
2025-06-11,59
2025-06-12,70
2025-06-13,53
2025-06-14,39
2025-06-15,49
2025-06-16,60
2025-06-17,57
2025-06-18,73
2025-06-19,78
2025-06-20,56
2025-06-21,42
2025-06-22,51
2025-06-23,67
2025-06-24,69
2025-06-25,80
2025-06-26,98
2025-06-27,56
2025-06-28,69
2025-06-29,56
2025-06-30,61
2025-07-01,85
2025-07-02,71
2025-07-03,76
2025-07-04,58
2025-07-05,89
2025-07-06,42
2025-07-07,81
2025-07-08,99
2025-07-09,75
2025-07-10,59
2025-07-11,81
2025-07-12,62
2025-07-13,74
2025-07-14,97
2025-07-15,80
2025-07-16,73
2025-07-17,63
2025-07-18,72
2025-07-19,30
2025-07-20,70
2025-07-21,65
2025-07-22,61
2025-07-23,65
2025-07-24,68
2025-07-25,78
2025-07-26,55
2025-07-27,65
2025-07-28,43
2025-07-29,51
2025-07-30,61
2025-07-31,50
2025-08-01,85
2025-08-02,51
2025-08-03,50
2025-08-04,74
2025-08-05,80
2025-08-06,63
2025-08-07,66
2025-08-08,50
2025-08-09,37
2025-08-10,54
2025-08-11,60
2025-08-12,80
2025-08-13,100
2025-08-14,61
2025-08-15,80
2025-08-16,45
2025-08-17,44
2025-08-18,44
2025-08-19,77
2025-08-20,65
2025-08-21,73
2025-08-22,52
2025-08-23,36
2025-08-24,34
2025-08-25,61
2025-08-26,61
2025-08-27,75
2025-08-28,68
2025-08-29,59
2025-08-30,98
2025-08-31,67
2025-09-01,78
2025-09-02,73
2025-09-03,76
2025-09-04,63
2025-09-05,81
2025-09-06,70
2025-09-07,45
2025-09-08,77
2025-09-09,77
2025-09-10,68
2025-09-11,63
2025-09-12,59
2025-09-13,63
2025-09-14,46
2025-09-15,80
2025-09-16,76
2025-09-17,54
2025-09-18,62
2025-09-19,39
2025-09-20,74
2025-09-21,54
2025-09-22,62
2025-09-23,61
2025-09-24,40
2025-09-25,56
2025-09-26,54
2025-09-27,40
2025-09-28,34
2025-09-29,79
2025-09-30,64
2025-10-01,80
2025-10-02,45
2025-10-03,69
2025-10-04,58
2025-10-05,70
2025-10-06,43
2025-10-07,87
2025-10-08,49
2025-10-09,84
2025-10-10,69
2025-10-11,50
2025-10-12,55
2025-10-13,63
2025-10-14,48
2025-10-15,62
2025-10-16,37
2025-10-17,60
2025-10-18,69
2025-10-19,0
2025-10-20,51
2025-10-21,40
2025-10-22,50
2025-10-23,49
2025-10-24,63
2025-10-25,61
2025-10-26,45
2025-10-27,54
2025-10-28,49
2025-10-29,48
2025-10-30,49
2025-10-31,37
2025-11-01,38
2025-11-02,39
2025-11-03,68
2025-11-04,61
2025-11-05,47
2025-11-06,48
2025-11-07,72
2025-11-08,48
2025-11-09,43
2025-11-10,48
2025-11-11,76
2025-11-12,45
2025-11-13,42
2025-11-14,59
2025-11-15,47
2025-11-16,42
2025-11-17,63
2025-11-18,42
2025-11-19,64
2025-11-20,56
2025-11-21,52
2025-11-22,33
2025-11-23,35
2025-11-24,74
2025-11-25,56
2025-11-26,42
2025-11-27,58
2025-11-28,61
2025-11-29,56
2025-11-30,51
2025-12-01,40
2025-12-02,55
2025-12-03,87
2025-12-04,54
2025-12-05,81
2025-12-06,50
2025-12-07,0
2025-12-08,55
2025-12-09,50
2025-12-10,52
2025-12-11,62
2025-12-12,59
2025-12-13,32
2025-12-14,50
2025-12-15,49
2025-12-16,56
2025-12-17,50
2025-12-18,71
2025-12-19,70
2025-12-20,49
2025-12-21,38
2025-12-22,50
2025-12-23,39
2025-12-24,49
2025-12-25,32
2025-12-26,64
2025-12-27,50
2025-12-28,66
2025-12-29,49
2025-12-30,46
2025-12-31,37
2026-01-01,39
2026-01-02,70
2026-01-03,75
2026-01-04,28
2026-01-05,86
2026-01-06,100
2026-01-07,86
2026-01-08,79
2026-01-09,79
