Time,hurricane ian
2023-12-22,19
2023-12-23,17
2023-12-24,21
2023-12-25,26
2023-12-26,21
2023-12-27,27
2023-12-28,36
2023-12-29,28
2023-12-30,23
2023-12-31,37
2024-01-01,22
2024-01-02,19
2024-01-03,20
2024-01-04,27
2024-01-05,33
2024-01-06,24
2024-01-07,24
2024-01-08,25
2024-01-09,39
2024-01-10,36
2024-01-11,27
2024-01-12,32
2024-01-13,23
2024-01-14,21
2024-01-15,23
2024-01-16,18
2024-01-17,24
2024-01-18,22
2024-01-19,21
2024-01-20,21
2024-01-21,21
2024-01-22,22
2024-01-23,30
2024-01-24,23
2024-01-25,41
2024-01-26,27
2024-01-27,23
2024-01-28,21
2024-01-29,28
2024-01-30,24
2024-01-31,27
2024-02-01,35
2024-02-02,35
2024-02-03,30
2024-02-04,29
2024-02-05,37
2024-02-06,31
2024-02-07,32
2024-02-08,34
2024-02-09,33
2024-02-10,31
2024-02-11,25
2024-02-12,27
2024-02-13,36
2024-02-14,32
2024-02-15,31
2024-02-16,39
2024-02-17,18
2024-02-18,18
2024-02-19,29
2024-02-20,35
2024-02-21,32
2024-02-22,32
2024-02-23,26
2024-02-24,18
2024-02-25,19
2024-02-26,36
2024-02-27,37
2024-02-28,30
2024-02-29,30
2024-03-01,30
2024-03-02,28
2024-03-03,20
2024-03-04,33
2024-03-05,30
2024-03-06,32
2024-03-07,23
2024-03-08,31
2024-03-09,22
2024-03-10,22
2024-03-11,34
2024-03-12,27
2024-03-13,28
2024-03-14,35
2024-03-15,28
2024-03-16,24
2024-03-17,32
2024-03-18,37
2024-03-19,35
2024-03-20,35
2024-03-21,32
2024-03-22,37
2024-03-23,29
2024-03-24,30
2024-03-25,23
2024-03-26,30
2024-03-27,38
2024-03-28,33
2024-03-29,30
2024-03-30,28
2024-03-31,23
2024-04-01,29
2024-04-02,38
2024-04-03,34
2024-04-04,37
2024-04-05,27
2024-04-06,33
2024-04-07,23
2024-04-08,30
2024-04-09,33
2024-04-10,34
2024-04-11,35
2024-04-12,27
2024-04-13,29
2024-04-14,26
2024-04-15,27
2024-04-16,28
2024-04-17,25
2024-04-18,33
2024-04-19,21
2024-04-20,17
2024-04-21,28
2024-04-22,29
2024-04-23,22
2024-04-24,30
2024-04-25,27
2024-04-26,27
2024-04-27,28
2024-04-28,23
2024-04-29,26
2024-04-30,29
2024-05-01,23
2024-05-02,32
2024-05-03,24
2024-05-04,23
2024-05-05,30
2024-05-06,16
2024-05-07,38
2024-05-08,26
2024-05-09,25
2024-05-10,28
2024-05-11,29
2024-05-12,22
2024-05-13,23
2024-05-14,22
2024-05-15,21
2024-05-16,30
2024-05-17,25
2024-05-18,18
2024-05-19,17
2024-05-20,30
2024-05-21,19
2024-05-22,33
2024-05-23,29
2024-05-24,27
2024-05-25,17
2024-05-26,15
2024-05-27,30
2024-05-28,28
2024-05-29,31
2024-05-30,13
2024-05-31,22
2024-06-01,20
2024-06-02,21
2024-06-03,28
2024-06-04,15
2024-06-05,28
2024-06-06,29
2024-06-07,26
2024-06-08,18
2024-06-09,22
2024-06-10,30
2024-06-11,35
2024-06-12,30
2024-06-13,26
2024-06-14,26
2024-06-15,29
2024-06-16,24
2024-06-17,23
2024-06-18,24
2024-06-19,31
2024-06-20,28
2024-06-21,20
2024-06-22,24
2024-06-23,29
2024-06-24,12
2024-06-25,20
2024-06-26,23
2024-06-27,17
2024-06-28,26
2024-06-29,39
2024-06-30,52
2024-07-01,57
2024-07-02,56
2024-07-03,49
2024-07-04,34
2024-07-05,35
2024-07-06,29
2024-07-07,46
2024-07-08,50
2024-07-09,50
2024-07-10,32
2024-07-11,34
2024-07-12,32
2024-07-13,27
2024-07-14,17
2024-07-15,28
2024-07-16,26
2024-07-17,22
2024-07-18,17
2024-07-19,19
2024-07-20,32
2024-07-21,16
2024-07-22,26
2024-07-23,24
2024-07-24,26
2024-07-25,25
2024-07-26,25
2024-07-27,22
2024-07-28,26
2024-07-29,23
2024-07-30,19
2024-07-31,19
2024-08-01,37
2024-08-02,56
2024-08-03,53
2024-08-04,98
2024-08-05,100
2024-08-06,50
2024-08-07,41
2024-08-08,39
2024-08-09,26
2024-08-10,36
2024-08-11,27
2024-08-12,26
2024-08-13,26
2024-08-14,28
2024-08-15,24
2024-08-16,24
2024-08-17,14
2024-08-18,22
2024-08-19,29
2024-08-20,18
2024-08-21,27
2024-08-22,24
2024-08-23,28
2024-08-24,22
2024-08-25,20
2024-08-26,33
2024-08-27,31
2024-08-28,33
2024-08-29,22
2024-08-30,22
2024-08-31,22
2024-09-01,13
2024-09-02,25
2024-09-03,26
2024-09-04,29
2024-09-05,24
2024-09-06,21
2024-09-07,14
2024-09-08,13
2024-09-09,19
2024-09-10,35
2024-09-11,37
2024-09-12,29
2024-09-13,23
2024-09-14,20
2024-09-15,20
2024-09-16,25
