Time,hurricane ian
2025-12-11,27
2025-12-12,30
2025-12-13,32
2025-12-14,0
2025-12-15,37
2025-12-16,46
2025-12-17,42
2025-12-18,46
2025-12-19,35
2025-12-20,0
2025-12-21,0
2025-12-22,36
2025-12-23,37
2025-12-24,0
2025-12-25,0
2025-12-26,28
2025-12-27,0
2025-12-28,54
2025-12-29,47
2025-12-30,45
2025-12-31,38
2026-01-01,32
2026-01-02,28
2026-01-03,0
2026-01-04,0
2026-01-05,34
2026-01-06,43
2026-01-07,35
2026-01-08,73
2026-01-09,28
2026-01-10,31
2026-01-11,49
2026-01-12,32
2026-01-13,50
2026-01-14,61
2026-01-15,40
2026-01-16,52
2026-01-17,50
2026-01-18,68
2026-01-19,25
2026-01-20,51
2026-01-21,82
2026-01-22,53
2026-01-23,52
2026-01-24,33
2026-01-25,71
2026-01-26,50
2026-01-27,29
2026-01-28,70
2026-01-29,70
2026-01-30,79
2026-01-31,65
2026-02-01,76
2026-02-02,65
2026-02-03,73
2026-02-04,64
2026-02-05,66
2026-02-06,67
2026-02-07,47
2026-02-08,40
2026-02-09,50
2026-02-10,52
2026-02-11,60
2026-02-12,49
2026-02-13,58
2026-02-14,26
2026-02-15,80
2026-02-16,87
2026-02-17,100
2026-02-18,64
2026-02-19,71
2026-02-20,0
2026-02-21,58
2026-02-22,70
2026-02-23,66
2026-02-24,45
2026-02-25,45
2026-02-26,36
2026-02-27,49
2026-02-28,33
2026-03-01,30
2026-03-02,60
2026-03-03,35
2026-03-04,34
2026-03-05,43
2026-03-06,30
2026-03-07,49
2026-03-08,62
2026-03-09,52
2026-03-10,56
2026-03-11,57
2026-03-12,24
2026-03-13,48
2026-03-14,49
2026-03-15,51
2026-03-16,46
2026-03-17,62
2026-03-18,59
2026-03-19,61
2026-03-20,69
2026-03-21,94
2026-03-22,36
2026-03-23,71
2026-03-24,64
2026-03-25,47
2026-03-26,57
2026-03-27,54
2026-03-28,55
2026-03-29,56
2026-03-30,37
2026-03-31,47
2026-04-01,43
2026-04-02,48
2026-04-03,44
2026-04-04,35
2026-04-05,55
2026-04-06,44
2026-04-07,42
2026-04-08,47
2026-04-09,55
2026-04-10,48
2026-04-11,60
2026-04-12,81
2026-04-13,55
2026-04-14,60
2026-04-15,73
2026-04-16,41
2026-04-17,48
2026-04-18,62
2026-04-19,32
2026-04-20,58
2026-04-21,54
2026-04-22,45
2026-04-23,52
2026-04-24,38
2026-04-25,35
2026-04-26,51
2026-04-27,28
2026-04-28,39
2026-04-29,69
2026-04-30,40
2026-05-01,59
2026-05-02,44
2026-05-03,45
2026-05-04,37
2026-05-05,35
2026-05-06,58
2026-05-07,52
2026-05-08,54
2026-05-09,44
2026-05-10,65
2026-05-11,46
2026-05-12,49
2026-05-13,0
2026-05-14,46
2026-05-15,42
2026-05-16,36
2026-05-17,35
2026-05-18,67
2026-05-19,56
2026-05-20,40
2026-05-21,43
2026-05-22,52
2026-05-23,77
2026-05-24,68
2026-05-25,39
2026-05-26,25
2026-05-27,33
2026-05-28,40
2026-05-29,51
2026-05-30,48
2026-05-31,57
