Time,ups
2023-04-26,68
2023-04-27,63
2023-04-28,61
2023-04-29,57
2023-04-30,42
2023-05-01,65
2023-05-02,65
2023-05-03,64
2023-05-04,62
2023-05-05,57
2023-05-06,54
2023-05-07,42
2023-05-08,62
2023-05-09,67
2023-05-10,66
2023-05-11,66
2023-05-12,65
2023-05-13,57
2023-05-14,37
2023-05-15,66
2023-05-16,69
2023-05-17,64
2023-05-18,66
2023-05-19,64
2023-05-20,57
2023-05-21,44
2023-05-22,69
2023-05-23,71
2023-05-24,68
2023-05-25,68
2023-05-26,64
2023-05-27,56
2023-05-28,41
2023-05-29,45
2023-05-30,69
2023-05-31,71
2023-06-01,71
2023-06-02,67
2023-06-03,59
2023-06-04,46
2023-06-05,68
2023-06-06,69
2023-06-07,73
2023-06-08,69
2023-06-09,68
2023-06-10,56
2023-06-11,45
2023-06-12,69
2023-06-13,71
2023-06-14,70
2023-06-15,69
2023-06-16,69
2023-06-17,62
2023-06-18,49
2023-06-19,73
2023-06-20,73
2023-06-21,74
2023-06-22,67
2023-06-23,66
2023-06-24,60
2023-06-25,44
2023-06-26,68
2023-06-27,72
2023-06-28,71
2023-06-29,72
2023-06-30,73
2023-07-01,62
2023-07-02,47
2023-07-03,73
2023-07-04,46
2023-07-05,78
2023-07-06,80
2023-07-07,81
2023-07-08,67
2023-07-09,48
2023-07-10,69
2023-07-11,78
2023-07-12,73
2023-07-13,74
2023-07-14,74
2023-07-15,66
2023-07-16,48
2023-07-17,81
2023-07-18,80
2023-07-19,82
2023-07-20,75
2023-07-21,72
2023-07-22,61
2023-07-23,50
2023-07-24,84
2023-07-25,100
2023-07-26,86
2023-07-27,79
2023-07-28,71
2023-07-29,65
2023-07-30,42
2023-07-31,69
2023-08-01,71
2023-08-02,69
2023-08-03,70
2023-08-04,66
2023-08-05,63
2023-08-06,47
2023-08-07,71
2023-08-08,78
2023-08-09,86
2023-08-10,89
2023-08-11,81
2023-08-12,69
2023-08-13,51
2023-08-14,78
2023-08-15,76
2023-08-16,75
2023-08-17,76
2023-08-18,71
2023-08-19,63
2023-08-20,47
2023-08-21,69
2023-08-22,75
2023-08-23,75
2023-08-24,65
2023-08-25,63
2023-08-26,57
2023-08-27,44
2023-08-28,65
2023-08-29,67
2023-08-30,66
2023-08-31,66
2023-09-01,63
2023-09-02,56
2023-09-03,41
2023-09-04,49
2023-09-05,71
2023-09-06,74
2023-09-07,66
2023-09-08,63
2023-09-09,56
2023-09-10,41
2023-09-11,61
2023-09-12,63
2023-09-13,65
2023-09-14,63
2023-09-15,60
2023-09-16,53
2023-09-17,40
2023-09-18,62
2023-09-19,66
2023-09-20,70
2023-09-21,61
2023-09-22,67
2023-09-23,57
2023-09-24,42
2023-09-25,64
2023-09-26,63
2023-09-27,64
2023-09-28,64
2023-09-29,62
2023-09-30,55
2023-10-01,42
2023-10-02,61
2023-10-03,64
2023-10-04,63
2023-10-05,61
2023-10-06,65
2023-10-07,52
2023-10-08,41
2023-10-09,68
2023-10-10,63
2023-10-11,65
2023-10-12,63
2023-10-13,59
2023-10-14,55
2023-10-15,44
2023-10-16,67
2023-10-17,69
2023-10-18,67
2023-10-19,64
2023-10-20,64
2023-10-21,56
2023-10-22,42
2023-10-23,64
2023-10-24,62
2023-10-25,63
2023-10-26,62
2023-10-27,57
2023-10-28,53
2023-10-29,39
2023-10-30,63
2023-10-31,60
2023-11-01,58
2023-11-02,60
2023-11-03,60
2023-11-04,57
2023-11-05,42
2023-11-06,62
2023-11-07,66
2023-11-08,64
2023-11-09,63
2023-11-10,64
2023-11-11,56
2023-11-12,43
2023-11-13,64
2023-11-14,68
2023-11-15,63
2023-11-16,63
2023-11-17,59
2023-11-18,57
2023-11-19,45
2023-11-20,63
2023-11-21,70
2023-11-22,72
2023-11-23,34
2023-11-24,55
2023-11-25,56
2023-11-26,50
2023-11-27,71
2023-11-28,74
2023-11-29,75
2023-11-30,73
2023-12-01,70
2023-12-02,69
2023-12-03,52
2023-12-04,72
2023-12-05,78
2023-12-06,73
2023-12-07,71
2023-12-08,70
2023-12-09,66
2023-12-10,53
2023-12-11,72
2023-12-12,76
2023-12-13,73
2023-12-14,74
2023-12-15,75
2023-12-16,73
2023-12-17,57
2023-12-18,76
2023-12-19,83
2023-12-20,99
2023-12-21,82
2023-12-22,79
2023-12-23,71
2023-12-24,41
2023-12-25,24
2023-12-26,67
2023-12-27,70
2023-12-28,71
2023-12-29,69
2023-12-30,69
2023-12-31,47
2024-01-01,45
2024-01-02,69
2024-01-03,72
2024-01-04,70
2024-01-05,69
2024-01-06,66
2024-01-07,51
2024-01-08,63
2024-01-09,63
2024-01-10,66
2024-01-11,65
2024-01-12,61
2024-01-13,57
2024-01-14,49
2024-01-15,62
2024-01-16,65
2024-01-17,72
2024-01-18,70
2024-01-19,64
2024-01-20,62
