Time,dennis rodman
2023-12-22,9
2023-12-23,12
2023-12-24,12
2023-12-25,10
2023-12-26,9
2023-12-27,9
2023-12-28,9
2023-12-29,10
2023-12-30,10
2023-12-31,11
2024-01-01,10
2024-01-02,8
2024-01-03,9
2024-01-04,9
2024-01-05,10
2024-01-06,11
2024-01-07,10
2024-01-08,7
2024-01-09,8
2024-01-10,8
2024-01-11,9
2024-01-12,9
2024-01-13,15
2024-01-14,11
2024-01-15,9
2024-01-16,8
2024-01-17,7
2024-01-18,13
2024-01-19,7
2024-01-20,13
2024-01-21,10
2024-01-22,8
2024-01-23,8
2024-01-24,7
2024-01-25,9
2024-01-26,9
2024-01-27,9
2024-01-28,10
2024-01-29,9
2024-01-30,11
2024-01-31,11
2024-02-01,9
2024-02-02,11
2024-02-03,9
2024-02-04,11
2024-02-05,9
2024-02-06,7
2024-02-07,10
2024-02-08,10
2024-02-09,10
2024-02-10,9
2024-02-11,11
2024-02-12,7
2024-02-13,8
2024-02-14,7
2024-02-15,7
2024-02-16,8
2024-02-17,10
2024-02-18,14
2024-02-19,10
2024-02-20,8
2024-02-21,8
2024-02-22,10
2024-02-23,9
2024-02-24,12
2024-02-25,13
2024-02-26,11
2024-02-27,10
2024-02-28,8
2024-02-29,9
2024-03-01,9
2024-03-02,13
2024-03-03,13
2024-03-04,17
2024-03-05,12
2024-03-06,9
2024-03-07,12
2024-03-08,9
2024-03-09,10
2024-03-10,18
2024-03-11,13
2024-03-12,9
2024-03-13,8
2024-03-14,9
2024-03-15,9
2024-03-16,12
2024-03-17,26
2024-03-18,13
2024-03-19,9
2024-03-20,8
2024-03-21,8
2024-03-22,10
2024-03-23,11
2024-03-24,10
2024-03-25,8
2024-03-26,9
2024-03-27,11
2024-03-28,12
2024-03-29,12
2024-03-30,14
2024-03-31,12
2024-04-01,11
2024-04-02,9
2024-04-03,7
2024-04-04,9
2024-04-05,8
2024-04-06,11
2024-04-07,11
2024-04-08,7
2024-04-09,13
2024-04-10,10
2024-04-11,8
2024-04-12,9
2024-04-13,8
2024-04-14,10
2024-04-15,7
2024-04-16,7
2024-04-17,9
2024-04-18,9
2024-04-19,9
2024-04-20,10
2024-04-21,9
2024-04-22,7
2024-04-23,8
2024-04-24,8
2024-04-25,8
2024-04-26,9
2024-04-27,10
2024-04-28,11
2024-04-29,9
2024-04-30,10
2024-05-01,9
2024-05-02,11
2024-05-03,9
2024-05-04,9
2024-05-05,21
2024-05-06,8
2024-05-07,9
2024-05-08,8
2024-05-09,8
2024-05-10,8
2024-05-11,10
2024-05-12,10
2024-05-13,10
2024-05-14,10
2024-05-15,9
2024-05-16,8
2024-05-17,9
2024-05-18,10
2024-05-19,10
2024-05-20,18
2024-05-21,10
2024-05-22,9
2024-05-23,10
2024-05-24,9
2024-05-25,11
2024-05-26,11
2024-05-27,11
2024-05-28,7
2024-05-29,9
2024-05-30,12
2024-05-31,10
2024-06-01,12
2024-06-02,12
2024-06-03,8
2024-06-04,9
2024-06-05,12
2024-06-06,11
2024-06-07,9
2024-06-08,11
2024-06-09,11
2024-06-10,10
2024-06-11,8
2024-06-12,8
2024-06-13,9
2024-06-14,9
2024-06-15,13
2024-06-16,10
2024-06-17,8
2024-06-18,9
2024-06-19,8
2024-06-20,9
2024-06-21,9
2024-06-22,12
2024-06-23,14
2024-06-24,9
2024-06-25,9
2024-06-26,9
2024-06-27,11
2024-06-28,9
2024-06-29,10
2024-06-30,12
2024-07-01,9
2024-07-02,8
2024-07-03,7
2024-07-04,9
2024-07-05,10
2024-07-06,9
2024-07-07,11
2024-07-08,11
2024-07-09,10
2024-07-10,9
2024-07-11,9
2024-07-12,8
2024-07-13,12
2024-07-14,10
2024-07-15,8
2024-07-16,9
2024-07-17,14
2024-07-18,9
2024-07-19,10
2024-07-20,13
2024-07-21,12
2024-07-22,10
2024-07-23,10
2024-07-24,8
2024-07-25,20
2024-07-26,41
2024-07-27,28
2024-07-28,67
2024-07-29,19
2024-07-30,12
2024-07-31,29
2024-08-01,18
2024-08-02,10
2024-08-03,80
2024-08-04,40
2024-08-05,13
2024-08-06,30
2024-08-07,17
2024-08-08,14
2024-08-09,13
2024-08-10,100
2024-08-11,45
2024-08-12,16
2024-08-13,11
2024-08-14,9
2024-08-15,8
2024-08-16,9
2024-08-17,11
2024-08-18,9
2024-08-19,7
2024-08-20,7
2024-08-21,7
2024-08-22,7
2024-08-23,6
2024-08-24,9
2024-08-25,10
2024-08-26,8
2024-08-27,8
2024-08-28,9
2024-08-29,7
2024-08-30,8
2024-08-31,9
2024-09-01,10
2024-09-02,9
2024-09-03,7
2024-09-04,6
2024-09-05,6
2024-09-06,7
2024-09-07,12
2024-09-08,22
2024-09-09,20
2024-09-10,18
2024-09-11,12
2024-09-12,10
2024-09-13,8
2024-09-14,9
2024-09-15,9
2024-09-16,6
