Time,dennis rodman
2022-08-29,26
2022-08-30,31
2022-08-31,18
2022-09-01,24
2022-09-02,24
2022-09-03,32
2022-09-04,38
2022-09-05,22
2022-09-06,22
2022-09-07,27
2022-09-08,27
2022-09-09,25
2022-09-10,23
2022-09-11,21
2022-09-12,18
2022-09-13,20
2022-09-14,29
2022-09-15,30
2022-09-16,18
2022-09-17,19
2022-09-18,18
2022-09-19,15
2022-09-20,14
2022-09-21,13
2022-09-22,13
2022-09-23,16
2022-09-24,16
2022-09-25,16
2022-09-26,14
2022-09-27,11
2022-09-28,12
2022-09-29,22
2022-09-30,18
2022-10-01,14
2022-10-02,16
2022-10-03,15
2022-10-04,15
2022-10-05,16
2022-10-06,16
2022-10-07,23
2022-10-08,24
2022-10-09,22
2022-10-10,17
2022-10-11,20
2022-10-12,19
2022-10-13,19
2022-10-14,56
2022-10-15,50
2022-10-16,24
2022-10-17,19
2022-10-18,27
2022-10-19,28
2022-10-20,29
2022-10-21,22
2022-10-22,25
2022-10-23,23
2022-10-24,24
2022-10-25,55
2022-10-26,34
2022-10-27,32
2022-10-28,34
2022-10-29,28
2022-10-30,31
2022-10-31,19
2022-11-01,46
2022-11-02,27
2022-11-03,21
2022-11-04,21
2022-11-05,21
2022-11-06,23
2022-11-07,17
2022-11-08,15
2022-11-09,16
2022-11-10,16
2022-11-11,19
2022-11-12,25
2022-11-13,21
2022-11-14,15
2022-11-15,28
2022-11-16,21
2022-11-17,19
2022-11-18,24
2022-11-19,28
2022-11-20,21
2022-11-21,16
2022-11-22,29
2022-11-23,24
2022-11-24,23
2022-11-25,23
2022-11-26,22
2022-11-27,22
2022-11-28,16
2022-11-29,12
2022-11-30,16
2022-12-01,16
2022-12-02,16
2022-12-03,19
2022-12-04,16
2022-12-05,12
2022-12-06,16
2022-12-07,17
2022-12-08,17
2022-12-09,16
2022-12-10,19
2022-12-11,19
2022-12-12,16
2022-12-13,13
2022-12-14,16
2022-12-15,14
2022-12-16,16
2022-12-17,17
2022-12-18,17
2022-12-19,16
2022-12-20,16
2022-12-21,15
2022-12-22,16
2022-12-23,22
2022-12-24,19
2022-12-25,24
2022-12-26,19
2022-12-27,22
2022-12-28,19
2022-12-29,22
2022-12-30,21
2022-12-31,24
2023-01-01,21
2023-01-02,17
2023-01-03,16
2023-01-04,17
2023-01-05,19
2023-01-06,17
2023-01-07,24
2023-01-08,22
2023-01-09,25
2023-01-10,23
2023-01-11,18
2023-01-12,18
2023-01-13,22
2023-01-14,26
2023-01-15,19
2023-01-16,17
2023-01-17,16
2023-01-18,23
2023-01-19,22
2023-01-20,20
2023-01-21,31
2023-01-22,20
2023-01-23,16
2023-01-24,17
2023-01-25,19
2023-01-26,16
2023-01-27,16
2023-01-28,17
2023-01-29,21
2023-01-30,14
2023-01-31,16
2023-02-01,16
2023-02-02,15
2023-02-03,15
2023-02-04,18
2023-02-05,20
2023-02-06,15
2023-02-07,16
2023-02-08,22
2023-02-09,21
2023-02-10,18
2023-02-11,19
2023-02-12,19
2023-02-13,13
2023-02-14,13
2023-02-15,15
2023-02-16,18
2023-02-17,19
2023-02-18,22
2023-02-19,26
2023-02-20,24
2023-02-21,19
2023-02-22,19
2023-02-23,23
2023-02-24,19
2023-02-25,19
2023-02-26,18
2023-02-27,16
2023-02-28,14
2023-03-01,17
2023-03-02,18
2023-03-03,15
2023-03-04,16
2023-03-05,19
2023-03-06,15
2023-03-07,14
2023-03-08,17
2023-03-09,33
2023-03-10,24
2023-03-11,28
2023-03-12,28
2023-03-13,17
2023-03-14,20
2023-03-15,19
2023-03-16,32
2023-03-17,32
2023-03-18,28
2023-03-19,26
2023-03-20,20
2023-03-21,19
2023-03-22,17
2023-03-23,20
2023-03-24,18
2023-03-25,18
2023-03-26,18
2023-03-27,17
2023-03-28,16
2023-03-29,14
2023-03-30,15
2023-03-31,18
2023-04-01,19
2023-04-02,20
2023-04-03,16
2023-04-04,16
2023-04-05,17
2023-04-06,17
2023-04-07,17
2023-04-08,25
2023-04-09,25
2023-04-10,17
2023-04-11,13
2023-04-12,19
2023-04-13,15
2023-04-14,17
2023-04-15,18
2023-04-16,20
2023-04-17,15
2023-04-18,18
2023-04-19,16
2023-04-20,16
2023-04-21,16
2023-04-22,20
2023-04-23,23
2023-04-24,19
2023-04-25,19
2023-04-26,18
2023-04-27,17
2023-04-28,21
2023-04-29,23
2023-04-30,28
2023-05-01,23
2023-05-02,25
2023-05-03,45
2023-05-04,30
2023-05-05,20
2023-05-06,30
2023-05-07,29
2023-05-08,100
2023-05-09,33
2023-05-10,47
2023-05-11,36
2023-05-12,25
2023-05-13,38
2023-05-14,33
2023-05-15,35
2023-05-16,29
2023-05-17,26
2023-05-18,36
2023-05-19,22
2023-05-20,29
2023-05-21,29
2023-05-22,25
2023-05-23,26
2023-05-24,26
2023-05-25,26
