Time,jalen ramsey
2023-12-22,19
2023-12-23,16
2023-12-24,49
2023-12-25,28
2023-12-26,13
2023-12-27,16
2023-12-28,16
2023-12-29,19
2023-12-30,20
2023-12-31,39
2024-01-01,19
2024-01-02,11
2024-01-03,13
2024-01-04,20
2024-01-05,13
2024-01-06,15
2024-01-07,17
2024-01-08,46
2024-01-09,12
2024-01-10,10
2024-01-11,11
2024-01-12,11
2024-01-13,15
2024-01-14,63
2024-01-15,22
2024-01-16,15
2024-01-17,9
2024-01-18,10
2024-01-19,12
2024-01-20,20
2024-01-21,13
2024-01-22,11
2024-01-23,10
2024-01-24,10
2024-01-25,12
2024-01-26,11
2024-01-27,8
2024-01-28,8
2024-01-29,8
2024-01-30,8
2024-01-31,8
2024-02-01,7
2024-02-02,12
2024-02-03,11
2024-02-04,9
2024-02-05,7
2024-02-06,7
2024-02-07,6
2024-02-08,6
2024-02-09,9
2024-02-10,7
2024-02-11,8
2024-02-12,10
2024-02-13,7
2024-02-14,7
2024-02-15,6
2024-02-16,9
2024-02-17,9
2024-02-18,10
2024-02-19,7
2024-02-20,11
2024-02-21,8
2024-02-22,5
2024-02-23,9
2024-02-24,14
2024-02-25,10
2024-02-26,8
2024-02-27,7
2024-02-28,5
2024-02-29,7
2024-03-01,7
2024-03-02,6
2024-03-03,7
2024-03-04,5
2024-03-05,5
2024-03-06,6
2024-03-07,8
2024-03-08,5
2024-03-09,4
2024-03-10,5
2024-03-11,10
2024-03-12,12
2024-03-13,9
2024-03-14,9
2024-03-15,9
2024-03-16,15
2024-03-17,17
2024-03-18,14
2024-03-19,7
2024-03-20,8
2024-03-21,5
2024-03-22,8
2024-03-23,11
2024-03-24,6
2024-03-25,7
2024-03-26,7
2024-03-27,9
2024-03-28,6
2024-03-29,6
2024-03-30,7
2024-03-31,11
2024-04-01,7
2024-04-02,5
2024-04-03,7
2024-04-04,4
2024-04-05,5
2024-04-06,4
2024-04-07,5
2024-04-08,4
2024-04-09,3
2024-04-10,6
2024-04-11,6
2024-04-12,7
2024-04-13,3
2024-04-14,4
2024-04-15,4
2024-04-16,7
2024-04-17,5
2024-04-18,5
2024-04-19,5
2024-04-20,7
2024-04-21,8
2024-04-22,7
2024-04-23,6
2024-04-24,13
2024-04-25,10
2024-04-26,17
2024-04-27,10
2024-04-28,8
2024-04-29,8
2024-04-30,6
2024-05-01,7
2024-05-02,5
2024-05-03,12
2024-05-04,7
2024-05-05,10
2024-05-06,7
2024-05-07,6
2024-05-08,6
2024-05-09,4
2024-05-10,5
2024-05-11,0
2024-05-12,7
2024-05-13,8
2024-05-14,6
2024-05-15,6
2024-05-16,4
2024-05-17,4
2024-05-18,5
2024-05-19,4
2024-05-20,7
2024-05-21,7
2024-05-22,6
2024-05-23,4
2024-05-24,5
2024-05-25,0
2024-05-26,6
2024-05-27,6
2024-05-28,5
2024-05-29,7
2024-05-30,5
2024-05-31,6
2024-06-01,6
2024-06-02,6
2024-06-03,7
2024-06-04,6
2024-06-05,6
2024-06-06,3
2024-06-07,6
2024-06-08,6
2024-06-09,4
2024-06-10,5
2024-06-11,4
2024-06-12,4
2024-06-13,6
2024-06-14,5
2024-06-15,0
2024-06-16,8
2024-06-17,5
2024-06-18,5
2024-06-19,7
2024-06-20,5
2024-06-21,4
2024-06-22,5
2024-06-23,5
2024-06-24,5
2024-06-25,6
2024-06-26,4
2024-06-27,5
2024-06-28,8
2024-06-29,5
2024-06-30,6
2024-07-01,6
2024-07-02,4
2024-07-03,4
2024-07-04,4
2024-07-05,5
2024-07-06,7
2024-07-07,5
2024-07-08,5
2024-07-09,6
2024-07-10,6
2024-07-11,4
2024-07-12,8
2024-07-13,8
2024-07-14,6
2024-07-15,7
2024-07-16,5
2024-07-17,6
2024-07-18,6
2024-07-19,9
2024-07-20,7
2024-07-21,4
2024-07-22,6
2024-07-23,6
2024-07-24,7
2024-07-25,10
2024-07-26,7
2024-07-27,8
2024-07-28,3
2024-07-29,7
2024-07-30,7
2024-07-31,11
2024-08-01,9
2024-08-02,9
2024-08-03,5
2024-08-04,10
2024-08-05,7
2024-08-06,6
2024-08-07,7
2024-08-08,7
2024-08-09,5
2024-08-10,11
2024-08-11,8
2024-08-12,8
2024-08-13,9
2024-08-14,7
2024-08-15,11
2024-08-16,11
2024-08-17,12
2024-08-18,8
2024-08-19,9
2024-08-20,11
2024-08-21,8
2024-08-22,11
2024-08-23,8
2024-08-24,14
2024-08-25,19
2024-08-26,9
2024-08-27,8
2024-08-28,10
2024-08-29,8
2024-08-30,9
2024-08-31,8
2024-09-01,9
2024-09-02,12
2024-09-03,19
2024-09-04,13
2024-09-05,16
2024-09-06,100
2024-09-07,54
2024-09-08,61
2024-09-09,40
2024-09-10,26
2024-09-11,22
2024-09-12,35
2024-09-13,57
2024-09-14,29
2024-09-15,30
2024-09-16,22
