Time,nvidia stock
2023-12-22,10
2023-12-23,5
2023-12-24,3
2023-12-25,3
2023-12-26,9
2023-12-27,10
2023-12-28,9
2023-12-29,8
2023-12-30,3
2023-12-31,2
2024-01-01,3
2024-01-02,9
2024-01-03,9
2024-01-04,8
2024-01-05,8
2024-01-06,3
2024-01-07,2
2024-01-08,12
2024-01-09,16
2024-01-10,16
2024-01-11,15
2024-01-12,12
2024-01-13,4
2024-01-14,3
2024-01-15,4
2024-01-16,12
2024-01-17,13
2024-01-18,14
2024-01-19,17
2024-01-20,7
2024-01-21,5
2024-01-22,17
2024-01-23,15
2024-01-24,18
2024-01-25,19
2024-01-26,14
2024-01-27,5
2024-01-28,3
2024-01-29,12
2024-01-30,14
2024-01-31,13
2024-02-01,13
2024-02-02,17
2024-02-03,7
2024-02-04,5
2024-02-05,18
2024-02-06,21
2024-02-07,19
2024-02-08,19
2024-02-09,21
2024-02-10,10
2024-02-11,6
2024-02-12,20
2024-02-13,22
2024-02-14,21
2024-02-15,23
2024-02-16,21
2024-02-17,8
2024-02-18,6
2024-02-19,9
2024-02-20,32
2024-02-21,75
2024-02-22,99
2024-02-23,74
2024-02-24,25
2024-02-25,14
2024-02-26,32
2024-02-27,30
2024-02-28,25
2024-02-29,24
2024-03-01,27
2024-03-02,13
2024-03-03,9
2024-03-04,32
2024-03-05,29
2024-03-06,28
2024-03-07,34
2024-03-08,48
2024-03-09,19
2024-03-10,11
2024-03-11,34
2024-03-12,34
2024-03-13,33
2024-03-14,29
2024-03-15,26
2024-03-16,10
2024-03-17,7
2024-03-18,32
2024-03-19,37
2024-03-20,32
2024-03-21,29
2024-03-22,26
2024-03-23,10
2024-03-24,8
2024-03-25,25
2024-03-26,26
2024-03-27,25
2024-03-28,23
2024-03-29,11
2024-03-30,5
2024-03-31,5
2024-04-01,21
2024-04-02,18
2024-04-03,18
2024-04-04,18
2024-04-05,19
2024-04-06,6
2024-04-07,5
2024-04-08,15
2024-04-09,18
2024-04-10,18
2024-04-11,18
2024-04-12,17
2024-04-13,6
2024-04-14,4
2024-04-15,16
2024-04-16,16
2024-04-17,17
2024-04-18,17
2024-04-19,26
2024-04-20,11
2024-04-21,7
2024-04-22,23
2024-04-23,20
2024-04-24,22
2024-04-25,20
2024-04-26,19
2024-04-27,7
2024-04-28,7
2024-04-29,20
2024-04-30,17
2024-05-01,17
2024-05-02,16
2024-05-03,16
2024-05-04,5
2024-05-05,4
2024-05-06,18
2024-05-07,18
2024-05-08,15
2024-05-09,16
2024-05-10,16
2024-05-11,7
2024-05-12,6
2024-05-13,16
2024-05-14,16
2024-05-15,19
2024-05-16,19
2024-05-17,16
2024-05-18,6
2024-05-19,5
2024-05-20,22
2024-05-21,27
2024-05-22,67
2024-05-23,100
2024-05-24,48
2024-05-25,18
2024-05-26,12
2024-05-27,12
2024-05-28,53
2024-05-29,54
2024-05-30,42
2024-05-31,36
2024-06-01,17
2024-06-02,13
2024-06-03,37
2024-06-04,38
2024-06-05,67
2024-06-06,78
2024-06-07,73
2024-06-08,32
2024-06-09,22
2024-06-10,89
2024-06-11,72
2024-06-12,60
2024-06-13,57
2024-06-14,54
2024-06-15,18
2024-06-16,13
2024-06-17,48
2024-06-18,64
2024-06-19,43
2024-06-20,70
2024-06-21,63
2024-06-22,19
2024-06-23,15
2024-06-24,67
2024-06-25,70
2024-06-26,58
2024-06-27,43
2024-06-28,40
2024-06-29,13
2024-06-30,9
2024-07-01,40
2024-07-02,35
2024-07-03,37
2024-07-04,14
2024-07-05,33
2024-07-06,11
2024-07-07,9
2024-07-08,34
2024-07-09,36
2024-07-10,39
2024-07-11,39
2024-07-12,36
2024-07-13,11
2024-07-14,7
2024-07-15,34
2024-07-16,36
2024-07-17,42
2024-07-18,38
2024-07-19,34
2024-07-20,10
2024-07-21,8
2024-07-22,34
2024-07-23,31
2024-07-24,35
2024-07-25,42
2024-07-26,32
2024-07-27,8
2024-07-28,7
2024-07-29,28
2024-07-30,38
2024-07-31,46
2024-08-01,41
2024-08-02,43
2024-08-03,14
2024-08-04,10
2024-08-05,82
2024-08-06,60
2024-08-07,41
2024-08-08,38
2024-08-09,34
2024-08-10,10
2024-08-11,7
2024-08-12,32
2024-08-13,37
2024-08-14,38
2024-08-15,38
2024-08-16,35
2024-08-17,12
2024-08-18,8
2024-08-19,37
2024-08-20,36
2024-08-21,31
2024-08-22,31
2024-08-23,32
2024-08-24,12
2024-08-25,9
2024-08-26,39
2024-08-27,40
2024-08-28,98
2024-08-29,84
2024-08-30,39
2024-08-31,12
2024-09-01,8
2024-09-02,9
2024-09-03,42
2024-09-04,59
2024-09-05,40
2024-09-06,35
2024-09-07,12
2024-09-08,8
2024-09-09,30
2024-09-10,30
2024-09-11,31
2024-09-12,34
2024-09-13,30
2024-09-14,8
2024-09-15,6
2024-09-16,27
