Time,shirk
2022-01-01,17
2022-01-02,25
2022-01-03,25
2022-01-04,23
2022-01-05,23
2022-01-06,17
2022-01-07,19
2022-01-08,23
2022-01-09,20
2022-01-10,16
2022-01-11,24
2022-01-12,12
2022-01-13,31
2022-01-14,13
2022-01-15,17
2022-01-16,20
2022-01-17,39
2022-01-18,24
2022-01-19,15
2022-01-20,26
2022-01-21,19
2022-01-22,17
2022-01-23,29
2022-01-24,23
2022-01-25,24
2022-01-26,18
2022-01-27,23
2022-01-28,21
2022-01-29,16
2022-01-30,18
2022-01-31,18
2022-02-01,22
2022-02-02,25
2022-02-03,27
2022-02-04,25
2022-02-05,28
2022-02-06,33
2022-02-07,24
2022-02-08,25
2022-02-09,23
2022-02-10,20
2022-02-11,24
2022-02-12,17
2022-02-13,19
2022-02-14,22
2022-02-15,24
2022-02-16,22
2022-02-17,20
2022-02-18,19
2022-02-19,21
2022-02-20,18
2022-02-21,22
2022-02-22,30
2022-02-23,20
2022-02-24,16
2022-02-25,21
2022-02-26,28
2022-02-27,22
2022-02-28,31
2022-03-01,24
2022-03-02,23
2022-03-03,20
2022-03-04,20
2022-03-05,10
2022-03-06,17
2022-03-07,29
2022-03-08,26
2022-03-09,37
2022-03-10,27
2022-03-11,29
2022-03-12,28
2022-03-13,10
2022-03-14,24
2022-03-15,17
2022-03-16,28
2022-03-17,26
2022-03-18,23
2022-03-19,28
2022-03-20,20
2022-03-21,32
2022-03-22,23
2022-03-23,26
2022-03-24,19
2022-03-25,20
2022-03-26,24
2022-03-27,20
2022-03-28,26
2022-03-29,23
2022-03-30,20
2022-03-31,22
2022-04-01,24
2022-04-02,23
2022-04-03,18
2022-04-04,34
2022-04-05,27
2022-04-06,37
2022-04-07,25
2022-04-08,21
2022-04-09,21
2022-04-10,20
2022-04-11,28
2022-04-12,26
2022-04-13,25
2022-04-14,22
2022-04-15,26
2022-04-16,18
2022-04-17,22
2022-04-18,31
2022-04-19,28
2022-04-20,31
2022-04-21,27
2022-04-22,23
2022-04-23,20
2022-04-24,20
2022-04-25,27
2022-04-26,24
2022-04-27,29
2022-04-28,23
2022-04-29,23
2022-04-30,24
2022-05-01,22
2022-05-02,29
2022-05-03,32
2022-05-04,20
2022-05-05,30
2022-05-06,25
2022-05-07,23
2022-05-08,21
2022-05-09,28
2022-05-10,19
2022-05-11,17
2022-05-12,21
2022-05-13,22
2022-05-14,17
2022-05-15,17
2022-05-16,18
2022-05-17,26
2022-05-18,26
2022-05-19,25
2022-05-20,19
2022-05-21,17
2022-05-22,23
2022-05-23,22
2022-05-24,28
2022-05-25,19
2022-05-26,17
2022-05-27,20
2022-05-28,12
2022-05-29,11
2022-05-30,18
2022-05-31,30
2022-06-01,30
2022-06-02,21
2022-06-03,21
2022-06-04,20
2022-06-05,25
2022-06-06,39
2022-06-07,26
2022-06-08,29
2022-06-09,13
2022-06-10,15
2022-06-11,15
2022-06-12,100
2022-06-13,37
2022-06-14,20
2022-06-15,22
2022-06-16,21
2022-06-17,21
2022-06-18,15
2022-06-19,18
2022-06-20,19
2022-06-21,20
2022-06-22,26
2022-06-23,30
2022-06-24,20
2022-06-25,22
2022-06-26,12
2022-06-27,27
2022-06-28,23
2022-06-29,22
2022-06-30,21
2022-07-01,24
2022-07-02,17
2022-07-03,10
2022-07-04,15
2022-07-05,16
2022-07-06,35
2022-07-07,23
2022-07-08,26
2022-07-09,21
2022-07-10,25
2022-07-11,19
2022-07-12,24
2022-07-13,24
2022-07-14,24
2022-07-15,27
2022-07-16,20
2022-07-17,20
2022-07-18,18
2022-07-19,24
2022-07-20,28
2022-07-21,25
2022-07-22,26
2022-07-23,22
2022-07-24,13
2022-07-25,31
2022-07-26,22
2022-07-27,26
2022-07-28,21
2022-07-29,18
2022-07-30,18
2022-07-31,24
2022-08-01,21
2022-08-02,23
2022-08-03,22
2022-08-04,23
2022-08-05,28
2022-08-06,26
2022-08-07,41
2022-08-08,22
2022-08-09,19
2022-08-10,23
2022-08-11,21
2022-08-12,22
2022-08-13,22
2022-08-14,13
2022-08-15,25
2022-08-16,32
2022-08-17,29
2022-08-18,29
2022-08-19,26
2022-08-20,14
2022-08-21,17
2022-08-22,24
2022-08-23,27
2022-08-24,20
2022-08-25,28
2022-08-26,24
2022-08-27,19
2022-08-28,19
2022-08-29,21
2022-08-30,28
2022-08-31,29
2022-09-01,20
2022-09-02,19
2022-09-03,18
2022-09-04,19
2022-09-05,28
2022-09-06,28
2022-09-07,29
2022-09-08,24
2022-09-09,26
2022-09-10,22
2022-09-11,22
2022-09-12,17
2022-09-13,23
2022-09-14,26
2022-09-15,46
2022-09-16,17
2022-09-17,14
2022-09-18,16
2022-09-19,22
2022-09-20,24
2022-09-21,23
2022-09-22,27
2022-09-23,21
2022-09-24,21
2022-09-25,13
2022-09-26,23
2022-09-27,60
