Time,capital one
2022-08-29,43
2022-08-30,45
2022-08-31,47
2022-09-01,51
2022-09-02,51
2022-09-03,41
2022-09-04,33
2022-09-05,38
2022-09-06,47
2022-09-07,47
2022-09-08,48
2022-09-09,45
2022-09-10,38
2022-09-11,32
2022-09-12,43
2022-09-13,41
2022-09-14,47
2022-09-15,46
2022-09-16,48
2022-09-17,39
2022-09-18,34
2022-09-19,41
2022-09-20,44
2022-09-21,44
2022-09-22,43
2022-09-23,42
2022-09-24,36
2022-09-25,30
2022-09-26,42
2022-09-27,41
2022-09-28,41
2022-09-29,46
2022-09-30,45
2022-10-01,41
2022-10-02,34
2022-10-03,47
2022-10-04,46
2022-10-05,47
2022-10-06,46
2022-10-07,47
2022-10-08,39
2022-10-09,32
2022-10-10,42
2022-10-11,45
2022-10-12,47
2022-10-13,46
2022-10-14,49
2022-10-15,37
2022-10-16,33
2022-10-17,45
2022-10-18,45
2022-10-19,45
2022-10-20,45
2022-10-21,44
2022-10-22,37
2022-10-23,30
2022-10-24,44
2022-10-25,42
2022-10-26,41
2022-10-27,42
2022-10-28,45
2022-10-29,36
2022-10-30,30
2022-10-31,42
2022-11-01,54
2022-11-02,54
2022-11-03,51
2022-11-04,50
2022-11-05,40
2022-11-06,34
2022-11-07,47
2022-11-08,43
2022-11-09,41
2022-11-10,48
2022-11-11,44
2022-11-12,38
2022-11-13,33
2022-11-14,50
2022-11-15,91
2022-11-16,100
2022-11-17,50
2022-11-18,46
2022-11-19,40
2022-11-20,33
2022-11-21,42
2022-11-22,42
2022-11-23,45
2022-11-24,26
2022-11-25,41
2022-11-26,35
2022-11-27,34
2022-11-28,43
2022-11-29,43
2022-11-30,45
2022-12-01,49
2022-12-02,49
2022-12-03,40
2022-12-04,34
2022-12-05,45
2022-12-06,45
2022-12-07,44
2022-12-08,48
2022-12-09,47
2022-12-10,40
2022-12-11,36
2022-12-12,44
2022-12-13,45
2022-12-14,46
2022-12-15,48
2022-12-16,47
2022-12-17,41
2022-12-18,31
2022-12-19,45
2022-12-20,44
2022-12-21,44
2022-12-22,43
2022-12-23,40
2022-12-24,29
2022-12-25,22
2022-12-26,36
2022-12-27,45
2022-12-28,49
2022-12-29,48
2022-12-30,49
2022-12-31,39
2023-01-01,32
2023-01-02,45
2023-01-03,49
2023-01-04,48
2023-01-05,51
2023-01-06,50
2023-01-07,42
2023-01-08,36
2023-01-09,43
2023-01-10,46
2023-01-11,45
2023-01-12,45
2023-01-13,46
2023-01-14,42
2023-01-15,32
2023-01-16,40
2023-01-17,44
2023-01-18,46
2023-01-19,47
2023-01-20,51
2023-01-21,41
2023-01-22,33
2023-01-23,43
2023-01-24,45
2023-01-25,42
2023-01-26,42
2023-01-27,44
2023-01-28,40
2023-01-29,33
2023-01-30,41
2023-01-31,46
2023-02-01,50
2023-02-02,52
2023-02-03,52
2023-02-04,45
2023-02-05,38
2023-02-06,48
2023-02-07,47
2023-02-08,48
2023-02-09,47
2023-02-10,49
2023-02-11,43
2023-02-12,34
2023-02-13,42
2023-02-14,45
2023-02-15,48
2023-02-16,47
2023-02-17,50
2023-02-18,43
2023-02-19,37
2023-02-20,45
2023-02-21,44
2023-02-22,46
2023-02-23,47
2023-02-24,48
2023-02-25,42
2023-02-26,37
2023-02-27,47
2023-02-28,51
2023-03-01,52
2023-03-02,51
2023-03-03,50
2023-03-04,46
2023-03-05,38
2023-03-06,50
2023-03-07,47
2023-03-08,49
2023-03-09,49
2023-03-10,51
2023-03-11,44
2023-03-12,40
2023-03-13,52
2023-03-14,50
2023-03-15,52
2023-03-16,49
2023-03-17,50
2023-03-18,43
2023-03-19,38
2023-03-20,47
2023-03-21,44
2023-03-22,46
2023-03-23,45
2023-03-24,46
2023-03-25,39
2023-03-26,34
2023-03-27,44
2023-03-28,43
2023-03-29,43
2023-03-30,44
2023-03-31,49
2023-04-01,43
2023-04-02,38
2023-04-03,48
2023-04-04,49
2023-04-05,46
2023-04-06,48
2023-04-07,48
2023-04-08,40
2023-04-09,33
2023-04-10,48
2023-04-11,50
2023-04-12,50
2023-04-13,51
2023-04-14,51
2023-04-15,40
2023-04-16,34
2023-04-17,47
2023-04-18,46
2023-04-19,46
2023-04-20,45
2023-04-21,48
2023-04-22,38
2023-04-23,32
2023-04-24,42
2023-04-25,41
2023-04-26,43
2023-04-27,43
2023-04-28,46
2023-04-29,40
2023-04-30,34
2023-05-01,52
2023-05-02,49
2023-05-03,50
2023-05-04,48
2023-05-05,47
2023-05-06,38
2023-05-07,35
2023-05-08,46
2023-05-09,45
2023-05-10,44
2023-05-11,45
2023-05-12,48
2023-05-13,39
2023-05-14,32
2023-05-15,50
2023-05-16,52
2023-05-17,46
2023-05-18,44
2023-05-19,46
2023-05-20,39
2023-05-21,34
2023-05-22,43
2023-05-23,44
2023-05-24,46
2023-05-25,46
