Time,capital one
2023-04-26,79
2023-04-27,78
2023-04-28,84
2023-04-29,73
2023-04-30,63
2023-05-01,94
2023-05-02,89
2023-05-03,91
2023-05-04,87
2023-05-05,85
2023-05-06,70
2023-05-07,63
2023-05-08,85
2023-05-09,83
2023-05-10,81
2023-05-11,82
2023-05-12,87
2023-05-13,71
2023-05-14,58
2023-05-15,91
2023-05-16,95
2023-05-17,83
2023-05-18,80
2023-05-19,85
2023-05-20,71
2023-05-21,61
2023-05-22,78
2023-05-23,80
2023-05-24,84
2023-05-25,83
2023-05-26,85
2023-05-27,68
2023-05-28,57
2023-05-29,61
2023-05-30,81
2023-05-31,89
2023-06-01,100
2023-06-02,95
2023-06-03,76
2023-06-04,67
2023-06-05,88
2023-06-06,85
2023-06-07,88
2023-06-08,87
2023-06-09,89
2023-06-10,71
2023-06-11,65
2023-06-12,90
2023-06-13,86
2023-06-14,89
2023-06-15,97
2023-06-16,93
2023-06-17,71
2023-06-18,56
2023-06-19,82
2023-06-20,82
2023-06-21,87
2023-06-22,83
2023-06-23,82
2023-06-24,71
2023-06-25,59
2023-06-26,83
2023-06-27,86
2023-06-28,83
2023-06-29,84
2023-06-30,94
2023-07-01,79
2023-07-02,68
2023-07-03,92
2023-07-04,69
2023-07-05,91
2023-07-06,95
2023-07-07,96
2023-07-08,74
2023-07-09,67
2023-07-10,93
2023-07-11,92
2023-07-12,86
2023-07-13,91
2023-07-14,95
2023-07-15,75
2023-07-16,67
2023-07-17,94
2023-07-18,91
2023-07-19,89
2023-07-20,84
2023-07-21,85
2023-07-22,76
2023-07-23,62
2023-07-24,85
2023-07-25,77
2023-07-26,85
2023-07-27,82
2023-07-28,89
2023-07-29,74
2023-07-30,61
2023-07-31,84
2023-08-01,94
2023-08-02,90
2023-08-03,97
2023-08-04,94
2023-08-05,75
2023-08-06,65
2023-08-07,87
2023-08-08,88
2023-08-09,90
2023-08-10,87
2023-08-11,97
2023-08-12,71
2023-08-13,62
2023-08-14,86
2023-08-15,87
2023-08-16,90
2023-08-17,87
2023-08-18,93
2023-08-19,73
2023-08-20,60
2023-08-21,83
2023-08-22,80
2023-08-23,80
2023-08-24,80
2023-08-25,79
2023-08-26,66
2023-08-27,62
2023-08-28,80
2023-08-29,75
2023-08-30,76
2023-08-31,86
2023-09-01,95
2023-09-02,75
2023-09-03,60
2023-09-04,68
2023-09-05,84
2023-09-06,87
2023-09-07,89
2023-09-08,86
2023-09-09,71
2023-09-10,61
2023-09-11,81
2023-09-12,77
2023-09-13,82
2023-09-14,84
2023-09-15,90
2023-09-16,71
2023-09-17,61
2023-09-18,81
2023-09-19,81
2023-09-20,81
2023-09-21,84
2023-09-22,81
2023-09-23,68
2023-09-24,60
2023-09-25,77
2023-09-26,76
2023-09-27,79
2023-09-28,87
2023-09-29,88
2023-09-30,75
2023-10-01,71
2023-10-02,91
2023-10-03,93
2023-10-04,88
2023-10-05,86
2023-10-06,91
2023-10-07,73
2023-10-08,62
2023-10-09,77
2023-10-10,87
2023-10-11,85
2023-10-12,88
2023-10-13,95
2023-10-14,74
2023-10-15,66
2023-10-16,85
2023-10-17,82
2023-10-18,82
2023-10-19,81
2023-10-20,87
2023-10-21,71
2023-10-22,60
2023-10-23,78
2023-10-24,77
2023-10-25,80
2023-10-26,79
2023-10-27,80
2023-10-28,66
2023-10-29,53
2023-10-30,77
2023-10-31,81
2023-11-01,91
2023-11-02,89
2023-11-03,88
2023-11-04,72
2023-11-05,63
2023-11-06,81
2023-11-07,85
2023-11-08,85
2023-11-09,86
2023-11-10,86
2023-11-11,71
2023-11-12,61
2023-11-13,78
2023-11-14,78
2023-11-15,84
2023-11-16,82
2023-11-17,85
2023-11-18,70
2023-11-19,60
2023-11-20,79
2023-11-21,79
2023-11-22,80
2023-11-23,54
2023-11-24,72
2023-11-25,64
2023-11-26,61
2023-11-27,83
2023-11-28,84
2023-11-29,80
2023-11-30,84
2023-12-01,89
2023-12-02,83
2023-12-03,66
2023-12-04,84
2023-12-05,85
2023-12-06,86
2023-12-07,81
2023-12-08,86
2023-12-09,75
2023-12-10,67
2023-12-11,82
2023-12-12,84
2023-12-13,84
2023-12-14,84
2023-12-15,86
2023-12-16,72
2023-12-17,62
2023-12-18,74
2023-12-19,85
2023-12-20,84
2023-12-21,83
2023-12-22,84
2023-12-23,66
2023-12-24,48
2023-12-25,43
2023-12-26,78
2023-12-27,88
2023-12-28,90
2023-12-29,89
2023-12-30,76
2023-12-31,60
2024-01-01,66
2024-01-02,90
2024-01-03,100
2024-01-04,90
2024-01-05,92
2024-01-06,74
2024-01-07,63
2024-01-08,78
2024-01-09,81
2024-01-10,84
2024-01-11,86
2024-01-12,85
2024-01-13,71
2024-01-14,56
2024-01-15,72
2024-01-16,76
2024-01-17,81
2024-01-18,77
2024-01-19,80
2024-01-20,71
