Time,capital one
2024-08-18,32
2024-08-19,38
2024-08-20,39
2024-08-21,39
2024-08-22,38
2024-08-23,39
2024-08-24,31
2024-08-25,27
2024-08-26,38
2024-08-27,37
2024-08-28,39
2024-08-29,38
2024-08-30,41
2024-08-31,33
2024-09-01,30
2024-09-02,33
2024-09-03,41
2024-09-04,41
2024-09-05,39
2024-09-06,37
2024-09-07,36
2024-09-08,31
2024-09-09,42
2024-09-10,39
2024-09-11,37
2024-09-12,37
2024-09-13,42
2024-09-14,33
2024-09-15,27
2024-09-16,39
2024-09-17,39
2024-09-18,39
2024-09-19,40
2024-09-20,38
2024-09-21,32
2024-09-22,26
2024-09-23,35
2024-09-24,34
2024-09-25,36
2024-09-26,34
2024-09-27,35
2024-09-28,33
2024-09-29,26
2024-09-30,37
2024-10-01,40
2024-10-02,40
2024-10-03,39
2024-10-04,39
2024-10-05,32
2024-10-06,26
2024-10-07,36
2024-10-08,34
2024-10-09,36
2024-10-10,35
2024-10-11,37
2024-10-12,31
2024-10-13,27
2024-10-14,36
2024-10-15,39
2024-10-16,37
2024-10-17,35
2024-10-18,37
2024-10-19,28
2024-10-20,25
2024-10-21,34
2024-10-22,35
2024-10-23,34
2024-10-24,34
2024-10-25,35
2024-10-26,27
2024-10-27,23
2024-10-28,33
2024-10-29,33
2024-10-30,34
2024-10-31,34
2024-11-01,40
2024-11-02,32
2024-11-03,27
2024-11-04,36
2024-11-05,32
2024-11-06,24
2024-11-07,35
2024-11-08,37
2024-11-09,29
2024-11-10,24
2024-11-11,33
2024-11-12,34
2024-11-13,37
2024-11-14,35
2024-11-15,36
2024-11-16,29
2024-11-17,27
2024-11-18,38
2024-11-19,34
2024-11-20,35
2024-11-21,33
2024-11-22,34
2024-11-23,26
2024-11-24,24
2024-11-25,33
2024-11-26,34
2024-11-27,35
2024-11-28,22
2024-11-29,33
2024-11-30,32
2024-12-01,31
2024-12-02,39
2024-12-03,37
2024-12-04,37
2024-12-05,35
2024-12-06,36
2024-12-07,30
2024-12-08,26
2024-12-09,31
2024-12-10,33
2024-12-11,35
2024-12-12,35
2024-12-13,36
2024-12-14,31
2024-12-15,26
2024-12-16,35
2024-12-17,36
2024-12-18,35
2024-12-19,36
2024-12-20,37
2024-12-21,31
2024-12-22,25
2024-12-23,33
2024-12-24,30
2024-12-25,19
2024-12-26,35
2024-12-27,39
2024-12-28,31
2024-12-29,26
2024-12-30,37
2024-12-31,40
2025-01-01,33
2025-01-02,43
2025-01-03,43
2025-01-04,35
2025-01-05,29
2025-01-06,36
2025-01-07,37
2025-01-08,36
2025-01-09,37
2025-01-10,39
2025-01-11,33
2025-01-12,30
2025-01-13,43
2025-01-14,38
2025-01-15,41
2025-01-16,55
2025-01-17,100
2025-01-18,61
2025-01-19,36
2025-01-20,48
2025-01-21,37
2025-01-22,37
2025-01-23,35
2025-01-24,35
2025-01-25,31
2025-01-26,27
2025-01-27,32
2025-01-28,35
2025-01-29,34
2025-01-30,35
2025-01-31,37
2025-02-01,34
2025-02-02,31
2025-02-03,36
2025-02-04,36
2025-02-05,34
2025-02-06,35
2025-02-07,36
2025-02-08,30
2025-02-09,24
2025-02-10,31
2025-02-11,34
2025-02-12,34
2025-02-13,36
2025-02-14,35
2025-02-15,33
2025-02-16,29
2025-02-17,33
2025-02-18,36
2025-02-19,37
2025-02-20,37
2025-02-21,37
2025-02-22,31
2025-02-23,29
2025-02-24,35
2025-02-25,36
2025-02-26,36
2025-02-27,37
2025-02-28,41
2025-03-01,38
2025-03-02,32
2025-03-03,39
2025-03-04,38
2025-03-05,39
2025-03-06,36
2025-03-07,38
2025-03-08,34
2025-03-09,29
2025-03-10,36
2025-03-11,37
2025-03-12,37
2025-03-13,36
2025-03-14,38
2025-03-15,32
2025-03-16,29
2025-03-17,36
2025-03-18,36
2025-03-19,37
2025-03-20,40
2025-03-21,36
2025-03-22,29
2025-03-23,28
2025-03-24,34
2025-03-25,34
2025-03-26,34
2025-03-27,35
2025-03-28,36
2025-03-29,33
2025-03-30,29
2025-03-31,37
2025-04-01,40
2025-04-02,35
2025-04-03,39
2025-04-04,41
2025-04-05,33
2025-04-06,33
2025-04-07,38
2025-04-08,36
2025-04-09,38
2025-04-10,38
2025-04-11,39
2025-04-12,32
2025-04-13,27
2025-04-14,37
2025-04-15,38
2025-04-16,36
2025-04-17,35
2025-04-18,41
2025-04-19,29
2025-04-20,22
2025-04-21,35
2025-04-22,34
2025-04-23,34
2025-04-24,34
2025-04-25,33
2025-04-26,26
2025-04-27,23
2025-04-28,33
2025-04-29,33
2025-04-30,35
2025-05-01,38
2025-05-02,39
2025-05-03,34
2025-05-04,27
2025-05-05,36
2025-05-06,36
2025-05-07,34
2025-05-08,34
2025-05-09,35
2025-05-10,27
2025-05-11,24
2025-05-12,34
2025-05-13,36
2025-05-14,35
