Time,ucla basketball
2023-04-26,8
2023-04-27,8
2023-04-28,7
2023-04-29,8
2023-04-30,10
2023-05-01,9
2023-05-02,7
2023-05-03,7
2023-05-04,6
2023-05-05,5
2023-05-06,9
2023-05-07,8
2023-05-08,8
2023-05-09,7
2023-05-10,9
2023-05-11,6
2023-05-12,7
2023-05-13,7
2023-05-14,8
2023-05-15,6
2023-05-16,5
2023-05-17,6
2023-05-18,8
2023-05-19,7
2023-05-20,6
2023-05-21,5
2023-05-22,5
2023-05-23,7
2023-05-24,6
2023-05-25,6
2023-05-26,7
2023-05-27,6
2023-05-28,6
2023-05-29,6
2023-05-30,7
2023-05-31,10
2023-06-01,9
2023-06-02,6
2023-06-03,6
2023-06-04,6
2023-06-05,6
2023-06-06,6
2023-06-07,11
2023-06-08,7
2023-06-09,6
2023-06-10,8
2023-06-11,6
2023-06-12,8
2023-06-13,6
2023-06-14,6
2023-06-15,7
2023-06-16,8
2023-06-17,7
2023-06-18,7
2023-06-19,6
2023-06-20,6
2023-06-21,6
2023-06-22,7
2023-06-23,18
2023-06-24,9
2023-06-25,8
2023-06-26,7
2023-06-27,6
2023-06-28,7
2023-06-29,5
2023-06-30,6
2023-07-01,7
2023-07-02,6
2023-07-03,5
2023-07-04,8
2023-07-05,6
2023-07-06,8
2023-07-07,5
2023-07-08,7
2023-07-09,6
2023-07-10,6
2023-07-11,6
2023-07-12,6
2023-07-13,7
2023-07-14,5
2023-07-15,5
2023-07-16,7
2023-07-17,5
2023-07-18,5
2023-07-19,5
2023-07-20,5
2023-07-21,6
2023-07-22,4
2023-07-23,6
2023-07-24,6
2023-07-25,7
2023-07-26,4
2023-07-27,3
2023-07-28,5
2023-07-29,5
2023-07-30,7
2023-07-31,7
2023-08-01,6
2023-08-02,7
2023-08-03,9
2023-08-04,9
2023-08-05,7
2023-08-06,8
2023-08-07,6
2023-08-08,9
2023-08-09,7
2023-08-10,6
2023-08-11,5
2023-08-12,6
2023-08-13,6
2023-08-14,5
2023-08-15,4
2023-08-16,5
2023-08-17,6
2023-08-18,6
2023-08-19,4
2023-08-20,4
2023-08-21,6
2023-08-22,6
2023-08-23,6
2023-08-24,6
2023-08-25,6
2023-08-26,6
2023-08-27,6
2023-08-28,5
2023-08-29,7
2023-08-30,5
2023-08-31,4
2023-09-01,4
2023-09-02,5
2023-09-03,8
2023-09-04,5
2023-09-05,4
2023-09-06,6
2023-09-07,5
2023-09-08,7
2023-09-09,6
2023-09-10,8
2023-09-11,5
2023-09-12,4
2023-09-13,4
2023-09-14,5
2023-09-15,4
2023-09-16,4
2023-09-17,4
2023-09-18,3
2023-09-19,5
2023-09-20,4
2023-09-21,4
2023-09-22,3
2023-09-23,5
2023-09-24,4
2023-09-25,4
2023-09-26,3
2023-09-27,4
2023-09-28,5
2023-09-29,4
2023-09-30,3
2023-10-01,5
2023-10-02,4
2023-10-03,4
2023-10-04,5
2023-10-05,5
2023-10-06,4
2023-10-07,8
2023-10-08,5
2023-10-09,5
2023-10-10,5
2023-10-11,6
2023-10-12,4
2023-10-13,5
2023-10-14,7
2023-10-15,6
2023-10-16,6
2023-10-17,4
2023-10-18,4
2023-10-19,5
2023-10-20,4
2023-10-21,6
2023-10-22,7
2023-10-23,6
2023-10-24,7
2023-10-25,6
2023-10-26,6
2023-10-27,5
2023-10-28,10
2023-10-29,11
2023-10-30,6
2023-10-31,9
2023-11-01,15
2023-11-02,9
2023-11-03,9
2023-11-04,11
2023-11-05,12
2023-11-06,15
2023-11-07,52
2023-11-08,17
2023-11-09,14
2023-11-10,18
2023-11-11,51
2023-11-12,21
2023-11-13,15
2023-11-14,13
2023-11-15,23
2023-11-16,29
2023-11-17,17
2023-11-18,23
2023-11-19,21
2023-11-20,24
2023-11-21,100
2023-11-22,43
2023-11-23,70
2023-11-24,26
2023-11-25,41
2023-11-26,24
2023-11-27,13
2023-11-28,15
2023-11-29,12
2023-11-30,16
2023-12-01,45
2023-12-02,21
2023-12-03,23
2023-12-04,12
2023-12-05,12
2023-12-06,12
2023-12-07,12
2023-12-08,14
2023-12-09,29
2023-12-10,79
2023-12-11,16
2023-12-12,9
2023-12-13,11
2023-12-14,12
2023-12-15,12
2023-12-16,58
2023-12-17,34
2023-12-18,17
2023-12-19,25
2023-12-20,43
2023-12-21,16
2023-12-22,20
2023-12-23,51
2023-12-24,12
2023-12-25,8
2023-12-26,10
2023-12-27,11
2023-12-28,15
2023-12-29,42
2023-12-30,53
2023-12-31,54
2024-01-01,10
2024-01-02,12
2024-01-03,18
2024-01-04,39
2024-01-05,14
2024-01-06,26
2024-01-07,58
2024-01-08,12
2024-01-09,12
2024-01-10,12
2024-01-11,19
2024-01-12,46
2024-01-13,22
2024-01-14,47
2024-01-15,55
2024-01-16,12
2024-01-17,16
2024-01-18,38
2024-01-19,17
2024-01-20,67
