Time,fast food near me
2023-04-26,24
2023-04-27,27
2023-04-28,30
2023-04-29,42
2023-04-30,41
2023-05-01,26
2023-05-02,24
2023-05-03,25
2023-05-04,26
2023-05-05,29
2023-05-06,41
2023-05-07,41
2023-05-08,27
2023-05-09,24
2023-05-10,25
2023-05-11,27
2023-05-12,30
2023-05-13,44
2023-05-14,39
2023-05-15,26
2023-05-16,25
2023-05-17,27
2023-05-18,30
2023-05-19,34
2023-05-20,44
2023-05-21,48
2023-05-22,28
2023-05-23,26
2023-05-24,29
2023-05-25,33
2023-05-26,37
2023-05-27,46
2023-05-28,49
2023-05-29,45
2023-05-30,31
2023-05-31,29
2023-06-01,34
2023-06-02,36
2023-06-03,49
2023-06-04,50
2023-06-05,34
2023-06-06,32
2023-06-07,32
2023-06-08,33
2023-06-09,36
2023-06-10,47
2023-06-11,50
2023-06-12,34
2023-06-13,33
2023-06-14,34
2023-06-15,37
2023-06-16,42
2023-06-17,49
2023-06-18,47
2023-06-19,36
2023-06-20,34
2023-06-21,35
2023-06-22,38
2023-06-23,42
2023-06-24,49
2023-06-25,52
2023-06-26,39
2023-06-27,36
2023-06-28,34
2023-06-29,37
2023-06-30,42
2023-07-01,50
2023-07-02,51
2023-07-03,43
2023-07-04,46
2023-07-05,45
2023-07-06,35
2023-07-07,41
2023-07-08,50
2023-07-09,44
2023-07-10,35
2023-07-11,32
2023-07-12,34
2023-07-13,35
2023-07-14,37
2023-07-15,46
2023-07-16,46
2023-07-17,35
2023-07-18,31
2023-07-19,33
2023-07-20,34
2023-07-21,39
2023-07-22,43
2023-07-23,48
2023-07-24,36
2023-07-25,31
2023-07-26,33
2023-07-27,35
2023-07-28,38
2023-07-29,49
2023-07-30,44
2023-07-31,35
2023-08-01,32
2023-08-02,32
2023-08-03,32
2023-08-04,36
2023-08-05,42
2023-08-06,44
2023-08-07,32
2023-08-08,29
2023-08-09,30
2023-08-10,30
2023-08-11,34
2023-08-12,42
2023-08-13,44
2023-08-14,30
2023-08-15,28
2023-08-16,28
2023-08-17,30
2023-08-18,35
2023-08-19,43
2023-08-20,41
2023-08-21,29
2023-08-22,26
2023-08-23,27
2023-08-24,29
2023-08-25,33
2023-08-26,41
2023-08-27,41
2023-08-28,28
2023-08-29,26
2023-08-30,26
2023-08-31,29
2023-09-01,33
2023-09-02,42
2023-09-03,42
2023-09-04,41
2023-09-05,25
2023-09-06,25
2023-09-07,24
2023-09-08,28
2023-09-09,41
2023-09-10,37
2023-09-11,23
2023-09-12,24
2023-09-13,24
2023-09-14,25
2023-09-15,29
2023-09-16,43
2023-09-17,39
2023-09-18,25
2023-09-19,23
2023-09-20,24
2023-09-21,28
2023-09-22,29
2023-09-23,41
2023-09-24,39
2023-09-25,27
2023-09-26,24
2023-09-27,23
2023-09-28,28
2023-09-29,29
2023-09-30,42
2023-10-01,40
2023-10-02,26
2023-10-03,23
2023-10-04,26
2023-10-05,26
2023-10-06,30
2023-10-07,40
2023-10-08,41
2023-10-09,29
2023-10-10,23
2023-10-11,26
2023-10-12,25
2023-10-13,30
2023-10-14,40
2023-10-15,41
2023-10-16,27
2023-10-17,23
2023-10-18,23
2023-10-19,26
2023-10-20,31
2023-10-21,41
2023-10-22,40
2023-10-23,24
2023-10-24,24
2023-10-25,24
2023-10-26,25
2023-10-27,29
2023-10-28,40
2023-10-29,40
2023-10-30,25
2023-10-31,22
2023-11-01,25
2023-11-02,26
2023-11-03,26
2023-11-04,37
2023-11-05,37
2023-11-06,23
2023-11-07,22
2023-11-08,21
2023-11-09,23
2023-11-10,29
2023-11-11,37
2023-11-12,34
2023-11-13,23
2023-11-14,21
2023-11-15,22
2023-11-16,22
2023-11-17,25
2023-11-18,35
2023-11-19,33
2023-11-20,26
2023-11-21,24
2023-11-22,28
2023-11-23,57
2023-11-24,40
2023-11-25,29
2023-11-26,31
2023-11-27,20
2023-11-28,19
2023-11-29,21
2023-11-30,23
2023-12-01,25
2023-12-02,34
2023-12-03,30
2023-12-04,22
2023-12-05,20
2023-12-06,20
2023-12-07,21
2023-12-08,25
2023-12-09,36
2023-12-10,35
2023-12-11,22
2023-12-12,22
2023-12-13,23
2023-12-14,23
2023-12-15,22
2023-12-16,33
2023-12-17,32
2023-12-18,22
2023-12-19,21
2023-12-20,23
2023-12-21,25
2023-12-22,27
2023-12-23,31
2023-12-24,35
2023-12-25,100
2023-12-26,63
2023-12-27,28
2023-12-28,29
2023-12-29,28
2023-12-30,30
2023-12-31,33
2024-01-01,51
2024-01-02,29
2024-01-03,23
2024-01-04,22
2024-01-05,24
2024-01-06,30
2024-01-07,27
2024-01-08,22
2024-01-09,19
2024-01-10,19
2024-01-11,21
2024-01-12,22
2024-01-13,28
2024-01-14,29
2024-01-15,22
2024-01-16,18
2024-01-17,20
2024-01-18,20
2024-01-19,20
2024-01-20,24
