Time,google docs
2025-12-11,93
2025-12-12,81
2025-12-13,36
2025-12-14,35
2025-12-15,82
2025-12-16,74
2025-12-17,71
2025-12-18,63
2025-12-19,48
2025-12-20,24
2025-12-21,23
2025-12-22,31
2025-12-23,31
2025-12-24,21
2025-12-25,15
2025-12-26,20
2025-12-27,20
2025-12-28,19
2025-12-29,26
2025-12-30,26
2025-12-31,23
2026-01-01,20
2026-01-02,26
2026-01-03,24
2026-01-04,26
2026-01-05,51
2026-01-06,63
2026-01-07,69
2026-01-08,75
2026-01-09,68
2026-01-10,30
2026-01-11,30
2026-01-12,74
2026-01-13,80
2026-01-14,78
2026-01-15,79
2026-01-16,72
2026-01-17,29
2026-01-18,28
2026-01-19,43
2026-01-20,80
2026-01-21,90
2026-01-22,86
2026-01-23,74
2026-01-24,33
2026-01-25,33
2026-01-26,70
2026-01-27,80
2026-01-28,81
2026-01-29,87
2026-01-30,78
2026-01-31,38
2026-02-01,42
2026-02-02,91
2026-02-03,90
2026-02-04,90
2026-02-05,90
2026-02-06,78
2026-02-07,36
2026-02-08,37
2026-02-09,81
2026-02-10,94
2026-02-11,95
2026-02-12,92
2026-02-13,71
2026-02-14,31
2026-02-15,35
2026-02-16,65
2026-02-17,77
2026-02-18,82
2026-02-19,85
2026-02-20,73
2026-02-21,38
2026-02-22,40
2026-02-23,88
2026-02-24,91
2026-02-25,95
2026-02-26,95
2026-02-27,80
2026-02-28,43
2026-03-01,43
2026-03-02,96
2026-03-03,95
2026-03-04,92
2026-03-05,92
2026-03-06,86
2026-03-07,41
2026-03-08,43
2026-03-09,99
2026-03-10,99
2026-03-11,93
2026-03-12,91
2026-03-13,77
2026-03-14,39
2026-03-15,44
2026-03-16,86
2026-03-17,85
2026-03-18,87
2026-03-19,88
2026-03-20,67
2026-03-21,37
2026-03-22,46
2026-03-23,95
2026-03-24,96
2026-03-25,97
2026-03-26,96
2026-03-27,82
2026-03-28,46
2026-03-29,56
2026-03-30,100
2026-03-31,100
2026-04-01,89
2026-04-02,74
2026-04-03,53
2026-04-04,37
2026-04-05,34
2026-04-06,79
2026-04-07,84
2026-04-08,88
2026-04-09,90
2026-04-10,73
2026-04-11,37
2026-04-12,45
2026-04-13,96
2026-04-14,89
2026-04-15,87
2026-04-16,91
2026-04-17,79
2026-04-18,40
2026-04-19,46
2026-04-20,97
2026-04-21,93
2026-04-22,92
2026-04-23,92
2026-04-24,77
2026-04-25,41
2026-04-26,53
2026-04-27,95
2026-04-28,94
2026-04-29,87
2026-04-30,93
2026-05-01,79
2026-05-02,43
2026-05-03,52
2026-05-04,93
2026-05-05,85
2026-05-06,89
2026-05-07,82
2026-05-08,75
2026-05-09,35
2026-05-10,38
2026-05-11,84
2026-05-12,83
2026-05-13,83
2026-05-14,79
2026-05-15,72
2026-05-16,40
2026-05-17,40
2026-05-18,72
2026-05-19,80
2026-05-20,76
2026-05-21,72
2026-05-22,62
2026-05-23,36
2026-05-24,37
2026-05-25,45
2026-05-26,75
2026-05-27,70
2026-05-28,73
2026-05-29,73
2026-05-30,46
2026-05-31,51
