Time,google docs
2022-08-29,71
2022-08-30,76
2022-08-31,75
2022-09-01,78
2022-09-02,64
2022-09-03,24
2022-09-04,24
2022-09-05,31
2022-09-06,80
2022-09-07,83
2022-09-08,87
2022-09-09,74
2022-09-10,27
2022-09-11,33
2022-09-12,92
2022-09-13,93
2022-09-14,92
2022-09-15,94
2022-09-16,74
2022-09-17,26
2022-09-18,34
2022-09-19,93
2022-09-20,90
2022-09-21,90
2022-09-22,88
2022-09-23,75
2022-09-24,28
2022-09-25,35
2022-09-26,84
2022-09-27,91
2022-09-28,89
2022-09-29,88
2022-09-30,71
2022-10-01,28
2022-10-02,34
2022-10-03,90
2022-10-04,91
2022-10-05,83
2022-10-06,86
2022-10-07,72
2022-10-08,26
2022-10-09,32
2022-10-10,74
2022-10-11,87
2022-10-12,79
2022-10-13,89
2022-10-14,71
2022-10-15,27
2022-10-16,34
2022-10-17,85
2022-10-18,90
2022-10-19,89
2022-10-20,86
2022-10-21,73
2022-10-22,27
2022-10-23,33
2022-10-24,91
2022-10-25,87
2022-10-26,92
2022-10-27,86
2022-10-28,74
2022-10-29,27
2022-10-30,33
2022-10-31,86
2022-11-01,86
2022-11-02,85
2022-11-03,82
2022-11-04,72
2022-11-05,28
2022-11-06,31
2022-11-07,83
2022-11-08,72
2022-11-09,78
2022-11-10,84
2022-11-11,56
2022-11-12,27
2022-11-13,35
2022-11-14,100
2022-11-15,97
2022-11-16,85
2022-11-17,87
2022-11-18,70
2022-11-19,27
2022-11-20,29
2022-11-21,62
2022-11-22,55
2022-11-23,32
2022-11-24,15
2022-11-25,17
2022-11-26,20
2022-11-27,30
2022-11-28,81
2022-11-29,85
2022-11-30,84
2022-12-01,89
2022-12-02,75
2022-12-03,30
2022-12-04,37
2022-12-05,89
2022-12-06,91
2022-12-07,89
2022-12-08,86
2022-12-09,77
2022-12-10,31
2022-12-11,34
2022-12-12,84
2022-12-13,76
2022-12-14,73
2022-12-15,69
2022-12-16,57
2022-12-17,21
2022-12-18,18
2022-12-19,47
2022-12-20,42
2022-12-21,36
2022-12-22,27
2022-12-23,17
2022-12-24,12
2022-12-25,11
2022-12-26,12
2022-12-27,15
2022-12-28,16
2022-12-29,16
2022-12-30,15
2022-12-31,12
2023-01-01,12
2023-01-02,21
2023-01-03,40
2023-01-04,48
2023-01-05,54
2023-01-06,51
2023-01-07,18
2023-01-08,22
2023-01-09,64
2023-01-10,69
2023-01-11,71
2023-01-12,71
2023-01-13,62
2023-01-14,23
2023-01-15,20
2023-01-16,32
2023-01-17,75
2023-01-18,76
2023-01-19,75
2023-01-20,69
2023-01-21,24
2023-01-22,27
2023-01-23,78
2023-01-24,83
2023-01-25,72
2023-01-26,79
2023-01-27,71
2023-01-28,26
2023-01-29,30
2023-01-30,86
2023-01-31,88
2023-02-01,82
2023-02-02,86
2023-02-03,74
2023-02-04,30
2023-02-05,35
2023-02-06,90
2023-02-07,92
2023-02-08,86
2023-02-09,84
2023-02-10,77
2023-02-11,30
2023-02-12,34
2023-02-13,80
2023-02-14,77
2023-02-15,76
2023-02-16,77
2023-02-17,61
2023-02-18,26
2023-02-19,27
2023-02-20,47
2023-02-21,73
2023-02-22,72
2023-02-23,71
2023-02-24,68
2023-02-25,29
2023-02-26,31
2023-02-27,82
2023-02-28,77
2023-03-01,79
2023-03-02,76
2023-03-03,63
2023-03-04,25
2023-03-05,30
2023-03-06,76
2023-03-07,74
2023-03-08,76
2023-03-09,72
2023-03-10,60
2023-03-11,25
2023-03-12,27
2023-03-13,62
2023-03-14,63
2023-03-15,61
2023-03-16,63
2023-03-17,49
2023-03-18,23
2023-03-19,28
2023-03-20,77
2023-03-21,70
2023-03-22,69
2023-03-23,71
2023-03-24,58
2023-03-25,23
2023-03-26,29
2023-03-27,70
2023-03-28,71
2023-03-29,67
2023-03-30,69
2023-03-31,55
2023-04-01,24
2023-04-02,29
2023-04-03,65
2023-04-04,62
2023-04-05,61
2023-04-06,56
2023-04-07,36
2023-04-08,21
2023-04-09,21
2023-04-10,62
2023-04-11,68
2023-04-12,67
2023-04-13,66
2023-04-14,58
2023-04-15,24
2023-04-16,31
2023-04-17,75
2023-04-18,75
2023-04-19,72
2023-04-20,73
2023-04-21,59
2023-04-22,26
2023-04-23,32
2023-04-24,76
2023-04-25,77
2023-04-26,74
2023-04-27,72
2023-04-28,62
2023-04-29,29
2023-04-30,38
2023-05-01,79
2023-05-02,79
2023-05-03,75
2023-05-04,73
2023-05-05,61
2023-05-06,25
2023-05-07,28
2023-05-08,72
2023-05-09,71
2023-05-10,69
2023-05-11,69
2023-05-12,57
2023-05-13,24
2023-05-14,24
2023-05-15,69
2023-05-16,66
2023-05-17,61
2023-05-18,64
2023-05-19,56
2023-05-20,19
2023-05-21,24
2023-05-22,57
2023-05-23,54
2023-05-24,54
2023-05-25,52
